Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,528.000056,378.400055,2957.299957,2701.199951,256.100006,-2578.899902,149.600001,0.9,,,,120.5,28.200001,-75.0,453.000056,-66.300003,0.0,66.300003,386.700012,0.0,0.0,386.700012,-110.099998,276.600006,0.0,,,276.600014,0.0,276.600006,0.0,,276.600006,276.600006,,1045.599976,0.265,0.265,,1045.599976,0.265,0.265,0.265,
06/30/1990,551.099911,395.499908,3002.100006,2732.0,270.100006,-2606.600098,155.600002,3.5,,,,128.800003,23.299999,-75.0,476.099911,-70.400002,0.0,70.400002,405.700012,0.0,0.0,405.700012,-116.099998,289.600006,0.0,,,289.600014,0.0,289.600006,0.0,,289.600006,289.600006,,1055.199951,0.275,0.275,,1055.199951,0.275,0.275,0.275,
09/30/1990,574.400153,404.100159,3035.30011,2750.600098,284.700012,-2631.199951,170.299994,0.3,,,,138.399994,31.6,-80.0,494.400153,-72.0,0.0,72.0,422.399994,0.0,0.0,422.399994,-122.900002,299.5,0.0,,,299.499992,0.0,299.5,0.0,,299.5,299.5,,1044.800049,0.2875,0.2875,,1044.800049,0.2875,0.2875,0.2875,
12/31/1990,589.499911,414.999908,3074.299957,2774.199951,300.100006,-2659.300049,174.500003,2.3,,,,148.300003,23.9,-80.0,509.499911,-77.300003,0.0,77.300003,432.200012,0.0,0.0,432.200012,-124.900002,307.299988,0.0,,,307.300011,0.0,307.299988,0.0,,307.299988,307.299988,,1032.939941,0.2975,0.2975,,1032.939941,0.2975,0.2975,0.2975,
03/31/1991,604.69986,427.299866,3137.599915,2833.399902,304.200012,-2710.300049,177.399995,3.3,,,,155.399994,18.700001,-80.0,524.69986,-71.800003,0.0,71.800003,452.899994,0.0,0.0,452.899994,-132.899994,320.0,0.0,,,320.0,0.0,320.0,0.0,,320.0,320.0,,1078.0,0.2975,0.2975,,1078.0,0.2975,0.2975,0.2975,
06/30/1991,571.199999,437.399994,3131.599945,2879.199951,252.399994,-2694.199951,133.800005,-53.200001,,,,163.600006,23.4,-130.0,441.199999,-78.300003,0.0,78.300003,362.899994,239.100006,-239.100006,602.0,-184.300003,417.700012,86.199997,,,331.5,0.0,331.5,0.0,,331.5,331.5,,1096.400024,0.3025,0.38,,1096.400024,0.3025,0.38,0.38,
09/30/1991,662.399906,455.999908,3158.299957,2932.199951,226.100006,-2702.300049,206.399997,5.1,,,,173.199997,28.1,-80.0,582.399906,-81.5,0.0,81.5,500.899994,0.0,0.0,500.899994,-150.199997,350.700012,0.0,,,350.699997,0.0,350.700012,0.0,,350.700012,350.700012,,1097.599976,0.32,0.32,,1097.599976,0.32,0.32,0.32,
12/31/1991,692.700005,457.300003,3165.499954,2958.199951,207.300003,-2708.199951,235.400002,16.799999,,,,182.800003,35.799999,-80.0,612.700005,-87.400002,0.0,87.400002,525.299988,-0.1,0.1,525.199988,-158.600006,366.600006,5.799999,,,360.799982,0.0,360.799988,0.0,,360.799988,360.799988,,1101.680054,0.3275,0.335,,1101.680054,0.3275,0.335,0.335,
03/31/1992,725.200062,488.900055,3234.600006,3057.0,177.600006,-2745.699951,236.300007,6.5,,,,193.600006,36.200001,-80.0,645.200062,-86.099998,0.0,86.099998,559.099976,0.0,0.0,559.099976,-171.199997,387.899994,6.3,,,381.599978,0.0,381.600006,0.0,,381.600006,381.600006,,1098.0,0.3475,0.3525,,1098.0,0.3475,0.3525,0.3525,
06/30/1992,770.9,518.199997,3388.899948,3158.199951,230.699997,-2870.699951,252.700003,4.4,,,,203.800003,44.5,-80.0,690.9,-94.900002,0.0,94.900002,596.0,0.0,0.0,596.0,-185.300003,410.700012,8.7,,,401.999997,0.0,402.0,0.0,,402.0,402.0,,1096.800049,0.3675,0.375,,1096.800049,0.3675,0.375,0.375,
