Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/2004,1219,272,,947,,-1008,10,0,-3532,2523,-9.0,59,0,256,0.0,0.0,39,0,-265,29,270,
06/30/2004,1112,268,650.0,844,2540.0,3450,0,0,0,3450,0.0,0,0,0,1895.0,0.0,1854,0,52,0,4562,
09/30/2004,2100,271,892.0,1829,3697.0,0,0,0,0,2918,0.0,0,0,0,0.0,0.0,1,0,0,18,14,
12/31/2004,110,346,,-236,,-678,0,0,-3219,2541,0.0,69,-32,59,300.0,-550.0,16,0,193,83,-499,
03/31/2005,733,322,193.0,-30,248.0,-456,0,0,-2607,2151,0.0,-779,-32,-15,0.0,0.0,2,-500,-230,-4,-502,
06/30/2005,630,285,208.0,-710,847.0,-583,0,0,-3495,2912,0.0,10,-29,-15,200.0,0.0,0,0,-102,-44,57,
09/30/2005,1061,307,217.0,-11,548.0,-1816,0,0,-3886,2070,0.0,1071,-32,-363,648.0,0.0,15,0,792,11,316,
12/31/2005,1055,307,176.0,268,304.0,-422,0,0,-3265,2843,0.0,-592,-35,-14,0.0,0.0,6,0,-544,-5,41,
03/31/2006,771,334,164.0,-536,809.0,-649,0,0,-3539,2906,-16.0,-88,-35,234,750.0,0.0,0,-479,-541,-17,34,
06/30/2006,1226,317,197.0,87,625.0,-103,0,0,-3260,3322,-165.0,-681,-34,-86,0.0,0.0,20,-74,-512,5,442,
09/30/2006,1353,304,160.0,97,792.0,-802,0,0,-3048,2397,-151.0,-600,-34,10,300.0,0.0,12,-122,-758,-8,-49,
12/31/2006,1015,373,165.0,-33,510.0,-1344,0,0,-7028,5905,-221.0,496,-42,-111,913.0,0.0,17,-325,46,-2,167,
03/31/2007,1064,324,213.0,-198,725.0,-687,0,0,-3976,3330,-41.0,-589,-40,69,0.0,0.0,14,-233,-385,-14,-212,
06/30/2007,1478,379,207.0,102,790.0,-1149,0,0,-5292,3485,658.0,370,-39,-132,1139.0,-500.0,616,-765,40,11,699,
09/30/2007,1226,339,202.0,286,399.0,34,0,0,-3604,3638,0.0,-1070,-40,141,0.0,-100.0,0,-103,-922,-46,190,
12/31/2007,1023,178,209.0,-178,814.0,-78,0,0,-4751,4704,-31.0,-1000,-44,-127,0.0,0.0,9,-23,-849,34,-55,
03/31/2008,1125,116,203.0,-51,857.0,400,0,0,-1745,2150,-5.0,-848,-44,-19,0.0,0.0,2,-76,-660,-51,677,
06/30/2008,995,-109,209.0,281,614.0,444,0,0,-2231,2687,-12.0,654,-44,1,597.0,0.0,3,0,129,-32,2093,
09/30/2008,1073,-258,208.0,1080,43.0,-673,0,0,-3266,2596,-3.0,-1159,-42,90,0.0,0.0,0,0,-1031,-176,-759,
12/31/2008,2250,-321,264.0,-20,2327.0,1794,0,0,-1355,3151,-2.0,-1818,-45,901,0.0,-319.0,0,0,-2356,1,2226,
03/31/2009,783,-469,247.0,683,322.0,1254,0,0,-833,2087,0.0,-2301,0,-82,0.0,-91.0,0,0,-2030,-98,-264,
06/30/2009,586,-50,212.0,-906,1330.0,-619,0,0,-2468,1849,0.0,-1657,0,-248,0.0,-660.0,0,0,-930,181,-1690,
09/30/2009,485,19,143.0,238,85.0,1751,0,0,-1242,3083,-90.0,-466,0,-33,0.0,-70.0,622,0,-1908,923,1770,
12/31/2009,77,40,180.0,-459,316.0,-1566,0,0,-5640,4035,39.0,-653,0,-12,298.0,-89.0,0,0,-836,-14,-2142,
03/31/2010,130,178,184.0,-547,315.0,-1174,0,0,-3284,2110,0.0,-492,0,-37,0.0,-17.0,0,0,-423,-15,-1536,
