Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2011,,0,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,0,,,0,,,0.0,,,0,,,,,0,0.0,0.0,0,,,0,,,,0,0.0,,,,,,0.0,,,,,0.0,0,,,,,
06/30/2012,13090.0,1133,1133.0,0,1369.0,1369.0,0.0,246.0,,0.0,0.0,0.0,367,155.0,0.0,126.0,56.0,,0.0,3115.0,3274.0,5584.0,-2310.0,1272.0,1126.0,,146.0,5429.0,5049.0,2588.0,2461.0,,0.0,,324,9975.0,,1666,284.0,386.0,0.0,996.0,0.0,0,0.0,0.0,,,801,0.0,0.0,415,2467.0,0.0,0,0.0,0.0,,1704,0.0,490.0,926.0,288.0,1704.0,4171.0,0.0,0.0,0.0,0.0,0.0,0.0,8809,8809.0,110.0,8919.0,13090.0,
03/31/2013,16954.0,1539,1539.0,0,1463.0,1463.0,,0.0,0.0,0.0,0.0,0.0,849,,,,,,849.0,3851.0,3221.0,,,2848.0,2848.0,,,7034.0,6484.0,3188.0,3296.0,,,,550,13103.0,,1306,259.0,,,1047.0,0.0,0,,,,,1187,,,763,2493.0,0.0,0,,,,1895,,,1146.0,749.0,1895.0,4388.0,,,,,0.0,,12566,12566.0,,12566.0,16954.0,
06/30/2013,15643.0,2381,2381.0,0,1335.0,1335.0,0.0,301.0,,,,,626,235.0,0.0,89.0,139.0,,247.0,4643.0,2992.0,5276.0,-2284.0,2607.0,2499.0,,108.0,5401.0,4911.0,2725.0,2186.0,,6.0,,345,11000.0,,1439,242.0,89.0,0.0,1108.0,0.0,0,0.0,0.0,,,732,0.0,0.0,343,2171.0,0.0,0,0.0,0.0,,776,0.0,345.0,152.0,279.0,776.0,2947.0,20.0,12287.0,6.0,12281.0,,0.0,271,12578.0,118.0,12696.0,15643.0,
09/30/2013,16343.0,2688,2688.0,0,1426.0,1426.0,0.0,275.0,,,,,841,202.0,,,134.0,,584.0,5230.0,3012.0,,,714.0,598.0,,116.0,7387.0,4913.0,2739.0,2174.0,,,1973.0,367,11113.0,,1478,238.0,133.0,,1107.0,0.0,0,,,,,1167,,,753,2645.0,0.0,0,,,,739,,268.0,185.0,286.0,739.0,3384.0,20.0,12305.0,6.0,12299.0,,27.0,489,12841.0,118.0,12959.0,16343.0,
12/31/2013,15983.0,2908,2908.0,0,1481.0,1481.0,0.0,277.0,,,,,446,242.0,,5.0,139.0,147.0,0.0,5112.0,2927.0,,,2551.0,2431.0,,120.0,5393.0,4848.0,2728.0,2120.0,,,,406,10871.0,,1454,242.0,97.0,,1115.0,0.0,0,,,,,838,,,458,2292.0,0.0,0,,,,800,,284.0,239.0,277.0,800.0,3092.0,20.0,12315.0,6.0,12309.0,,177.0,257,12769.0,122.0,12891.0,15983.0,
03/31/2014,16543.0,3207,3207.0,0,1394.0,1394.0,0.0,364.0,,,,,405,250.0,,2.0,230.0,,91.0,5370.0,2959.0,,,726.0,604.0,,122.0,7488.0,4879.0,2763.0,2116.0,,,1947.0,432,11173.0,,1623,245.0,178.0,,1200.0,0.0,0,,,,,875,,,469,2498.0,0.0,0,,,,857,,253.0,295.0,309.0,857.0,3355.0,20.0,12327.0,6.0,12321.0,,225.0,482,13054.0,134.0,13188.0,16543.0,
06/30/2014,16489.0,3145,3145.0,0,1388.0,1388.0,0.0,310.0,,,,,427,274.0,0.0,11.0,146.0,,66.0,5270.0,3009.0,5632.0,-2623.0,799.0,716.0,,83.0,7411.0,4919.0,2782.0,2137.0,,,1893.0,453,11219.0,,1525,276.0,61.0,0.0,1188.0,0.0,0,0.0,0.0,,,739,0.0,0.0,370,2264.0,0.0,0,0.0,0.0,,806,0.0,272.0,224.0,310.0,806.0,3070.0,20.0,12396.0,6.0,12390.0,,237.0,610,13263.0,156.0,13419.0,16489.0,
09/30/2014,16123.0,2735,2735.0,0,1411.0,1411.0,0.0,293.0,,,,,426,287.0,,2.0,152.0,,60.0,4865.0,2910.0,,,2575.0,2497.0,,78.0,5773.0,5155.0,2909.0,2246.0,,,,466,11258.0,,1482,272.0,78.0,,1132.0,0.0,0,,,,,811,,,407,2293.0,0.0,0,,,,828,,281.0,245.0,302.0,828.0,3121.0,20.0,12387.0,6.0,12381.0,,302.0,152,12861.0,141.0,13002.0,16123.0,
12/31/2014,15970.0,1918,1918.0,0,1450.0,1450.0,0.0,274.0,,,,,410,277.0,,2.0,187.0,,55.0,4052.0,2809.0,,,2542.0,2466.0,,76.0,6567.0,5926.0,3547.0,2379.0,,,,454,11918.0,,1587,320.0,131.0,,1136.0,0.0,0,,,,,742,,,330,2329.0,0.0,0,,,,854,,273.0,274.0,307.0,854.0,3183.0,20.0,12427.0,6.0,12421.0,,444.0,-261,12630.0,157.0,12787.0,15970.0,
03/31/2015,15686.0,2027,2027.0,0,1308.0,1308.0,0.0,370.0,0.0,0.0,0.0,0.0,383,252.0,,,168.0,,52.0,4088.0,2699.0,,,2456.0,2382.0,,74.0,6443.0,5823.0,3510.0,2313.0,,,,452,11598.0,,1432,225.0,86.0,,1121.0,0.0,0,,,,,841,,,442,2273.0,0.0,0,,,,867,,266.0,295.0,306.0,867.0,3140.0,20.0,12456.0,6.0,12450.0,,467.0,-554,12389.0,157.0,12546.0,15686.0,
06/30/2015,15035.0,1951,1951.0,0,1283.0,1283.0,0.0,299.0,,,,,481,263.0,0.0,,219.0,,155.0,4014.0,2690.0,5183.0,-2493.0,735.0,735.0,,,7596.0,5266.0,3063.0,2203.0,163.0,,1644.0,304,11021.0,,1390,238.0,27.0,0.0,1125.0,0.0,0,0.0,0.0,,,720,0.0,0.0,374,2110.0,0.0,0,0.0,0.0,,789,0.0,305.0,166.0,318.0,789.0,2899.0,20.0,12439.0,6.0,12433.0,,88.0,-582,11965.0,171.0,12136.0,15035.0,
09/30/2015,14756.0,1898,1898.0,0,1301.0,1301.0,0.0,293.0,,,,,397,265.0,,5.0,496.0,,60.0,3889.0,2553.0,,,695.0,517.0,142.0,36.0,7619.0,5155.0,3012.0,2143.0,,,1537.0,431,10867.0,,1425,272.0,20.0,,1133.0,0.0,0,,,,,741,,,387,2166.0,0.0,0,,,,789,,298.0,171.0,320.0,789.0,2955.0,20.0,12437.0,6.0,12431.0,,204.0,-1025,11636.0,165.0,11801.0,14756.0,
12/31/2015,14875.0,1883,1883.0,0,1349.0,1349.0,0.0,254.0,,,,,309,249.0,,0.0,518.0,,60.0,3795.0,2554.0,,,728.0,692.0,,36.0,7798.0,5254.0,3090.0,2164.0,,,1596.0,430,11080.0,,1384,248.0,28.0,,1108.0,0.0,0,,,,,712,,,375,2096.0,0.0,0,,,,780,,291.0,145.0,344.0,780.0,2876.0,20.0,12447.0,6.0,12441.0,,268.0,-923,11812.0,187.0,11999.0,14875.0,
03/31/2016,15716.0,1972,1972.0,0,1254.0,1254.0,0.0,367.0,,,,,312,253.0,,0.0,666.0,,59.0,3905.0,2499.0,,,765.0,730.0,,35.0,8547.0,5910.0,3681.0,2229.0,132.0,,1534.0,305,11811.0,,1692,227.0,26.0,,1439.0,0.0,0,,,,0.0,956,,,578,2648.0,369.0,369,,,,834,,281.0,200.0,353.0,1203.0,3851.0,20.0,12431.0,6.0,12425.0,,60.0,-845,11666.0,199.0,11865.0,15716.0,
06/30/2016,15483.0,1832,1832.0,0,1229.0,1229.0,0.0,218.0,,,,,610,240.0,0.0,0.0,602.0,,370.0,3889.0,2405.0,4929.0,-2524.0,732.0,732.0,,,8457.0,5921.0,3714.0,2207.0,85.0,,1538.0,311,11594.0,,1621,217.0,33.0,0.0,1371.0,0.0,0,0.0,0.0,,,821,0.0,0.0,433,2442.0,369.0,369,0.0,0.0,,870,0.0,350.0,171.0,349.0,1239.0,3681.0,20.0,12440.0,6.0,12434.0,,150.0,-1026,11584.0,218.0,11802.0,15483.0,
09/30/2016,15269.0,1499,1499.0,0,1294.0,1294.0,0.0,233.0,,,,,302,244.0,,,628.0,,58.0,3328.0,2367.0,,,702.0,563.0,139.0,,8872.0,6270.0,3889.0,2381.0,90.0,,1567.0,317,11941.0,,1420,240.0,44.0,,1136.0,4.0,4,,,,,863,,,462,2287.0,377.0,377,,,,839,,332.0,171.0,336.0,1216.0,3503.0,20.0,12440.0,6.0,12434.0,,76.0,-986,11550.0,216.0,11766.0,15269.0,
12/31/2016,14527.0,1564,1564.0,0,1528.0,1528.0,0.0,226.0,,,,,273,220.0,,0.0,549.0,,53.0,3591.0,1981.0,,,1932.0,1932.0,,,7023.0,6089.0,3791.0,2298.0,85.0,,,300,10936.0,,1399,240.0,38.0,,1121.0,0.0,0,,,,,926,,,522,2325.0,288.0,288,,,,686,,315.0,40.0,331.0,974.0,3299.0,,12457.0,6.0,12451.0,,-213.0,-1289,10955.0,273.0,11228.0,14527.0,
03/31/2017,14886.0,1850,1850.0,0,1326.0,1326.0,0.0,228.0,,,,,358,298.0,,,536.0,,60.0,3762.0,1961.0,,,659.0,559.0,100.0,,8504.0,6175.0,3859.0,2316.0,393.0,,1351.0,49,11124.0,,1484,229.0,41.0,,1214.0,103.0,0,,,,103.0,874,,,439,2461.0,273.0,273,,,,715,,305.0,82.0,328.0,988.0,3449.0,20.0,12403.0,6.0,12397.0,,-219.0,-1045,11159.0,278.0,11437.0,14886.0,
