Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2001,222.767,,,,-180.395,,,,,10.056,,42.372,5.412,-5.412,0.758,-6.17,,,,0.0,47.784,-21.808,25.976,,,,25.976,0.217,26.193,,,26.193,26.193,,127.743,0.21,0.21,0.21,127.775,0.21,0.21,0.21,
06/30/2001,221.306,,,,-188.486,,,,,2.947,,32.82,1.75,-1.75,2.057,-3.807,,,,0.0,34.57,-16.753,17.817,,,,17.817,1.765,19.582,,,19.582,19.582,,116.926,0.17,0.17,0.17,124.614,0.16,0.16,0.16,
09/30/2001,197.708,,,,-190.675,,,,,1.457,,7.033,3.396,-3.396,3.276,-6.672,,,,0.0,10.429,-5.736,4.693,,,,4.693,3.252,7.945,,,7.945,7.945,,110.433,0.07,0.07,0.07,110.573,0.07,0.07,0.07,
12/31/2001,215.451,,,,-236.545,,,,,,,-21.094,1.402,-1.402,4.552,-5.954,,,,0.0,-19.692,5.965,-13.727,,,,-13.727,0.47,-13.257,,,-13.257,-13.257,,110.475,-0.12,-0.12,-0.12,110.475,-0.12,-0.12,-0.12,
03/31/2002,211.332,,,,-172.343,,,,,2.115,,38.989,-0.397,0.397,3.541,-3.144,,,,0.0,38.592,-20.207,18.385,,,,18.385,2.942,21.327,-2.441,-2.441,16.445,16.445,,100.505,0.19,0.19,0.19,112.81,0.18,0.18,0.18,
06/30/2002,205.137,,,,-174.851,,,,,4.393,,30.286,-15.864,0.781,4.07,-3.289,,,,15.083,14.422,-8.308,6.114,,,,6.114,2.656,8.77,-2.441,-2.441,3.888,3.888,10.308,78.046,0.08,0.08,0.21,80.671,0.08,0.08,0.21,
09/30/2002,198.789,,,,-173.398,,,,,2.496,,25.391,-3.407,3.407,6.535,-3.128,,,,0.0,21.984,-12.226,9.758,,,,9.758,2.953,12.711,-2.441,-2.441,7.829,7.829,,78.171,0.13,0.13,0.13,90.417,0.13,0.13,0.13,
12/31/2002,183.574,,,,-184.281,,,,,,,-0.707,-2.594,2.594,5.444,-2.85,,0.0,,0.0,-3.301,-0.308,-3.609,0.0,,,-3.609,3.929,0.32,-2.442,,-2.122,-2.122,,70.7,-0.03,-0.03,-0.03,70.7,-0.03,-0.03,-0.03,
03/31/2003,165.887,,,,-161.546,,,,,0.068,,4.341,-2.588,2.588,5.359,-2.771,,,,0.0,1.753,-1.858,-0.105,,,,-0.105,2.671,2.566,-0.65,,1.916,1.916,,78.304,0.02,0.02,0.02,78.444,0.02,0.02,0.02,
06/30/2003,151.395,,,,-162.417,,,,,1.516,,-11.022,-57.568,2.737,5.348,-2.611,,,,54.831,-68.59,13.207,-55.383,,,,-55.383,6.375,-49.008,-2.5,,-51.508,-51.508,45.708,78.343,-0.66,-0.66,-0.07,78.546,-0.66,-0.66,-0.07,
09/30/2003,144.786,,,,-141.043,,,,,,,3.743,-52.094,2.788,5.281,-2.493,,,,49.306,-48.351,7.969,-40.382,,,,-40.382,2.374,-38.008,-2.542,,-40.55,-40.55,38.7,78.432,-0.52,-0.52,-0.02,78.92,-0.52,-0.52,-0.02,
12/31/2003,138.011002,,,,-150.662003,,,,,,,-12.651,-1.267,,2.922,-1.642,,0.0,,-0.013,-13.918,3.109,-10.809,10.188,,,-20.997,0.0,-20.997,-2.587,0.0,-23.584,-23.584,,78.467003,-0.3,-0.17,0.04,78.467003,-0.3,-0.17,0.04,
