Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/28/1989,1496.654053,52.153,52.153,0.0,29.674999,,,521.130981,,,,,356.101013,,,,,959.059998,256.272003,394.476013,-138.203995,143.123993,138.197998,,,,138.197998,537.593994,,258.881989,258.881989,,,,42.558998,,,,,,167.07,,,167.07,468.510986,301.682007,,,,,105.651001,,,,105.651001,407.333008,875.843994,0.0,229.154999,,,-3.542,,339.613991,565.22699,55.583,620.80999,1496.653984,
07/29/1989,1166.410034,17.26,17.26,0.0,25.789,,,567.325989,,,,,39.400002,,,,,649.775024,257.037994,404.192993,-147.154999,143.123993,116.473,,,,116.473,516.634987,,238.817001,238.817001,,,,82.406998,,,,,,143.597992,,,143.597992,464.821991,299.096985,,,,,45.050999,,,,45.050999,344.147984,808.969975,0.0,358.838989,,,-0.352,,-1.047,357.439989,0.0,357.439989,1166.409964,
10/28/1989,1150.744995,18.302999,18.302999,0.0,35.091999,,,562.703979,,,,,12.414,,,,,628.513,257.716003,409.113007,-151.397003,149.242996,115.273003,,,,115.273003,522.232002,,242.076996,242.076996,,,,41.780998,,,,,,137.082008,,,137.082008,420.940002,297.927002,,,,,50.451,,,,50.451,348.378002,769.318005,0.0,360.059998,,,-0.157,,21.524001,381.426998,0.0,381.426998,1150.745003,
01/27/1990,949.098022,54.278,54.278,0.0,14.644,,,466.748993,,,,,27.471001,,,,,563.142029,271.705994,425.710999,-154.005005,0.0,114.25,,,,114.25,385.955994,,205.356995,205.356995,,,,7.444,,,,,,156.169007,,,156.169007,368.970001,295.902008,,,,,55.775002,,,,55.775002,351.67701,720.647011,0.0,360.973999,,,-0.139,,-132.383995,228.451004,0.0,228.451004,949.098015,
04/27/1990,1016.672974,44.306999,44.306999,0.0,27.879999,,,534.252991,,,,,18.499001,,,,,624.939026,278.175995,442.889008,-164.712997,0.0,113.557999,,,,113.557999,391.733994,,274.427002,274.427002,,,,7.587,,,,,,145.976995,,,145.976995,427.990997,294.446014,,,,,59.150002,,,,59.150002,353.596016,781.587013,0.0,353.036987,,,-0.139,,-117.811996,235.085991,0.0,235.085991,1016.673004,
07/28/1990,1062.661987,27.002001,27.002001,0.0,23.242001,,,589.835022,,,,,22.483999,,,,,662.562988,284.875,460.36499,-175.490005,0.0,115.223999,,,,115.223999,400.098999,,266.089996,266.089996,,,,55.195999,,,,,,144.613998,,,144.613998,465.899994,292.462006,,,,,62.525002,,,,62.525002,354.987007,820.887001,0.0,345.127991,,,-0.036,,-103.316997,241.774994,0.0,241.774994,1062.661995,
10/27/1990,1115.771973,43.403999,43.403999,0.0,37.848999,,,619.536987,,,,,8.182,,,,,708.971985,292.371002,478.57901,-186.207993,0.0,114.429001,,,,114.429001,406.800003,,303.873993,303.873993,,,,36.706001,,,,,,157.598991,,,157.598991,498.178986,287.960999,,,,,65.900002,,,,65.900002,353.861,852.039986,0.0,337.320007,,,-0.072,,-73.515997,263.73201,0.0,263.73201,1115.771996,
01/26/1991,1047.301025,83.323997,83.323997,0.0,20.874001,,,513.913025,,,,,13.204,,,,,631.315002,303.459015,499.672012,-196.212997,0.0,112.527,,,,112.527,415.986015,,234.514999,234.514999,,,,6.628,,,,,,159.728003,,,159.728003,400.871002,308.592987,,,,,67.330002,,,,67.330002,375.922989,776.793991,0.0,328.763,,,0.0,,-58.256001,270.506999,0.0,270.506999,1047.30099,
04/27/1991,1088.484009,60.424,60.424,0.0,30.190001,,,565.065979,,,,,16.177,,,,,671.856995,303.806,512.22998,-208.423996,0.0,112.820999,,,,112.820999,416.626999,,282.621002,282.621002,,,,6.632,,,,,,145.931995,,,145.931995,435.184998,307.231995,,,,,68.181999,,,,68.181999,375.413994,810.598991,0.0,321.321991,,,0.0,,-43.437,277.884991,0.0,277.884991,1088.483982,
07/27/1991,1085.379028,27.215,27.215,0.0,24.798,,,596.383972,,,,,13.134,,,,,661.531006,311.071014,532.145996,-221.074997,0.0,112.777,,,,112.777,423.848015,,295.553986,295.553986,,,,6.65,,,,,,124.477014,,,124.477014,426.681,305.316986,,,,,69.033997,,,,69.033997,374.350983,801.031982,0.0,313.95401,,,0.0,,-29.607,284.34701,0.0,284.34701,1085.378992,
