Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,380.026001,,,,,,,,,,,,,,,,,,,,,,,,,,,27.355,,,27.355,27.355,,0.0,0.135,0.135,,0.0,0.135,0.135,0.135,
03/31/1990,284.485992,,,,,,-266.342987,,,,,18.143,-1.12,,3.087,,,,-1.967,17.023,-8.258,8.765,0.0,,,8.764999,-0.129,8.636,0.0,,8.636,8.636,,202.505997,0.043333,0.043333,,202.505997,0.043333,0.043333,0.043333,
06/30/1990,342.401001,,,,,,-282.946014,,,,,59.455002,-1.889,,3.798,,,,-1.909,57.566002,-26.375,31.191,0.0,,,31.191002,-0.251,30.940001,0.0,,30.940001,30.940001,,201.797997,0.153333,0.153333,,201.797997,0.153333,0.153333,0.153333,
09/30/1990,316.03299,,,,,,-292.686005,,,,,23.347,-3.298,,4.05,,,,-0.752,20.049,-11.09,8.959,0.0,,,8.959,-0.892,8.067,0.0,,8.067,8.067,,200.927994,0.04,0.04,,200.927994,0.04,0.04,0.04,
12/31/1990,386.568115,,,,,,-357.783997,,,,,28.784,32.203,,7.936999,,0.0,,-40.139999,60.987,-26.740999,34.245998,0.0,,,34.246001,-1.825,32.421001,0.0,0.0,32.421001,32.421001,,212.429994,0.16,0.16,0.16,212.429994,0.16,0.16,0.16,
03/31/1991,353.782013,,,,,,-324.980988,,,,,28.801001,-7.332,,7.503,,,,-0.171,21.469001,-13.134,8.335,0.0,,,8.335001,-0.433,7.902,0.0,,7.902,7.902,,217.608009,0.036667,0.036667,,217.608009,0.036667,0.036667,0.036667,
06/30/1991,399.503998,,,,,,-325.223999,,,,,74.279999,-7.351,,7.975,,,,-0.624,66.928999,-29.798,37.131001,0.0,,,37.130999,-0.906,36.224998,0.0,,36.224998,36.224998,,217.866005,0.166667,0.166667,,217.866005,0.166667,0.166667,0.166667,
09/30/1991,401.023987,,,,,,-371.167999,,,,,29.856001,-8.967,,8.815,,,,0.152,20.889001,-9.876,11.013,0.0,,,11.013001,-1.109,9.904,0.0,,9.904,9.904,,217.824005,0.045,0.045,,217.824005,0.045,0.045,0.045,
12/31/1991,480.359985,,,,,,-437.342987,,,,,43.016991,35.181999,,9.206001,,0.0,,-44.388,78.19899,-34.875999,43.323002,0.0,,,43.322991,-2.797,40.526001,0.0,0.0,40.526001,40.526001,,221.112006,0.183333,0.183333,0.183333,221.112006,0.183333,0.183333,0.183333,
03/31/1992,400.744995,,,,,,-371.813995,,,,,28.931,-7.209,,7.283,,,,-0.074,21.722,-10.815,10.907,24.6,,,-13.693,-1.262,-14.955,0.0,,-14.955,-14.955,,224.896889,-0.066667,0.043333,,224.896889,-0.066667,0.043333,0.043333,
06/30/1992,485.325012,,,,,,-392.289001,,,,,93.036003,-7.927,,8.805,,,,-0.878,85.109003,-39.952999,45.155998,0.0,,,45.156004,-1.924,43.231998,0.0,,43.231998,43.231998,,224.652008,0.193333,0.193333,,224.652008,0.193333,0.193333,0.193333,
09/30/1992,435.776001,,,,,,-403.30899,,,,,32.466999,-8.079,,8.399,,,,-0.32,24.387999,-10.862,13.526,0.0,,,13.525998,-1.086,12.44,0.0,,12.44,12.44,,224.373001,0.056667,0.056667,,224.373001,0.056667,0.056667,0.056667,
12/31/1992,482.575012,,,,,,-448.180115,,,,,34.394989,44.362001,,8.734,,,,-53.096001,78.75699,-29.705,49.051998,0.039999,,,49.011991,-2.456,46.556,0.0,0.0,46.556,46.556,,225.272919,0.206667,0.216667,0.216667,225.272919,0.206667,0.216667,0.216667,
03/31/1993,389.784973,,,,,,-360.730988,,,,,29.053972,-7.379,,7.721,,,,-0.342,21.674972,-10.018,11.656973,0.512,,,11.144972,-0.632,10.512973,0.0,,10.512973,10.512973,,226.66301,0.046667,0.05,,226.66301,0.046667,0.05,0.05,
06/30/1993,483.757996,,,,,,-377.98999,,,,,105.767998,-9.074,,9.094,,,,-0.02,96.693998,-44.891998,51.801998,0.0,,,51.802,-2.815,48.987,0.0,,48.987,48.987,,225.752792,0.216667,0.216667,,225.752792,0.216667,0.216667,0.216667,
09/30/1993,411.027008,,,,,,-376.696991,,,,,34.330002,-4.71,,4.584,,,,0.126,29.620002,-13.058,16.562,0.0,,,16.562002,-1.872,14.69,0.0,,14.69,14.69,,224.943008,0.066667,0.066667,,224.943008,0.066667,0.066667,0.066667,
12/31/1993,455.208008,,,,,,-420.233002,,,,,34.975029,49.739999,,5.046,,0.0,,-54.785999,84.715028,-31.851,52.864021,0.0,,,52.864028,-2.287,50.57703,0.0,0.0,50.57703,50.57703,,226.463997,0.223333,0.223333,0.223333,226.463997,0.223333,0.223333,0.223333,
03/31/1994,420.962006,,,,,,-389.687988,,,,,31.274,-6.94,,7.166,,,,-0.226,24.334,-10.367,13.967,21.780001,,,-7.813,-0.977,-8.79,0.0,,-8.79,-8.79,,225.486008,-0.04,0.056667,,225.486008,-0.04,0.056667,0.056667,
06/30/1994,497.505005,,,,,,-396.330994,,,,,101.174004,-8.237,,8.899,,,,-0.662,92.937003,-39.268002,53.668999,0.0,,,53.669002,0.43,54.098999,0.0,,54.098999,54.098999,,224.459999,0.24,0.24,,224.459999,0.24,0.24,0.24,
09/30/1994,440.507996,,,,,,-400.591003,,,,,39.917,-7.09,,7.706,,,,-0.616,32.827,-14.279,18.548,0.0,,,18.548,-1.144,17.403999,0.0,,17.403999,17.403999,,226.695007,0.076667,0.076667,,226.695007,0.076667,0.076667,0.076667,
12/31/1994,557.401001,,,,,,-515.20697,,,,,42.194,12.549999,,9.153,,0.0,,-21.702999,54.743999,-22.419001,32.325001,0.0,,,32.324998,-1.571,30.754009,0.0,0.0,30.754009,30.754009,,230.099991,0.133333,0.246667,0.246667,230.099991,0.133333,0.246667,0.246667,
