Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/26/2008,2.0,6.0,77.0,85.0,,26.0,26,0.019013,0.05704,0.732009,0.808062,0.009878,0.029635,0.380322,0.419836,
03/27/2009,75.0,5.0,,80.0,,16.0,16,1.059322,0.070621,,1.129944,0.445898,0.029727,,0.475624,
06/26/2009,2.0,2.0,,4.0,,5.0,5,0.028245,0.028245,,0.056489,0.012276,0.012276,,0.024552,
09/25/2009,77.0,3.0,,80.0,,4.0,4,1.095929,0.042699,,1.138628,0.474723,0.018496,,0.493218,
12/25/2009,82.0,12.0,,94.0,,1.0,1,1.170258,0.171257,,1.341516,0.503593,0.073696,,0.577289,
03/26/2010,77.0,10.0,,87.0,1.0,1.0,2,1.133019,0.147145,,1.280165,0.465201,0.060416,,0.525616,
06/25/2010,18.0,84.0,,102.0,,5.0,5,0.264706,1.235294,,1.5,0.109296,0.510049,,0.619345,
12/24/2010,26.0,205.0,,231.0,,8.0,8,0.353934,2.790634,,3.144568,0.143631,1.132472,,1.276102,
03/25/2011,29.0,90.0,,119.0,,8.0,8,0.395311,1.226827,,1.622137,0.160398,0.497788,,0.658186,
06/24/2011,,,,,2.0,,19,0.276826,1.252307,,1.529133,0.11646,0.526841,,0.643301,
09/30/2011,18.0,107.0,,125.0,14.0,37.0,51,0.240513,1.429717,,1.67023,0.101563,0.603735,,0.705298,
12/30/2011,,,,,20.0,,74,0.065876,1.370224,,,0.028534,0.593506,,,
03/30/2012,11.0,105.0,,116.0,8.0,4.0,12,0.143173,1.366654,,1.509827,0.057807,0.551789,,0.609596,
06/29/2012,5.0,107.0,,112.0,16.0,13.0,29,0.064599,1.382429,,1.447028,0.026396,0.564882,,0.591279,
09/28/2012,22.0,110.0,,132.0,1.0,3.0,4,0.275793,1.378965,,1.654757,0.113954,0.569771,,0.683725,
12/28/2012,8.0,108.0,,116.0,7.0,7.0,14,0.098353,1.32776,,1.426113,0.044111,0.595501,,0.639612,
03/29/2013,4.0,112.0,,116.0,15.0,9.0,24,0.051726,1.448338,,1.500065,0.022051,0.61742,,0.639471,
06/28/2013,3.0,98.0,,101.0,58.0,7.0,65,0.038032,1.242394,,1.280426,0.016584,0.541736,,0.55832,
09/27/2013,5.0,98.0,,103.0,29.0,2.0,31,0.059623,1.168614,,1.228238,0.027084,0.530849,,0.557933,
12/27/2013,5.0,96.0,,101.0,30.0,14.0,44,0.057991,1.113431,,1.171422,0.027111,0.520523,,0.547633,
09/26/2014,5.0,96.0,,101.0,30.0,14.0,44,0.055475,1.065128,,1.120604,0.024811,0.47638,,0.501191,
