Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,92.386002,,92.323997,,6.141274,0.63692,0.3,0.3,,,,,0.135,2.631233,,4.320449,14.964183,
06/30/1990,92.444,,91.146004,,6.639951,0.522053,0.245,0.245,,,,,0.135,2.554385,,5.755982,15.107319,
09/30/1990,91.711998,,92.255997,,6.905708,0.888278,0.525,0.525,,,,,0.0,2.569221,,4.156828,15.355308,
12/31/1990,89.566002,,91.372002,,8.405463,1.12042,0.625,0.625,,,,,0.135,4.552324,,4.441875,15.659011,
03/31/1991,89.197998,,89.174004,,7.087929,1.133469,0.605,0.605,,,,,0.15,3.180232,,6.874168,16.264805,
06/30/1991,89.334,,89.473999,,7.393075,1.352415,0.695,0.695,,,,,0.0,2.593983,,8.494504,16.679316,
09/30/1991,89.379997,,89.185997,,7.345234,1.291817,0.68,0.68,,,,,0.15,2.607584,,4.565462,17.549821,
12/31/1991,92.706001,,92.213997,,7.829799,1.291051,0.685,0.685,,,,,0.15,4.080986,,5.411128,17.855705,
03/31/1992,93.692001,,100.438004,,7.079064,1.210199,0.635,0.635,,,,,0.0,2.718343,,7.363563,18.755038,
06/30/1992,93.806,,100.472,,7.123935,1.407736,0.755,0.755,,,,,0.165,3.280237,,8.788414,19.120046,
09/30/1992,94.162003,,100.561996,,7.037102,1.533323,0.865,0.865,,,,,0.165,1.09079,,2.69545,19.367664,
12/31/1992,94.802002,95.402,95.402,,7.535104,1.176799,0.88,0.88,0.88,0.88,0.88,0.88,0.165,4.691914,,7.563543,20.552467,
03/31/1993,98.606003,,100.889,,7.106463,1.140392,0.64,0.64,,,,,0.09125,2.572778,,5.278198,21.202279,
06/30/1993,101.050003,,101.032997,,7.253838,1.487781,0.89,0.89,,,,,0.0,2.24005,,3.938961,22.168659,
09/30/1993,101.348999,,101.223999,,6.981279,1.400952,0.71,0.71,,,,,0.1825,4.044871,,9.204047,22.995599,
12/31/1993,101.426003,110.528999,110.528999,,6.58334,1.368455,0.81,0.81,0.81,0.81,0.81,0.81,0.1825,1.717604,,3.720131,23.59248,
03/31/1994,100.222,,101.052002,,6.909897,1.105253,0.62,0.62,,,,,0.0,2.430076,,3.624304,23.8968,
06/30/1994,98.796997,,99.403999,,7.497656,1.426824,0.82,0.82,,,,,0.2,2.005302,,5.774791,22.25093,
09/30/1994,98.849998,,98.818001,,7.71406,1.514269,0.87,0.87,,,,,0.2,3.610253,,7.211391,22.234083,
12/31/1994,97.536003,98.001999,98.001999,,7.685761,1.257281,0.7,0.7,0.7,0.7,0.7,0.7,0.2,1.993276,,5.87864,21.754654,
03/31/1995,96.712997,,97.167,,8.208054,1.318503,0.72,0.72,0.96,,,,0.0,4.148888,4.087139,5.861901,24.387798,
06/30/1995,95.419998,,96.163002,,8.905535,1.577031,0.88,0.88,1.0,,,,0.225,3.147427,3.064234,7.487162,27.804653,
09/30/1995,95.452003,,95.342003,,9.038231,1.654014,0.93,0.93,1.05,,,,0.225,3.810126,3.715729,8.859542,28.898849,
12/31/1995,94.358002,94.772003,94.772003,,9.204638,1.904951,1.08,1.08,1.08,1.08,1.08,1.08,0.225,4.378234,4.146098,7.503338,31.380486,
03/31/1996,93.221001,,93.900002,,9.382321,1.895634,1.09,1.09,1.07,,,,0.0,3.929712,3.812566,7.648491,29.714335,
06/30/1996,93.523003,,93.5,,9.433155,1.860963,1.07,1.07,1.1,,,,0.25,2.737968,2.545455,8.874822,29.736,
09/30/1996,93.300003,,93.599998,,9.529915,1.923077,1.13,1.13,1.19,,,,0.25,4.284188,4.123932,8.478028,31.028938,
12/31/1996,93.764,,93.800003,,10.309168,2.164179,1.35,1.35,1.28,,,,0.25,4.840085,4.648187,9.641227,32.955079,
03/31/1997,94.300003,,94.199997,,10.095542,2.027601,1.24,1.24,1.22,,,,0.0,2.898089,2.770701,16.945917,32.534463,
