Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1997,466.40799,,-412.944,,53.46399,,-38.146,,,,15.318,0.936,,0.0,,,0.0,-0.936,16.254,-6.369,9.885,-0.55,,,10.435,0.0,10.435,0.0,,10.435,10.435,,165.059996,0.0625,0.06,0.06,165.059996,0.0625,0.06,0.06,
12/31/1997,469.225006,,,,,,,,,,,,,,,,,,,,,,,,,,-0.981,,,-0.981,-0.981,,165.059998,-0.005,-0.095,0.055,165.315994,-0.005,-0.095,0.055,
12/31/1998,507.096985,,-443.703003,,63.393982,,-45.859001,,,,17.535,0.883,,0.0,,,0.0,-0.883,18.418,-7.3,11.118,0.0,,,11.118,0.0,11.118,0.0,,11.118,11.118,,164.779999,0.0675,0.0675,0.0675,165.108002,0.0675,0.0675,0.0675,
09/30/1999,593.354004,,-518.351013,,75.002991,,-52.810001,,,,22.193001,1.095,,0.0,,,0.0,-1.095,23.288001,-9.246,14.042,0.0,,,14.042001,0.0,14.042,0.0,0.0,14.042,14.042,,164.724,0.085,0.085,0.085,166.048004,0.085,0.085,0.085,
06/30/2000,750.994,,-644.596,,106.398,,-74.962,,,,31.436,-0.123,,,,,,0.123,31.313,-12.369,18.944,,,,18.944,,18.944,,,18.944,18.944,,169.164,0.1125,0.1125,0.1125,171.252,0.11,0.11,0.11,
09/30/2000,747.615,,-640.461,,107.154,,-77.004,,,,30.15,0.361,,,,,,-0.361,30.511,-12.051,18.46,,,,18.46,,18.46,,,18.46,18.46,,169.036,0.11,0.11,0.11,171.844,0.1075,0.1075,0.1075,
12/31/2000,733.474976,,-626.059021,,107.415955,,-77.083,,,,30.333,0.462,,0.0,,,0.0,-0.462,30.795,-12.166,18.629,0.0,,,18.629,0.0,18.629,0.0,0.0,18.629,18.629,,168.914001,0.11,0.11,0.11,171.688004,0.11,0.11,0.11,
03/31/2001,732.484,,-619.175,,113.309,,-83.935,,,,29.374,0.506,,,,,,-0.506,29.88,-11.746,18.134,0.0,,,18.134,0.0,18.134,0.0,0.0,18.134,18.134,,168.744,0.105,0.105,0.105,171.51,0.105,0.105,0.105,
06/30/2001,796.69397,,-678.690979,,118.002991,,-81.445999,,,,36.556999,0.739,,0.0,,,0.0,-0.739,37.295999,-14.654,22.642,0.0,,,22.641999,0.0,22.642,0.0,0.0,22.642,22.642,,168.705994,0.135,0.135,0.135,171.764008,0.13,0.13,0.13,
09/30/2001,784.517,,-671.325,,113.192,0.0,-78.422,78.422,,0.0,34.77,2.508,,0.0,,,0.0,-2.508,37.278,-14.65,22.628,0.0,,,22.628,0.0,22.628,0.0,0.0,22.628,22.628,,168.588,0.135,0.135,0.135,171.388,0.13,0.13,0.13,
12/31/2001,776.377014,,-664.309021,,112.067993,,-78.495003,,,,33.573002,0.346,,0.0,,,0.0,-0.346,33.919002,-13.331,20.587999,0.0,,,20.588002,0.0,20.587999,0.0,0.0,20.587999,20.587999,,168.955994,0.12,0.12,0.12,171.533997,0.12,0.12,0.12,
03/31/2002,740.031006,,-626.434021,,113.596985,,-79.759003,,,,33.838001,0.328,,0.0,,,0.0,-0.328,34.166001,-13.324,20.841999,0.0,,,20.842001,0.0,20.841999,0.0,0.0,20.841999,20.841999,,169.134003,0.125,0.125,0.125,171.955994,0.12,0.12,0.12,
