Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,,,,0.907,,,0.907,,,,,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,,,,2.401,,,2.401,,,,,34.355999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,,,,198.419998,,,198.419998,,,,,-37.745998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,,,,176.201996,,,176.201996,,,,,-99.177002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,,,,0.533,,,0.533,,,,,41.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,,,,1.025,,,1.025,,,,,94.507004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,,,,12.746,,,12.746,,,,,-38.407001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,,,,166.335999,,,166.335999,,,,,-154.759003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,,,,111.478996,,,111.478996,,,,,87.259003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,,,,-17.09,,,-17.09,,,,,-37.181999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,,,,7.828,,,7.828,,,,,31.679001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,,,,56.705002,,,56.705002,,,,,-65.014999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,,,,32.219002,,,32.219002,,,,,-73.663002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,,,,166.386993,,,166.386993,,,,,111.816002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,,,,19.882,,,19.882,,,,,-0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,,,,27.044001,,,27.044001,,,,,5.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,,,,0.516,,,0.516,,,,,-70.002998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,,,,25.542999,,,25.542999,,,,,9.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,,,,10.898,,,10.898,,,,,-11.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,,,,48.365002,,,48.365002,,,,,71.551003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,160.972,18.82,148.494003,18.547001,,,18.547001,-24.889,,,,-24.889,,,-706.27002,,,,-706.27002,,,,,,,,,,706.27002,,,,,,,,,,,,
06/30/1995,278.082001,51.486,165.671005,57.848,,,57.848,3.077,,,,3.077,,-547.359985,-547.359985,,,,-547.359985,,,,,,,,,,0.0,,,,,,,,,-269.277984,,,
09/30/1995,233.618,20.931,172.853,12.595,,,12.595,27.239,,,,27.239,,-255.166,-415.615,72.839,,,-488.454,,,150.0,150.0,0.0,,,,,10.449,40.163,-11.849,46.485,5.527,5.527,0.0,0.0,,18.615,,,
12/31/1995,136.692001,56.429001,177.054993,47.688,,,47.688,-144.479996,,,,-144.479996,,-409.673004,-409.673004,,,,-409.673004,,,,,,,,,,0.0,,,,,,,,,-272.981003,,,
03/31/1996,138.712,10.179,178.487,5.623,,,5.623,-55.577,,,,-55.577,,-273.406,-283.207,101.844,,,-385.051,,,0.0,0.0,0.0,,,,,9.801,157.061,-11.928,159.494,9.495,9.495,0.0,0.0,,22.367,,,
06/30/1996,203.176,31.583,183.716,18.195,,,18.195,-30.318,,,,-30.318,,-130.246,-299.603,85.341,,,-384.944,,,150.0,150.0,0.0,,,,,19.357,-62.052,-12.05,-75.81,25.808,25.808,0.0,0.0,,10.878,,,
09/30/1996,222.929001,26.288,185.673996,29.783001,,,29.783001,-18.816,,,,-18.816,,,-283.708008,,,,-283.708008,,,,,,,,,,283.708008,,,,,,,,,,,,
12/31/1996,-32.133999,-109.367996,159.959,-65.746002,,,-65.746002,-16.979,,,,-16.979,,-203.604004,-203.604004,,,,-203.604004,,,,,,,,,,0.0,,,,,,,,,-235.738003,,,
03/31/1997,102.189003,33.666,153.994003,17.490999,,,17.490999,-102.961998,,,,-102.961998,,-186.016006,-143.740005,106.248001,,,-249.988007,,,0.0,0.0,0.0,,,,,-42.276001,-11.072001,-11.575,26.928999,-26.426,4.884,-31.309999,0.0,,-94.899002,,,
06/30/1997,170.070999,50.035,156.222,30.646,,,30.646,-66.832001,,,,-66.832001,,-168.330994,-170.932991,86.428001,,,-257.360992,,,0.0,0.0,0.0,,,,,2.601997,19.572998,-11.507,32.005997,-0.925999,22.395,-23.320999,0.0,,21.313,,,
09/30/1997,215.104004,42.803001,128.626999,-11.38,,,-11.38,55.054001,,,,55.054001,,-64.691002,-168.389999,86.490997,,,-254.880997,,,0.0,0.0,0.0,,,,,103.698997,-168.312,-11.696,-184.041,27.425001,34.943001,-7.518,0.0,,-17.899,,,
12/31/1997,133.660995,49.181,162.626999,63.728001,,,63.728001,-141.875,,,,-141.875,,-209.817001,-211.541999,65.346001,,,-276.888,,,0.0,0.0,0.0,,,,,1.724998,54.627007,-11.081,245.143005,-179.434998,0.0,-179.434998,0.0,,-21.528999,,,
03/31/1998,157.436996,37.273998,146.757996,13.714,,,13.714,-40.308998,,,,-40.308998,,-187.185013,-182.587013,87.978996,,,-270.56601,,,0.0,0.0,0.0,,,,,-4.598,7.800003,-11.13,4.366003,14.564,14.564,0.0,0.0,,-21.948015,,,
06/30/1998,266.483002,45.266998,148.981003,31.504999,,,31.504999,40.73,,,,40.73,,-269.304993,-347.814011,84.574997,,,-432.389008,,,0.0,0.0,0.0,,,,,78.509018,20.131002,-11.062,68.766003,-37.573,8.496,-46.069,0.0,,17.308994,,,
09/30/1998,599.613,37.048,429.613,166.133,,104.667,61.466,-33.181,-8.693,-1.208,64.973,-88.253,,-742.621,-711.422,299.496,,,-1010.918,,,0.0,0.0,0.0,,,,,-31.199,118.85,-33.135,194.043,-51.208,29.411,-80.619,9.15,,-24.158,,,
12/31/1998,309.681,39.481998,148.615005,21.117001,,,21.117001,100.467003,,,,100.467003,,9.193985,81.411987,409.042999,,,-327.631012,,,0.0,0.0,0.0,,,,,-72.218002,-235.087001,-10.706,-198.442001,-25.938999,2.982,-28.921,0.0,,83.787994,,,
03/31/1999,186.625,22.139999,149.828995,-16.047001,,,-16.047001,30.702999,,,,30.702999,,-398.002991,-480.000016,86.166,,,-566.166016,,,0.0,0.0,0.0,,,,,81.997025,128.268999,-10.664,146.541999,-7.609,2.017,-9.626,0.0,,-83.109001,,,
06/30/1999,375.71,30.15,289.505,35.747,,34.43,1.317,20.308,7.211,-5.915,127.293,-108.281,,-820.153,-825.162,268.414,,,-1093.576,,,0.0,0.0,0.0,,,,,5.009,371.685,-21.235,399.119,-37.969,5.065,-43.034,31.77,,-72.758,,,
09/30/1999,367.26,66.576,441.042,79.46,,79.46,0.0,-219.818,-199.436,-5.401,,-14.981,,21.838,-936.038,586.41,,,-1522.448,,,0.0,0.0,0.0,,,,,957.876,-212.415,-31.552,-110.916,-74.549,6.599,-81.148,4.602,,176.683,,,
12/31/1999,-97.46202,5.9,207.919983,115.04,,,115.04,-426.322003,,,,-426.322003,,206.229015,497.431008,709.201973,,,-211.770965,,,0.0,0.0,0.0,,,,,-291.201993,-310.832019,-9.325998,-109.109009,-192.397012,1.35,-193.747012,0.0,,-202.065024,,,
03/31/2000,435.450989,19.823999,156.931,0.805,,,0.805,257.890991,,,,257.890991,,-190.362,-419.153,78.113998,,,-497.266998,,,0.0,0.0,0.0,,,,,228.791,-44.695006,-8.91,-37.394006,1.609,1.609,0.0,0.0,,200.393997,,,
06/30/2000,140.264008,29.639999,142.432007,28.106001,,,28.106001,-59.914001,,,,-59.914001,,-252.882004,-292.046005,52.403,,,-344.449005,,,0.0,0.0,0.0,,,,,39.164001,-134.612998,-8.925,-128.030998,2.343,2.343,0.0,0.0,,-247.231003,,,
09/30/2000,79.057999,12.144,157.412994,-4.866,,,-4.866,-85.633003,,,,-85.633003,,38.542999,-148.552006,49.201,,,-197.753006,,,0.0,0.0,0.0,,,,,187.095005,-72.079001,-8.948,-64.440001,1.309,1.309,0.0,0.0,,45.521999,,,
12/31/2000,360.760024,27.424,156.507019,29.886998,,,29.886998,146.942024,,,,146.942024,,-238.255965,173.827976,423.143025,,,-249.315049,,,0.0,0.0,0.0,,,,,-412.083941,-112.212003,-8.990998,-105.215005,1.994,1.994,0.0,0.0,,10.292007,,,
03/31/2001,-24.951,4.119,147.386002,-1.049,,,-1.049,-175.406998,,,,-175.406998,,232.608002,-205.658005,44.544998,,,-250.203003,,,0.0,0.0,0.0,,,,,438.266006,-242.205005,-9.008,-234.977005,1.78,1.78,0.0,0.0,,-34.548,,,
