Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1991,36.713001,2.599,2.599,0.0,7.784,,,7.759,,,,,0.507,,,18.649,17.122999,28.242001,-11.119,0.0,0.941,,,,0.941,18.063999,,2.133,2.133,,,,8.263,,,,,1.766,,,1.766,12.162,20.327999,,,,0.111,,,,,0.111,20.438999,32.600999,0.245,40.827,,,0.0,,-36.959999,4.112001,0.0,4.112001,36.713,
12/30/1991,61.907001,25.414,25.414,0.0,9.237,,,8.737,,,,,0.581,,,43.969002,16.854,,,0.0,1.084,,,,1.084,17.938,,1.714,1.714,,,,3.827,,,,,2.891,,,2.891,8.432,11.734,,,,0.111,,,,,0.111,11.845,20.277,0.0,78.321999,,,0.0,,-36.692001,41.629997,0.0,41.629997,61.906998,
03/30/1992,62.187,22.441999,22.441999,0.0,11.6,,,10.511,,,,,0.613,,,45.166,16.573999,,,0.0,0.447,,,,0.447,17.020999,,2.457,2.457,,,,3.962,,,,,2.318001,,,2.318001,8.737,10.738,,,,0.111,,,,,0.111,10.849,19.586,0.0,78.442001,,,0.0,,-35.841,42.601002,0.0,42.601002,62.187002,
06/30/1992,62.125,23.028999,23.028999,0.0,10.476,,,11.263,,,,,0.563,,,45.331001,16.287001,,,0.0,0.507,,,,0.507,16.794001,,2.572,2.572,,,,3.928,,,,,2.789,,,2.789,9.289,9.881,,,,0.111,,,,,0.111,9.992,19.280999,0.0,78.632004,,,0.0,,-35.787998,42.844006,0.0,42.844006,62.125005,
09/30/1992,62.139999,20.567999,18.535999,2.032,12.067,,,12.435,,,,,0.369,,,45.438999,15.893,31.063,-15.17,0.0,0.808,,,,0.808,16.701,,3.057,3.057,,,,4.298,,,,,2.144,,,2.144,9.499,9.807,,,,0.111,,,,,0.111,9.918,19.417,,78.978996,,,0.0,,-36.256001,42.722995,0.0,42.722995,62.139995,
12/31/1992,56.453999,16.526,13.494,3.032,9.309,,,11.983,,,,,0.789,,,38.606998,16.813999,,,0.0,1.033,,,,1.033,17.846999,,2.211,2.211,,,,4.66,,,,,2.833001,,,2.833001,9.704,10.324,,,,0.111,,,,,0.111,10.435,20.139001,0.0,79.039001,,,0.0,,-42.723999,36.315002,0.0,36.315002,56.454003,
03/31/1993,50.793999,11.688,9.656,2.032,10.429,,,11.242,,,,,0.726,,,34.084999,15.728,,,0.0,0.981,,,,0.981,16.709,,2.641,2.641,,,,4.748,,,,,2.661,,,2.661,10.05,9.007,,,,0.111,,,,,0.111,9.118,19.168,0.0,79.488998,,,0.0,,-47.862999,31.625999,0.0,31.625999,50.794,
06/30/1993,48.521999,11.144,10.144,1.0,8.473,,,10.125,,,,,0.482,,,30.224001,17.347,,,0.0,0.951,,,,0.951,18.298,,2.847,2.847,,,,5.051,,,,,2.862,,,2.862,10.76,10.221,,,,0.111,,,,,0.111,10.332,21.092,0.0,79.539001,,,0.0,,-52.109001,27.43,0.0,27.43,48.522,
09/30/1993,43.974998,10.256,9.256,1.0,7.315,,,8.823,,,,,0.592,,,26.986,16.087999,36.754002,-20.666,0.0,0.901,,,,0.901,16.988999,,2.953,2.953,,,,4.938,,,,,2.533,,,2.533,10.424,8.842,,,,0.111,,,,,0.111,8.953,19.377,0.0,79.922997,,,0.0,,-55.325001,24.597996,0.0,24.597996,43.974996,
12/31/1993,40.161999,6.001,5.001,1.0,8.6,,,8.635,,,,,0.855,,,24.091,15.184,,,0.0,0.887,,,,0.887,16.071,,3.115,3.115,,,,4.854,,,,,2.274,,,2.274,10.243,7.897,,,,0.111,,,,,0.111,8.008,18.251,0.0,79.93,,,0.0,,-58.019001,21.910999,0.0,21.910999,40.161999,
