Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
08/31/1989,9.323,5.931,4.207,0.434,,,0.434,-1.249,,,,-1.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1989,5.403,6.331,4.444,0.209,,,0.209,-5.581,,,,-5.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1990,10.98,6.219,4.692,0.374,,,0.374,-0.305,,,,-0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1990,17.35,8.125,5.018,0.123,,,0.123,4.084,,,,4.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,
08/31/1990,13.222,7.189,4.915,0.818,,,0.818,0.3,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1990,5.557,7.848,6.151,0.369,,,0.369,-8.811,,,,-8.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1991,17.916,7.527,6.916,0.587,,,0.587,2.886,,,,2.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1991,9.7,8.775,7.256,-0.176,,,-0.176,-6.155,,,,-6.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,
08/31/1991,9.851,9.351,5.617,0.629,,,0.629,-5.746,,,,-5.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1991,11.709,9.672,6.832,0.643,,,0.643,-5.438,,,,-5.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/29/1992,19.4,9.302,6.356,0.214,,,0.214,3.528,,,,3.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1992,22.195999,10.87,7.318,-0.299,,,-0.299,4.307,,,,4.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.195999,
08/31/1992,20.412001,9.565,7.152,0.465,,,0.465,3.23,,,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1992,19.096001,11.647,7.311,0.309,,,0.309,-0.171,,,,-0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1993,19.207001,11.014,7.844,0.55,,,0.55,-0.201,,,,-0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1993,22.893,12.647,0.842,16.684,,,16.684,-7.28,,,,-7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.893,
08/31/1993,8.564,10.543,5.926,7.465,,,7.465,-15.37,,,,-15.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1993,19.948999,13.58,6.039,2.882,,,2.882,-2.552,,,,-2.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1994,24.783001,13.061,6.069,2.752,,,2.752,2.901,,,,2.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1994,18.134001,14.986,6.237,5.525,,,5.525,-8.614,,,,-8.614,,-18.354,-18.354,,,,-18.354,,,,,,,,,,0.0,,,,,,,,,,,-0.219999,
08/31/1994,19.99,13.79,6.381,5.151,,,5.151,-5.332,,,,-5.332,,-11.69,-11.69,,,,-11.69,,,,,,,,,,0.0,,,,,,,,,,,8.3,
11/30/1994,10.807,15.726,6.573,2.814,,,2.814,-14.306,,,,-14.306,,-13.656,-13.656,,,,-13.656,,,,,,,,,,0.0,,,,,,,,,,,-2.849,
02/28/1995,23.163,15.315,6.575,2.151,,,2.151,-0.878,,,,-0.878,,-15.179,-15.179,,,,-15.179,,,,,,,,,,0.0,,,,,,,,,,,7.984,
05/31/1995,21.290001,17.912001,6.65,4.31,,,4.31,-7.582,,,,-7.582,,-18.354,-18.354,,,,-18.354,,,,,,,,,,0.0,,,,,,,,,,,2.936001,
08/31/1995,30.782,16.288,6.968,8.303,,,8.303,-0.777,,,,-0.777,,,-13.541,,,,-13.541,,,,,,,,,,13.541,,,,,,,,,,,,
11/30/1995,16.174,18.847,13.344,-3.036,,,-3.036,-12.981,,,,-12.981,,,-14.47,,,,-14.47,,,,,,,,,,14.47,,,,,,,,,,,,
02/29/1996,33.410999,18.524,1.082,8.389,,,8.389,5.416,,,,5.416,,,-13.618,,,,-13.618,,,,,,,,,,13.618,,,,,,,,,,,,
05/31/1996,32.058998,21.524,21.709999,-7.356,,,-7.356,-3.819,,,,-3.819,,,-15.151,,,,-15.151,,,,,,,,,,15.151,,,,,,,,,,,,
08/31/1996,25.934,19.697,11.251,4.331,,4.331,0.0,-9.345,-1.134,-2.823,2.492,-7.88,,-23.203,-14.247,0.12,,,-14.367,,,0.0,0.0,0.0,,,,,-8.956,-0.221,0.0,-0.45,,,0.247,0.247,0.0,-0.018,,2.51,
