Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1989,1817.699951,,-1583.300049,,234.399902,,-180.800003,,,53.599998,-13.0,,13.0,0.0,,0.0,40.599998,-15.4,25.200001,0.0,,,25.199999,-1.2,24.0,,,24.0,24.0,,81.599998,0.285,0.285,,81.599998,0.285,0.285,0.285,
09/30/1989,1858.5,,-1618.800049,,239.699951,,-182.600006,,,57.099998,-13.3,,13.3,0.0,,0.0,43.799998,-16.700001,27.1,0.0,,,27.099998,-0.7,26.4,,,26.4,26.4,,81.0,0.295,0.295,,81.0,0.295,0.295,0.295,
12/31/1989,2024.800049,,-1773.900024,,250.900024,,-187.100006,,,63.799999,-13.3,,13.3,0.0,,0.0,50.499999,-19.200001,31.299999,0.0,,,31.299998,-1.3,30.0,,,30.0,30.0,,80.599998,0.335,0.335,,80.599998,0.335,0.335,0.335,
03/31/1990,2089.899902,,-1832.199951,,257.699951,,-212.300003,,,45.400002,-13.7,,13.7,0.0,,0.0,31.700002,-12.1,19.6,0.0,,,19.600002,-1.3,18.299999,,,18.299999,18.299999,,79.004998,0.2,0.2,0.2,79.004998,0.2,0.2,0.2,
06/30/1990,2022.599976,,-1781.5,,241.099976,,-184.600006,,,56.5,-14.2,,14.2,0.0,,0.0,42.3,-16.1,26.200001,0.0,,,26.2,-0.3,25.9,,,25.9,25.9,,78.599998,0.295,0.295,,78.599998,0.295,0.295,0.295,
09/30/1990,2028.0,,-1785.300049,,242.699951,,-188.600006,,,54.099998,-13.6,,13.6,0.0,,0.0,40.499998,-15.4,25.1,0.0,,,25.099998,-0.2,24.9,,,24.9,24.9,,76.599998,0.29,0.29,,76.599998,0.29,0.29,0.29,
12/30/1990,2196.199951,,-1942.5,,253.699951,,-194.600006,,,59.099998,-14.6,,14.6,0.0,,0.0,44.499998,-17.0,27.5,0.0,,,27.499998,-0.2,27.299999,,,27.299999,27.299999,,76.400002,0.325,0.325,,76.400002,0.325,0.325,0.325,
03/31/1991,2173.800049,,-1920.199951,,253.600098,,-198.399994,,,55.200001,-13.4,,13.4,0.0,,0.0,41.800001,-19.5,22.299999,4.6,,,17.700001,-0.5,17.200001,-10.6,,6.600001,6.600001,,76.225998,0.235,0.295,0.295,76.225998,0.235,0.295,0.295,
06/30/1991,2241.699951,,-1987.800049,,253.899902,,-196.100006,,,57.799999,-14.6,,14.6,0.0,,0.0,43.199999,-17.4,25.799999,110.5,,,-84.700001,-0.5,-85.199997,,,-85.199997,-85.199997,,77.0,-1.12,0.305,0.305,77.0,-1.12,0.305,0.305,
09/30/1991,2551.5,,-2292.300049,,259.199951,,-206.0,,,53.200001,-14.8,,14.8,0.0,,0.0,38.400001,-15.7,22.700001,0.0,,,22.700001,-0.2,22.5,,,22.5,22.5,,77.400002,0.27,0.27,,77.400002,0.27,0.27,0.27,
