Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2006,-73.1,-435.1,20.2,,,,,,,,,,33.6,-4.0,3.1,,,-7.1,,,38.6,41.2,-2.6,,,,,-1.0,-15.7,0.0,-303.4,,,,400.0,400.0,0.0,-112.3,,-55.2,,,
06/30/2006,13.113,-42.4,22.5,,,,,,,,,,-15.448,-0.626,0.0,,,-0.626,,,-26.9,32.3,-59.2,,,,,12.078,-78.08,0.0,-42.911,,,,0.0,0.0,0.0,-35.169,,-80.415,,,
09/30/2006,-75.635,-553.718,113.726,,,,,,,,,,53.134,-69.784,8.675,,,-78.459,,,0.0,0.0,0.0,,,,,122.918,-120.472,-9.244,-355.252,,,,400.0,400.0,0.0,-155.976,,-142.973,,,
12/31/2006,-46.529,-71.356,48.925,168.302,,16.3,152.002,-192.4,-46.1,,-146.3,,8.853,0.0,0.0,,,0.0,,,9.8,9.8,0.0,,,,,-0.947,39.374,-6.456,28.758,,,,0.0,0.0,0.0,17.072,,1.698,-12.4,315.2,
03/31/2007,-2.1,-56.6,18.0,,,,,,,,,,-1.9,-6.0,0.0,,,-6.0,,,-10.0,0.0,-10.0,,,,,14.1,-57.6,-6.5,-12.2,,,,0.0,0.0,0.0,-38.9,,-61.6,,,
06/30/2007,-102.9,468.3,20.0,,,,,,,,,,1145.4,-9.0,0.2,,,-9.2,,,64.8,65.3,-0.5,,,,,1089.6,-996.7,-6.5,-966.8,,,,0.0,0.0,0.0,-23.4,,45.8,,,
09/30/2007,-34.1,287.6,18.9,0.0,,,0.0,0.0,,,0.0,,44.4,-9.7,0.2,,,-9.9,,,-0.3,0.5,-0.8,,,,,54.4,-18.9,-6.5,4.1,,,,0.0,0.0,0.0,-16.5,,-8.6,,,
12/31/2007,369.7,-45.9,20.5,,,,,,,,,,-3.4,-13.8,0.3,,,-14.1,,,-11.1,0.6,-11.7,,,,,21.5,-363.3,-6.5,-350.7,,,,0.0,0.0,0.0,-6.1,,3.0,,,
03/31/2008,41.8,19.8,29.6,27.0,3.3,0.8,22.9,-34.6,-27.9,-3.2,-3.5,,33.1,35.2,43.9,,,-8.7,,,0.0,0.0,0.0,,,,,-2.1,-34.4,-6.5,-16.4,,,,0.0,0.0,0.0,-11.5,,40.5,,,
06/30/2008,25.2,44.1,17.8,-38.0,2.7,0.6,-41.3,1.3,-6.0,1.8,5.5,,5.6,-6.3,3.3,,,-9.6,,,-0.9,1.3,-2.2,,,,,12.8,-25.2,-6.5,-162.6,,,,150.2,150.2,0.0,-6.3,,5.6,,,
09/30/2008,82.3,6.6,17.9,79.0,,0.6,78.4,-21.2,6.5,,-27.7,,-51.5,-14.5,6.6,,,-21.1,,,0.0,0.0,0.0,,,,,-37.0,-73.0,-6.5,-25.2,,,,0.0,0.0,0.0,-41.3,,-42.2,,,
