Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1994,18049,639,639,,1646,,,,4986,,,,,872,,,,,8143,3455,8176.0,-4721.0,0.0,,6451,,,,,6451,9906,,1306,1306,,,,1829,,,,,,2500,,,2500,5635,3594,,,,,2734,,,2734,6328,11963,1000,933,,,0.0,,4153,6086,0,6086,18049,
03/31/1995,17958,513,513,,3529,,,,2975,,,,,1005,,,,,8022,3482,,,0.0,,6454,,,,,6454,9936,,1001,1001,,,,281,,,,,,4294,,,4294,5576,3596,,,,,2608,,,2608,6204,11780,1000,950,,,0.0,,4228,6178,0,6178,17958,
06/30/1995,18275,247,247,,3583,,,,3099,,,,,932,,,,,7861,3459,,,0.0,,6955,,,,,6955,10414,,1042,1042,,,,892,,,,,,4069,,,4069,6003,2894,,,,,3319,,,3319,6213,12216,1000,966,,,0.0,,4093,6059,0,6059,18275,
09/30/1995,18366,122,122,,3820,,,,3183,,,,,888,,,,,8013,3431,,,0.0,,6922,,,,,6922,10353,,1023,1023,,,,715,,,,,,4231,,,4231,5969,2892,,,,,3250,,,3250,6142,12111,1000,940,,,0.0,,4315,6255,0,6255,18366,
12/31/1995,17648,653,653,,1579,,,,5101,,,,,844,,,,,8177,3165,8185.0,-5020.0,0.0,,6306,,,,,6306,9471,,787,787,,,,722,,,,,,3782,,,3782,5291,3010,,,,,2914,,,2914,5924,11215,1000,882,,,0.0,,4551,6433,0,6433,17648,
03/31/1996,17682,156,156,,4130,,,,2862,,,,,872,,,,,8020,3116,,,0.0,,6546,,,,,6546,9662,,763,763,,,,598,,,,,,3868,,,3868,5229,3003,,,,,2794,,,2794,5797,11026,1000,910,,,0.0,,4746,6656,0,6656,17682,
06/30/1996,30328,390,390,,5428,,,,3057,,,,,1363,,,,,10238,4311,,,0.0,,15779,,,,,15779,20090,,941,941,,,,1673,,,,,,5705,,,5705,8319,11086,,,,,4011,,,4011,15097,23416,1000,960,,,0.0,,4952,6912,0,6912,30328,
09/30/1996,30269,323,323,,5221,,,,3101,,,,,1548,,,,,10193,4322,,,0.0,,15754,,,,,15754,20076,,1211,1211,,,,963,,,,,,5870,,,5870,8044,11076,,,,,3960,,,3960,15036,23080,1000,1009,,,0.0,,5180,7189,0,7189,30269,
12/31/1996,29257,0,0,,1887,,,,6165,,,,,1888,,,,,9940,3721,8452.0,-4731.0,0.0,,15596,,,,,15596,19317,,1294,1294,,,,1290,,,,,,6120,,,6120,8704,10188,,,,,3509,,,3509,13697,22401,1000,285,,,0.0,,5571,6856,0,6856,29257,
03/31/1997,29367,0,0,,5242,,,,3411,,,,,1402,,,,,10055,3703,8538.0,-4835.0,0.0,,15609,,,,,15609,19312,,1331,1331,,,,1359,,,,,,6451,,,6451,9141,9889,,,,,3245,,,3245,13134,22275,1000,310,,,0.0,,5782,7092,0,7092,29367,
