Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,604.773987,604.773987,,,0.0,0.0,0.0,,-109.100998,109.100998,109.100998,,0.0,,495.672989,-325.428009,,99.958,61.536999,163.932999,170.244995,-46.468001,,,,59.963001,52.625,-0.38,7.718,-13.495,123.776994,-43.896,79.880997,0.0,,,79.880994,0.0,79.880997,-6.981,,72.899997,72.899997,,144.345001,0.505,0.505,0.505,144.345001,0.505,0.505,0.505,
06/30/1997,593.25,593.25,,,0.0,0.0,0.0,,-100.689003,100.689003,100.689003,,0.0,,492.560997,-323.871002,,86.614998,55.436001,181.820007,168.690002,-45.211999,,,,59.286999,51.713001,-0.381,7.955,-14.075,123.478004,-42.736,80.741997,0.0,,,80.742003,0.0,80.741997,-6.981,,73.760997,73.760997,,144.468002,0.511,0.511,0.511,144.468002,0.511,0.511,0.511,
09/30/1997,652.659973,652.659973,,,0.0,0.0,0.0,,-111.723999,111.723999,111.723999,,0.0,,540.935974,-345.602997,,106.402,58.986,180.214996,195.332993,-45.376999,,,,57.411999,50.799,-1.056,7.669,-12.035,149.955994,-54.277,95.679001,0.0,,,95.678993,0.0,95.679001,-6.981,,88.698001,88.698001,,144.585999,0.613,0.613,0.613,144.585999,0.613,0.613,0.613,
12/31/1997,970.750977,970.750977,,,0.0,0.0,0.0,,-164.753006,164.753006,164.753006,0.0,0.0,,805.997971,-600.507996,0.0,138.455994,106.204002,355.847992,205.490005,-85.311003,,,,104.049004,97.678001,-1.652,8.023,-18.738001,120.179003,-42.889,77.290001,0.0,,,77.290003,0.0,77.290001,-6.875,,70.415001,70.415001,,196.457001,0.358,0.358,0.358,196.457001,0.358,0.358,0.358,
03/31/1998,1199.993042,1199.993042,,,0.0,0.0,0.0,,-209.692993,209.692993,209.692993,,0.0,,990.300049,-667.685974,0.0,167.572998,136.373993,363.739014,322.614014,-112.743,,,0.0,134.306,129.613998,-1.481,6.173,-21.563,209.871014,-76.890999,132.979996,0.0,,,132.980015,0.0,132.979996,-9.328,,123.651996,123.651996,,222.406998,0.555972,0.555972,0.555972,222.406998,0.555972,0.555972,0.555972,
06/30/1998,1463.977051,1463.762939,,,0.0,0.0,0.214,,-326.291992,326.291992,326.291992,,0.0,,1137.685059,-870.85498,,193.690002,135.108002,542.057007,266.829987,-136.205002,,,,136.205002,137.391998,-1.187,0.0,0.0,130.624985,-52.208,78.417,30.521999,,,47.894985,0.0,47.895,-18.462999,,29.432001,29.432001,,223.987,0.13,0.269997,0.27,223.987,0.13,0.27,0.27,
09/30/1998,1721.987061,1458.015015,,,0.0,0.0,263.971985,,-291.22699,291.22699,291.22699,,0.0,,1430.760071,-1002.713989,,198.328995,138.470993,665.914001,428.04599,-133.742996,,,,133.742996,136.203995,-2.461,0.0,0.0,294.302994,-111.643997,182.658997,0.0,,,182.658997,0.0,182.658997,-19.568001,,163.090996,163.090996,,229.481995,0.71,0.71,0.71,229.481995,0.71,0.71,0.71,
12/31/1998,1967.490112,1967.490112,,,0.0,0.0,0.0,,-159.414993,159.414993,159.414993,,0.0,,1808.075119,-1494.948975,,244.578003,140.953003,1109.417969,313.12616,-142.149004,,,,132.188004,134.701004,-2.513,0.0,9.961,170.977156,-57.835999,113.141151,0.0,,,113.141157,0.0,113.141151,-18.440001,,94.701151,94.701151,,229.615997,0.41,0.41,0.41,229.615997,0.41,0.41,0.41,
03/31/1999,1422.552002,1283.323975,,,0.0,0.0,139.227997,,-204.356995,204.356995,204.356995,,0.0,,1218.195007,-841.848999,0.0,191.212997,138.093994,512.541992,376.346008,-126.695999,,,0.0,126.695999,129.380997,-2.685,0.0,0.0,249.650009,-93.547997,156.102005,0.0,,,156.102013,0.0,156.101593,-19.381001,,136.720592,136.720592,,229.139999,0.6,0.6,0.6,229.139999,0.6,0.6,0.6,
06/30/1999,1523.880981,1481.269043,,,0.0,0.0,42.612,,-204.272995,204.272995,204.272995,,0.0,,1319.607986,-945.507019,,215.393997,139.466003,590.646973,374.101013,-127.983002,,,,127.983002,131.358994,-3.376,0.0,0.0,246.118011,-101.417,144.701004,0.0,,,144.701012,0.0,144.701004,-19.379,,125.322004,125.322004,,227.367004,0.55,0.55,0.55,227.367004,0.55,0.55,0.55,
