Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2062.300049,353.799988,353.799988,0.0,119.900002,,,174.0,,,,,8.8,,,,,,,656.5,1366.199951,2068.300049,-702.099976,0.0,,,39.599998,,,,,,39.599998,1405.79995,,128.5,128.5,,,,27.1,,,,,,28.700003,,,,28.700003,184.300003,543.900024,,,,,146.0,,,146.0,689.900024,874.200027,0,445.399994,,,-51.599998,,794.300011,1188.100006,0.0,1188.100006,2062.300034,
06/30/1990,2122.100098,369.0,369.0,0.0,120.0,,,159.399994,,,,,10.3,,,,,,,658.700012,1420.400024,2136.100098,-715.700012,0.0,,,43.0,,,,,,43.0,1463.400024,,133.0,133.0,,,,26.799999,,,,,,17.200001,,,,17.200001,177.0,569.099976,,,,,151.5,,,151.5,720.599976,897.599976,0,444.100006,,,-48.099998,,828.500023,1224.500031,0.0,1224.500031,2122.100006,
09/30/1990,2115.600098,287.200012,287.200012,0.0,94.5,,,196.699997,,,,,5.2,,,,,,,583.599976,1491.0,2215.100098,-724.099976,0.0,,,41.0,,,,,,41.0,1532.0,,148.600006,148.600006,,,,63.0,,,,,,9.5,,,,9.5,221.100006,569.599976,,,,,149.0,,,149.0,718.599976,939.699982,0,441.200012,,,-105.900002,,840.600014,1175.900024,0.0,1175.900024,2115.600006,
12/31/1990,2104.100098,209.100006,209.100006,0.0,71.199997,,,220.800003,,,,,8.0,,,,,,,509.100006,1555.099976,2292.0,-736.900024,0.0,,,39.900002,,,,,,39.900002,1594.999978,,73.300003,73.300003,,,,62.0,,,,,,60.199997,,,,60.199997,195.5,588.700012,,,,,153.199997,,,153.199997,741.900009,937.400009,0,441.5,,,-105.900002,,831.100014,1166.700012,0.0,1166.700012,2104.100021,
03/31/1991,2104.5,187.100006,187.100006,0.0,95.0,,,197.199997,,,,,8.7,,,,,,,488.0,1572.900024,2328.699951,-755.799988,0.0,,,43.599998,,,,,,43.599998,1616.500023,,115.199997,115.199997,,,,109.599998,,,,,,8.800011,,,,8.800011,233.600006,563.5,,,,,151.600006,,,151.600006,715.100006,948.700012,0,442.5,,,-105.599998,,818.899986,1155.799988,0.0,1155.799988,2104.5,
06/30/1991,2158.199951,260.899994,260.899994,0.0,116.0,,,134.199997,,,,,7.3,,,,,,,518.400024,1596.0,2373.300049,-777.299988,0.0,,,43.799999,,,,,,43.799999,1639.799999,,132.699997,132.699997,,,,98.300003,,,,,,20.899994,,,,20.899994,251.899994,566.299988,,,,,152.199997,,,152.199997,718.499985,970.399979,0,443.100006,,,-100.5,,845.200012,1187.800018,0.0,1187.800018,2158.199997,
09/30/1991,2151.600098,244.800003,244.800003,0.0,99.5,,,172.899994,,,,,4.9,,,,,,,522.099976,1587.599976,2376.300049,-788.700012,0.0,,,41.900002,,,,,,41.900002,1629.499977,,147.899994,147.899994,,,,113.400002,,,,,,15.200005,,,,15.200005,276.5,514.700012,,,,,153.199997,,,153.199997,667.900009,944.400009,0,443.700012,,,-99.199997,,862.699997,1207.200012,0.0,1207.200012,2151.600021,
12/31/1991,2107.100098,190.800003,190.800003,0.0,79.699997,,,184.300003,,,,,6.6,,,,,,,461.399994,1598.800049,2401.600098,-802.799988,0.0,,,46.900002,,,,,,46.900002,1645.700051,,61.700001,61.700001,,,,124.300003,,,,,,73.499996,,,,73.499996,259.5,492.700012,,,,,151.300003,,,151.300003,644.000015,903.500015,0,443.5,,,-102.300003,,862.399979,1203.599976,0.0,1203.599976,2107.099991,
03/31/1992,2114.899902,172.199997,172.199997,0.0,126.099998,,,164.5,,,,,8.3,,,,,,,471.100006,1600.800049,2424.300049,-823.5,0.0,,,43.0,,,,,,43.0,1643.800049,,125.5,125.5,,,,133.699997,,,,,,29.800003,,,,29.800003,289.0,441.700012,,,,,152.5,,,152.5,594.200012,883.200012,0,446.600006,,,-101.0,,886.099976,1231.699982,0.0,1231.699982,2114.899994,
06/30/1992,2166.5,214.199997,214.199997,0.0,117.699997,,,188.399994,,,,,7.2,,,,,,,527.5,1587.699951,2431.399902,-843.700012,0.0,,,51.299999,,,,,,51.299999,1638.99995,,141.899994,141.899994,,,,142.800003,,,,,,23.500015,,,,23.500015,308.200012,431.700012,,,,,153.5,,,153.5,585.200012,893.400024,0,469.399994,,,-98.900002,,902.600014,1273.100006,0.0,1273.100006,2166.500031,
