Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1991,53.729,51.462999,39.362999,12.1,0.169,,,0.247,,,,,0.22,,,,52.098999,1.036,2.469,-1.433,0.0,,,0.594,,,,,0.594,1.63,,0.429,0.429,,,,0.0,,,,,,2.631,,,2.631,3.06,0.292,,,,,,,,,,,,0.292,3.352,,70.657997,,,0.0,,-20.281,50.376997,,50.376997,53.728997,
12/31/1991,58.398998,39.047,12.022,27.025,,,,1.182,,,,,1.547,,,,41.776001,1.062,2.588,-1.526,15.204,,,0.357,,,,,0.357,16.623,,0.176,0.176,,,,0.06,,,,,,1.604,,,1.604,1.84,0.222,,,,,1.444,,,,,,1.444,1.666,3.506,,76.844002,,,0.0,,-21.951,54.893002,,54.893002,58.399002,
03/31/1992,58.453999,46.198,13.775,32.423,0.0,,,1.176,,,,,1.415,,,,48.789001,1.17,,,8.15,,,0.345,,,,,0.345,9.665,,1.043,1.043,,,,0.0,,,,,,4.993,,,4.993,6.036,0.206,,,,,1.489,,,,,,1.489,1.695,7.731,,77.725998,,,0.0,,-27.003,50.722998,,50.722998,58.453997,
06/30/1992,55.374001,43.743999,4.964,38.779999,0.0,,,0.715,,,,,1.426,,,,45.884998,1.167,,,7.984,,,0.338,,,,,0.338,9.489,,1.254,1.254,,,,0.0,,,,,,4.079,,,4.079,5.333,0.19,,,,,1.526,,,,,,1.526,1.716,7.049,,77.779999,,,0.0,,-29.455,48.324999,,48.324999,55.373999,
09/30/1992,53.091,41.460001,7.843,33.617001,0.0,,,0.799,,,,,2.305,,,,44.563999,1.387,,,6.917,,,0.223,,,,,0.223,8.527,,1.492,1.492,,,,0.0,,,,,,3.873,,,3.873,5.365,0.173,,,,,1.664,,,,,,1.664,1.837,7.202,,77.797997,,,0.0,,-31.909,45.888996,,45.888996,53.090996,
12/31/1992,52.648998,38.217001,4.656,33.561001,,,,1.215,,,,,1.333,,,,40.764999,3.037,5.076,-2.039,8.607,,,0.24,,,,,0.24,11.884,,3.649,3.649,,,,0.065,,,,,,4.992,,,4.992,8.706,0.156,,,,,,,,,,,,0.156,8.862,,78.442001,,,0.0,,-34.654999,43.787002,,43.787002,52.649002,
03/31/1993,54.193001,23.838001,4.332,19.506001,,,,1.155,,,,,1.568,,,,26.561001,6.944,,,20.222,,,0.466,,,,,0.466,27.632,,4.956,4.956,,,,0.0,,,,,,2.64,,,2.64,7.596,0.138,,,,,,,,,,,,0.138,7.734,,78.522003,,,0.0,,-32.063,46.459003,,46.459003,54.193003,
06/30/1993,50.907001,21.116,3.994,17.122,0.0,,,0.0,,,,,1.32,,,,22.436001,15.088,,,9.696,,,3.687,,,,,3.687,28.471,,3.61,3.61,,,,0.0,,,,,,6.51,,,6.51,10.12,0.407,,,,,0.0,,,,,,0.0,0.407,10.527,0.0,78.529999,,,0.0,,-38.150002,40.379997,0.0,40.379997,50.906997,
09/30/1993,51.120998,21.689,5.744,15.945,0.0,,,0.0,,,,,2.021,,,,23.709999,17.929001,,,6.184,,,3.298,,,,,3.298,27.411001,,3.524,3.524,,,,0.0,,,,,,6.196,,,6.196,9.72,0.471,,,,,0.0,,,,,,0.0,0.471,10.191,0.0,79.139999,,,0.0,,-38.209999,40.93,0.0,40.93,51.121,
12/31/1993,50.728001,21.326,9.669,11.657,0.509,,,0.0,,,,,0.894,,,,22.729,19.844,21.709999,-1.866,7.613,,,0.542,,,,,0.542,27.999,,5.359,5.359,,,,1.125,,,,,,4.75,,,4.75,11.234,3.572,,,,,0.248,,,,,,0.248,3.82,15.054,0.0,79.210999,,,0.0,,-43.536999,35.674,0.0,35.674,50.728,
03/31/1994,44.216999,18.265,4.937,13.328,0.399,,,0.0,,,,,2.526,,,,21.190001,20.534,,,2.23,,,0.263,,,,,0.263,23.027,,4.762,4.762,,,,1.106,,,,,,3.942,,,3.942,9.81,3.278,,,,,0.389,,,,,,0.389,3.667,13.477001,0.0,79.245003,,,0.0,,-48.505001,30.740002,0.0,30.740002,44.217002,
06/30/1994,42.863998,17.7,12.791,4.909,0.428,,,0.0,,,,,1.942,,,,20.07,20.205,,,2.113,,,0.476,,,,,0.476,22.794,,1.631,1.631,,,,1.126,,,,,,4.241,,,4.241,6.998,2.997,,,,,0.529,,,,,,0.529,3.526,10.524,0.0,86.151001,,,0.0,,-53.811001,32.34,0.0,32.34,42.864,
09/30/1994,37.733002,12.021,5.144,6.877,1.353,,,0.0,,,,,2.274,,,,15.648,19.611,,,1.99,,,0.484,,,,,0.484,22.085,,1.77,1.77,,,,1.256,,,,,,4.08,,,4.08,7.106,2.709,,,,,0.668,,,,,,0.668,3.377,10.483,0.0,86.043999,,,0.0,,-58.793999,27.25,0.0,27.25,37.733,
12/31/1994,45.493999,20.601,13.691,6.91,0.494,,,0.0,,,,,1.542,,,,22.636999,19.041,23.306999,-4.266,3.389,,,0.427,,,,,0.427,22.857,,1.434,1.434,,,,3.676,,,,,,4.317,,,4.317,9.427,7.386,,,,,0.785,,,,,,0.785,8.171,17.598,0.0,89.477997,,,0.0,,-61.582001,27.895996,0.0,27.895996,45.493996,
03/31/1995,45.306999,18.896999,11.513,7.384,0.529,,,0.0,,,,,3.49,,,,22.916,18.632,,,3.24,,,0.519,,,,,0.519,22.391,,1.383,1.383,,,,2.362,,,,,,4.803,,,4.803,8.548,6.783,,,,,0.894,,,,,,0.894,7.677,16.225,6.938,94.167,,,0.0,,-72.023003,29.081997,0.0,29.081997,45.306998,
06/30/1995,44.539001,19.697001,11.277,8.42,0.565,,,0.0,,,,,2.487,,,,22.749001,18.253,,,3.088,,,0.449,,,,,0.449,21.79,,0.471,0.471,,,,2.393,,,,,,4.998,,,4.998,7.862,6.156,,,,,1.025,,,,,,1.025,7.181,15.043,11.589,94.505997,,,0.0,,-76.598999,29.495997,0.0,29.495997,44.538998,
09/30/1995,45.048,18.628,7.303,11.325,3.957,,,0.0,,,,,1.053,,,,23.638,18.104,,,1.432,,,1.874,,,,,1.874,21.41,,1.213,1.213,,,,3.137,,,,,,4.782,,,4.782,9.132,7.389,,,,,1.1,,,,,,1.1,8.489,17.621,14.086,94.858002,,,0.0,,-81.516998,27.427004,0.0,27.427004,45.048004,
12/31/1995,47.625999,24.009999,18.827999,5.182,0.64,,,0.0,,,,,2.788,,,,27.438,17.955,24.4,-6.445,1.249,,,0.984,,,,,0.984,20.188,,0.97,0.97,,,,3.248,,,,,,4.518,,,4.518,8.736,6.598,,,,,1.123,,,,,,1.123,7.721,16.457,14.086,95.932999,,,0.0,,-78.849998,31.169001,0.0,31.169001,47.626001,
03/31/1996,55.206001,25.849,18.524,7.325,0.68,,,0.911,,,,,8.161,,,,35.601002,17.569,,,1.06,,,0.976,,,,,0.976,19.605,,0.514,0.514,,,,3.392,,,,,,4.22,,,4.22,8.126,6.385,,,,,1.217,,,,,,1.217,7.602,15.728001,19.086,97.399002,,,0.0,,-77.007004,39.477999,0.0,39.477999,55.205999,
06/30/1996,107.921997,82.862998,68.003998,14.859,3.577,,,0.479,,,,,2.5,,,,89.418999,17.410999,,,0.868,,,0.224,,,,,0.224,18.502999,,1.34,1.34,,,,3.438,,,,,,5.333,,,5.333,10.111,5.759,,,,,1.31,,,,,,1.31,7.069,17.18,26.586,144.653,,,0.0,,-80.497002,90.741999,0.0,90.741999,107.921999,
09/30/1996,103.293999,76.076,53.105,22.971001,3.611,,,1.729,,,,,2.944,,,,84.360001,17.921,,,0.672,,,0.341,,,,,0.341,18.934,,1.291,1.291,,,,3.656,,,,,,4.105,,,4.105,9.052,5.386,,,,,2.402,,,,,,2.402,7.788,16.84,26.586,144.875,,,0.0,,-85.007004,86.453997,0.0,86.453997,103.293997,
12/31/1996,113.829002,78.726999,25.337,53.389999,4.439,,,4.384,,,,,4.065,,,,91.614998,21.452999,30.058001,-8.605,0.445,,,0.316,,,,,0.316,22.213999,,3.106,3.106,,,,3.83,,,,,,6.751,,,6.751,13.687,5.015,,,,,2.513,,,,,,2.513,7.528,21.215,26.586,149.880005,,,0.0,,-83.851997,92.614008,0.0,92.614008,113.829008,
03/31/1997,109.557999,70.083,17.855,52.228001,6.7,,,6.198,,,,,2.622,,,,85.602997,23.351999,,,0.213,,,0.39,,,,,0.39,23.954999,,1.787,1.787,,,,3.752,,,,,,6.08,,,6.08,11.619,4.178,,,,,2.71,,,,,,2.71,6.888,18.507,19.649,157.544006,,,0.0,,-86.141998,91.051008,0.0,91.051008,109.558009,
06/30/1997,102.165001,62.709998,11.624,51.085999,4.453,,,6.587,,,,,4.583,,,,78.333,23.441999,,,0.0,,,0.39,,,,,0.39,23.831999,,2.322,2.322,,,,3.588,,,,,,10.339,,,10.339,16.249001,3.495,,,,,2.821,,,,,,2.821,6.316,22.565001,0.0,177.632996,,,0.0,,-98.032997,79.599998,0.0,79.599998,102.164999,
09/30/1997,94.498001,48.422001,7.389,41.033001,4.221,,,6.917,,,,,8.263,,,,67.822998,23.309999,34.786999,-11.477,3.365,,,,,,,,,26.674999,,0.915,0.915,,,,4.52,,,,,,10.621,,,10.621,16.056,4.374,,,,,2.889,,,,,,2.889,7.263,23.319,0.0,178.785995,,,0.0,,-107.607002,71.178993,0.0,71.178993,94.497993,
12/31/1997,106.013,69.657001,34.847,34.810001,3.971,,,4.134,,,,,1.431,,,,79.193001,23.448999,35.932999,-12.484,3.371,,,,,,,,,26.819999,,1.626,1.626,,,,3.908,,,,,,13.897999,,,13.897999,19.431999,3.886,,,,,2.016,,,,,,2.016,5.902,25.333999,0.0,179.975006,,,0.0,,-99.295998,80.679008,0.0,80.679008,106.013008,
