Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1993,120.899002,1.254,1.254,0.0,45.688999,,,,34.52,,,,,1.075,,,,,,82.538002,37.936001,,,0.0,0.425,,,,0.425,38.361001,,24.667999,24.667999,,,,23.334999,,,,,,4.915001,,,,4.915001,52.917999,17.075001,,,,,2.39,,,2.39,19.465001,72.383,0.0,14.785,,,0.0,,33.730999,48.515999,0.0,48.515999,120.898999,
02/28/1994,147.276993,0.151,0.151,,66.137001,,,,40.903999,,,,,1.185,,,,,,108.376999,37.036999,,,0.0,1.863,,,,1.863,38.899999,,37.654999,37.654999,,,,34.942001,,,,,,5.225998,,,,5.225998,77.822998,15.96,,,,,2.502,,,2.502,18.462,96.284998,0.0,15.323,,,0.0,,35.668999,50.991999,0.0,50.991999,147.276997,
05/31/1994,146.906006,0.528,0.528,,46.618,,,,59.523998,,,,,1.335,,,,,,108.004997,37.748001,,,0.0,1.153,,,,1.153,38.901001,,33.022999,33.022999,,,,38.603001,,,,,,5.935997,,,,5.935997,77.561996,15.267,,,,,2.565,,,2.565,17.832,95.393997,0.0,15.392,,,0.0,,36.119999,51.511999,0.0,51.511999,146.905996,
08/31/1994,174.317993,1.798,1.798,0.0,69.257004,,,,54.910999,,,,,3.28,,,,,,129.246002,44.514999,77.594002,-33.078999,0.0,0.557,,,,0.557,45.071999,,45.873001,45.873001,,,,48.562,,,,,,7.172001,,,,7.172001,101.607002,18.215,,,,,3.265,,,3.265,21.48,123.087002,0.0,15.731,,,0.0,,35.5,51.231,0.0,51.231,174.318002,
11/30/1994,172.214005,4.192,4.192,0.0,59.330002,,,,58.876999,,,,,3.526,,,,,,125.925003,45.936001,,,0.0,0.353,,,,0.353,46.289001,,46.255001,46.255001,,,,40.324001,,,,,,9.619995,,,,9.619995,96.198997,19.311001,,,,,3.295,,,3.295,22.606001,118.804998,0.0,16.063,,,0.0,,37.346001,53.409,0.0,53.409,172.213999,
02/28/1995,182.175995,4.428,4.428,0.0,67.679001,,,,57.858002,,,,,4.678,,,,,,134.643005,46.936001,,,0.0,0.597,,,,0.597,47.533001,,45.707001,45.707001,,,,54.409,,,,,,6.707996,,,,6.707996,106.823997,18.091999,,,,,4.244,,,4.244,22.335999,129.159997,0.0,16.416,,,0.0,,36.599998,53.015999,0.0,53.015999,182.175995,
05/31/1995,222.300003,6.08,6.08,0.0,75.154999,,,,82.917999,,,,,4.984,,,,,,169.136993,51.693001,,,0.0,1.47,,,,1.47,53.163001,,80.695999,80.695999,,,,52.644001,,,,,,7.105007,,,,7.105007,140.445007,21.766001,,,,,5.722,,,5.722,27.488001,167.933008,0.0,16.511999,,,0.0,,37.855,54.366999,0.0,54.366999,222.300007,
08/31/1995,280.960999,5.486,5.486,0.0,116.472,,,,91.657997,,,,,4.581,,,,,,218.197006,61.722,103.043999,-41.321999,0.0,1.042,,,,1.042,62.764,,90.612,90.612,,,,81.129997,,,,,,13.122001,,,,13.122001,184.863998,27.931999,,,,,8.57,,,8.57,36.501999,221.365997,0.0,16.733,,,0.0,,42.862,59.595,0.0,59.595,280.960997,
11/30/1995,336.075989,3.409,3.409,0.0,113.091003,,,,145.580994,,,,,2.167,,,,,,264.247986,70.635002,,,0.0,1.193,,,,1.193,71.828002,,101.977997,101.977997,,,,75.917,,,,,,17.894005,,,,17.894005,195.789001,28.618,,,,,7.517,,,7.517,36.135,231.924002,0.0,56.055,,,0.0,,48.097,104.152,0.0,104.152,336.076002,
02/29/1996,304.889008,4.34,4.34,0.0,112.413002,,,,111.786003,,,,,2.355,,,,,,230.893997,72.455002,,,0.0,1.54,,,,1.54,73.995002,,80.856003,80.856003,,,,62.358002,,,,,,17.11,,,,17.11,160.324005,27.076,,,,,6.539,,,6.539,33.615,193.939005,0.0,56.494999,,,0.0,,54.455002,110.950001,0.0,110.950001,304.889006,
05/31/1996,263.464996,28.004,28.004,0.0,98.706001,,,,59.389999,,,,,3.957,,,,,,190.057007,71.890999,,,0.0,1.517,,,,1.517,73.407999,,55.054001,55.054001,,,,5.509,,,,,,19.914996,,,,19.914996,80.477997,59.082001,,,,,6.666,,,6.666,65.748001,146.225997,0.0,56.527,,,0.0,,60.712002,117.239002,0.0,117.239002,263.465,
08/31/1996,299.940002,73.319,73.319,0.0,84.838997,,,,64.869003,,,,,4.311,,,,,,227.337997,70.704002,127.931,-57.227001,0.0,1.898,,,,1.898,72.602002,,78.599998,78.599998,,,,2.451,,,,,,30.529004,,,,30.529004,111.580002,58.370998,,,,,5.755,,,5.755,64.125998,175.706,0.0,56.942001,,,0.0,,67.292,124.234001,0.0,124.234001,299.940001,
11/30/1996,302.188995,72.418999,72.418999,0.0,77.922997,,,,67.496002,,,,,5.45,,,,,,223.287994,78.609001,140.240005,-61.631001,0.0,0.292,,,,0.292,78.901001,,73.994003,73.994003,,,,2.459,,,,,,29.444999,,,,29.444999,105.898003,57.747002,,,,,4.996,,,4.996,62.743001,168.641004,0.0,57.408001,,,0.0,,76.139999,133.548,0.0,133.548,302.189004,
02/28/1997,333.018005,65.157997,65.157997,0.0,90.837997,,,,78.280998,,,,,5.605,,,,,,239.882004,91.253998,157.731003,-66.476997,0.0,1.882,,,,1.882,93.135998,,93.372002,93.372002,,,,2.459,,,,,,27.890998,,,,27.890998,123.722,57.192001,,,,,5.088,,,5.088,62.280001,186.002001,0.0,59.810001,,,0.0,,87.206001,147.016003,0.0,147.016003,333.018004,
05/31/1997,374.221008,56.431,56.431,0.0,95.195999,,,,96.944,,,,,6.702,,,,,,255.272995,116.856003,185.959,-69.102997,0.0,2.092,,,,2.092,118.948003,,105.526001,105.526001,,,,5.206,,,,,,43.245996,,,,43.245996,153.977997,53.344002,,,,,4.966,,,4.966,58.310002,212.287999,0.0,60.154999,,,0.0,,101.778,161.932999,0.0,161.932999,374.220997,
08/31/1997,405.903015,45.457001,45.457001,0.0,116.987,,,,96.186996,,,,,7.367,,,,,,265.997986,139.520004,216.511002,-76.990997,0.0,0.385,,,,0.385,139.905004,,125.740997,125.740997,,,,2.475,,,,,,40.433997,,,,40.433997,168.649994,50.0,,,,,5.768,,,5.768,55.768,224.417994,0.0,61.668999,,,0.0,,119.816002,181.485001,0.0,181.485001,405.902995,
11/30/1997,461.084991,43.151001,43.151001,0.0,134.356995,,,,111.778999,,,,,6.847,,,,,,296.134003,163.988998,407.295013,-243.306,0.0,0.962,,,,0.962,164.950998,,149.847,149.847,,,,10.0,,,,,,44.871994,,,,44.871994,204.718994,50.0,,,,,5.726,,,5.726,55.726,260.444994,0.0,61.752998,,,0.0,,138.886993,200.639992,0.0,200.639992,461.084986,
02/28/1998,455.273987,55.68,55.68,0.0,119.544998,,,,90.113998,,,,,7.1,,,,,,272.438995,182.464996,268.109985,-85.644997,0.0,0.37,,,,0.37,182.834996,,126.529999,126.529999,,,,0.0,,,,,,44.070007,,,,44.070007,170.600006,50.0,,,,,5.523,,,5.523,55.523,226.123006,0.0,70.125,,,0.0,,159.026001,229.151001,0.0,229.151001,455.274007,
05/31/1998,445.417,43.348,43.348,0.0,123.863,123.863,,,83.651,60.813,17.616,5.222,,7.578,,,,,,258.44,185.88,278.497986,-92.617996,0.0,1.097,,,,1.097,186.977,,100.232,100.232,,,,8.333,,,,,,42.423,,,,42.423,150.988,41.667,,,,,6.253,,,6.253,47.92,198.908,0.0,70.202,,,0.0,176.307,0.0,246.509,0.0,246.509,445.417,
08/31/1998,523.327026,23.139,23.139,0.0,126.276001,,,,123.097,101.319,15.955,5.823,0.0,14.491,,,,,,287.002991,224.679993,324.335999,-99.655998,0.0,11.644,,,,11.644,236.323993,,132.600998,132.600998,,,,8.333,,,,,,45.784996,,,,45.784996,186.718994,81.667,,,,,6.575,,,6.575,88.242,274.960994,0.0,71.616997,,,0.0,,176.748993,248.36599,0.0,248.36599,523.326983,
11/30/1998,616.309021,13.016,13.016,0.0,180.792999,,,,146.272003,130.725006,12.748,2.799,0.0,18.327,,,,,,358.40799,246.496002,350.903992,-104.407997,0.0,11.405,,,,11.405,257.901002,,192.764008,192.764008,,,,8.333,8.333,0.0,0.0,,,54.846992,,,,54.846992,255.944,81.667,81.667,0.0,0.0,,10.905,,,10.905,92.572,348.516,0.0,71.758003,,,0.0,,196.035004,267.793007,0.0,267.793007,616.309007,
02/28/1999,698.929993,18.087999,18.087999,0.0,209.091995,,,,156.546005,132.477997,17.486,6.582,0.0,20.591999,,,,,,404.317993,283.822998,401.881989,-118.058998,0.0,10.789,,,,10.789,294.611998,,212.869995,212.869995,,,,8.333,8.333,0.0,0.0,,,52.165016,,,,52.165016,273.368011,121.667,121.667,0.0,0.0,,10.696,,,10.696,132.363,405.731011,0.0,75.546997,,,0.0,,217.651993,293.19899,0.0,293.19899,698.930001,
05/31/1999,841.862976,158.468994,158.468994,0.0,208.274002,,,,137.845001,123.139999,11.434,3.271,0.0,19.209999,,,,,,523.797974,300.110992,428.657013,-128.546005,0.0,17.954,,,,17.954,318.064993,,201.313995,201.313995,,,,16.666,16.666,0.0,0.0,,,60.020004,,,,60.020004,278.0,33.334,33.334,0.0,0.0,,13.853,,,13.853,47.186999,325.186999,0.0,274.621002,,,0.0,,242.054993,516.675995,0.0,516.675995,841.862994,
08/31/1999,1035.421021,153.124998,125.948997,27.176001,261.078003,,,,217.839996,159.203003,29.622,29.014999,0.0,29.07,,,,,,661.112976,353.522003,533.007019,-179.485001,0.0,20.785999,,,,20.785999,374.308002,,300.092987,300.092987,,,,8.333,8.333,0.0,0.0,,,103.854012,,,,103.854012,412.279999,33.333,33.333,0.0,0.0,,11.997,,,11.997,45.33,457.609999,0.0,296.863007,,,0.0,,280.947998,577.811005,0.0,577.811005,1035.421003,
11/30/1999,1138.748,48.124,43.254,4.87,318.647,318.647,,,299.477,212.975,38.9,47.602,0.0,36.265,,,,,,702.513,396.295,589.424988,-193.130005,0.0,39.94,,,,39.94,436.235,,384.571,384.571,,,,9.921,9.921,0.0,0.0,,,77.789,,,,77.789,472.281,33.333,33.333,0.0,0.0,,25.007,,,25.007,58.34,530.621,0.0,301.016,,,0.0,307.654,-0.543,608.127,0.0,608.127,1138.748,
02/29/2000,1307.865967,56.612,56.612,0.0,379.222992,,,,353.325989,250.020004,46.699001,56.606998,0.0,38.355999,,,,,,827.517029,439.878998,648.934998,-209.056,0.0,40.470001,,,,40.470001,480.348999,,427.863007,427.863007,,,,8.333,8.333,0.0,0.0,,,70.780006,,,,70.780006,506.976013,128.332993,128.332993,0.0,0.0,,24.674999,,,24.674999,153.007992,659.984005,0.0,306.834015,,,0.0,,341.048004,647.882019,0.0,647.882019,1307.866024,
05/31/2000,1479.194946,38.999001,38.999001,0.0,437.333008,,,,409.983002,296.075989,50.613998,63.292999,0.0,50.509998,,,,,,936.825012,501.321991,732.182983,-230.860992,0.0,41.048,,,,41.048,542.369991,,462.730988,462.730988,,,,8.333,8.333,0.0,0.0,,,84.574013,,,,84.574013,555.638,205.0,205.0,0.0,0.0,,26.375999,,,26.375999,231.375999,787.014,0.0,312.960999,,,0.0,,379.220001,692.181,0.0,692.181,1479.195,
08/31/2000,2018.192017,337.60199,337.60199,0.0,523.096008,,,,477.548004,368.78299,54.287998,54.477001,0.0,49.023998,,,,,,1387.27002,587.494019,844.150024,-256.656006,0.0,43.428001,34.360001,33.637001,0.723,9.068001,630.92202,,594.111023,594.111023,,,,8.333,8.333,0.0,0.0,,,89.530952,,,,89.530952,691.974976,25.0,25.0,0.0,0.0,,31.034,,,31.034,56.034,748.008976,0.0,843.973999,,,0.0,,426.209015,1270.183014,0.0,1270.183014,2018.19199,
11/30/2000,2150.015,131.067,131.067,,568.298,568.298,,,641.514,516.64,67.382,57.492,,60.143,,,,,,1401.022,704.785,,,,44.208,,,,44.208,748.993,,664.467,664.467,,,,8.333,,,,,,92.364,,,,92.364,765.164,25.0,,,,,40.123,,,40.123,65.123,830.287,,845.803,,,,474.556,-0.631,1319.728,,1319.728,2150.015,
02/28/2001,2160.215088,146.125,146.125,0.0,535.763,,,,631.745972,475.252991,74.938004,81.555,0.0,59.936001,,,,,,1373.569946,742.984985,,,0.0,43.66,,,,43.66,786.644985,,645.945984,645.945984,,,,8.333,8.333,0.0,0.0,,,78.379036,,,,78.379036,732.65802,25.0,25.0,0.0,0.0,,27.816,,,27.816,52.816,785.47402,0.0,859.848999,,,0.0,,514.892029,1374.741028,0.0,1374.741028,2160.215048,
05/31/2001,2390.554932,457.458008,457.458008,0.0,539.802002,,,,530.049988,412.30899,65.198997,52.542,0.0,68.913002,,,,,,1596.223022,744.205017,,,0.0,50.126999,,,,50.126999,794.332016,,490.102997,490.102997,,,,8.333,8.333,0.0,0.0,,,89.210976,,,,89.210976,587.646973,361.666992,361.666992,0.0,0.0,,47.145,,,47.145,408.811993,996.458965,0.0,860.866028,,,0.0,,533.22998,1394.096008,0.0,1394.096008,2390.554974,
08/31/2001,2357.577881,430.652008,430.652008,0.0,528.195984,,,,431.498993,314.337006,58.555,58.606998,0.0,56.451,,,,,,1446.797974,744.723022,1093.645996,-348.923004,0.0,166.057007,148.888,148.123001,0.764999,17.169006,910.780029,,392.181,392.181,,,,8.333,8.333,0.0,0.0,,,104.260994,,,,104.260994,504.774994,361.666992,361.666992,0.0,0.0,,77.059998,,,77.059998,438.72699,943.501984,0.0,869.065979,,,0.0,,545.01001,1414.075989,0.0,1414.075989,2357.577972,
11/30/2001,2363.853027,492.382996,492.382996,0.0,460.355988,,,,405.664001,45.053001,62.890999,297.720001,0.0,62.037998,,,,,,1420.44104,755.109985,,,0.0,188.302002,170.403,170.403,0.0,17.899002,943.411987,,375.924988,375.924988,,,,8.333,8.333,0.0,0.0,,,109.882027,,,,109.882027,494.140015,361.666992,361.666992,0.0,0.0,,84.601997,,,84.601997,446.268989,940.409004,0.0,870.208984,,,0.0,,553.234985,1423.443969,0.0,1423.443969,2363.852973,
02/28/2002,2412.894043,643.343994,643.343994,0.0,400.177002,,,,348.390991,253.787003,57.419998,37.183998,0.0,104.484001,,,,,,1496.395996,719.495972,,,0.0,197.001999,177.084,,,19.917999,916.497971,,363.746002,363.746002,,,,8.333,8.333,0.0,0.0,,,113.318001,,,,113.318001,485.397003,361.666992,361.666992,0.0,0.0,,89.462997,,,89.462997,451.12999,936.526993,0.0,919.765991,,,0.0,,556.601013,1476.367004,0.0,1476.367004,2412.893997,
05/31/2002,2428.186035,658.690979,658.690979,0.0,349.260986,,,,325.317993,236.453995,54.005001,34.859001,0.0,207.936996,,,,,,1541.207031,691.687988,,,0.0,195.291,176.283997,,,19.007003,886.978988,,369.631012,369.631012,,,,8.333,8.333,0.0,0.0,,,106.076973,,,,106.076973,484.040985,353.333008,353.333008,0.0,0.0,,92.450996,,,92.450996,445.784004,929.824989,0.0,920.458984,,,0.0,,577.901978,1498.360962,0.0,1498.360962,2428.185951,
