Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
06/30/2009,,114,,114,95.0,95.0,,0.837927,,0.837927,,0.519623,,0.519623,
09/30/2009,,150,,150,64.0,64.0,,1.050494,,1.050494,,0.670781,,0.670781,
12/31/2009,,104,,104,55.0,55.0,,0.730953,,0.730953,,0.483002,,0.483002,
06/30/2010,,59,,59,120.0,120.0,,0.397655,,0.397655,,0.272542,,0.272542,
09/30/2010,,84,,84,43.0,43.0,,0.529568,,0.529568,,0.364425,,0.364425,
12/31/2010,,47,,47,23.0,23.0,,0.296306,,0.296306,,0.203905,,0.203905,
03/31/2011,,90,,90,23.0,23.0,,0.548747,,0.548747,,0.388668,,0.388668,
06/30/2011,,95,,95,20.0,20.0,,0.561964,,0.561964,,0.399899,,0.399899,
09/30/2011,,42,,42,55.0,55.0,,0.243634,,0.243634,,0.171121,,0.171121,
12/31/2011,,342,77.0,419,,,,1.929152,0.434341,2.363493,,1.340388,0.301783,1.642171,
03/31/2012,,78,,78,33.0,33.0,,0.421166,,0.421166,,0.296725,,0.296725,
06/30/2012,,17,,17,74.0,74.0,,0.0898,,0.0898,,0.061079,,0.061079,
09/30/2012,,81,,81,34.0,34.0,,0.411523,,0.411523,,0.282604,,0.282604,
12/31/2012,,417,100.0,517,,,,2.048536,0.491256,2.539792,,1.324482,0.317622,1.642104,
03/31/2013,,45,,45,52.0,52.0,,0.217612,,0.217612,,0.134104,,0.134104,
06/30/2013,,34,,34,74.0,74.0,,0.162283,,0.162283,,0.101212,,0.101212,
09/30/2013,,63,,63,26.0,26.0,,0.289988,,0.289988,,0.181698,,0.181698,
12/31/2013,,599,107.0,706,,,,2.68249,0.479176,3.161666,,1.720671,0.307365,2.028036,
03/31/2014,,68,,68,24.0,24.0,,0.29835,,0.29835,,0.191657,,0.191657,
06/30/2014,,49,,49,38.0,38.0,,0.22878,,0.22878,,0.144855,,0.144855,
09/30/2014,,36,,36,186.0,186.0,,0.16652,,0.16652,,0.105048,,0.105048,
12/31/2014,0.0,552,108.0,660,,,0.0,2.657423,0.519931,3.177354,0.0,1.644717,0.321793,1.96651,
03/31/2015,,56,,56,519.0,519.0,,0.292856,,0.292856,,0.172712,,0.172712,
06/30/2015,,54,,54,341.0,341.0,,0.284136,,0.284136,,0.172938,,0.172938,
09/30/2015,,39,,39,335.0,335.0,,0.214215,,0.214215,,0.131632,,0.131632,
12/31/2015,0.0,502,99.0,601,,,0.0,3.049818,0.601458,3.651276,0.0,1.933,0.381209,2.314209,
03/31/2016,,36,,36,137.0,137.0,,0.219071,,0.219071,,0.145431,,0.145431,
06/30/2016,,43,,43,2665.0,2665.0,,0.265662,,0.265662,,0.180794,,0.180794,
09/30/2016,,51,,51,2725.0,2725.0,,0.342558,,0.342558,,0.229792,,0.229792,
12/31/2016,0.0,490,53.0,543,,,0.0,3.49925,0.37849,3.87774,0.0,2.317881,0.25071,2.56859,
03/31/2017,,80,,80,55.0,55.0,,0.572041,,0.572041,,0.382702,,0.382702,
06/30/2017,,26,,26,21.0,21.0,,0.185423,,0.185423,,0.124479,,0.124479,
09/30/2017,,42,,42,10.0,10.0,,0.296799,,0.296799,,0.200631,,0.200631,
12/31/2017,0.0,527,61.0,588,,,0.0,3.721751,0.430791,4.152542,0.0,2.608136,0.301891,2.910027,
03/31/2018,,42,,42,9.0,9.0,,0.296799,,0.296799,,0.209895,,0.209895,
06/30/2018,,21,,21,15.0,15.0,,0.150344,,0.150344,,0.106286,,0.106286,
09/30/2018,,18,,18,16.0,16.0,,0.128792,,0.128792,,0.090484,,0.090484,
12/31/2018,0.0,462,55.0,517,36.0,36.0,0.0,3.326373,0.395997,3.72237,0.0,2.333805,0.277834,2.611639,
12/31/2019,0.0,505,63.0,568,26.0,26.0,0.0,6.436401,0.802957,7.239358,0.0,3.840596,0.479124,4.31972,
