Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
04/30/2011,27.0,27.0,,42.0,42.0,1.26523,1.26523,0.348522,0.348522,
07/30/2011,48.0,48.0,,44.0,44.0,2.396405,2.396405,0.620476,0.620476,
10/29/2011,64.0,64.0,,39.0,39.0,3.375527,3.375527,0.767478,0.767478,
07/28/2012,,,,,,,0.0,,0.0,
10/27/2012,,,,,,,0.0,,0.0,
08/03/2013,,,,,,,0.0,,0.0,
11/02/2013,,,,,,,0.0,,0.0,
08/02/2014,,,,,,,0.0,,0.0,
11/01/2014,,,,,,,0.0,,0.0,
01/31/2015,,,,3693.0,3693.0,,,,,
08/01/2015,,,,,,,0.0,,0.0,
10/31/2015,,,3177.0,,3177.0,,0.0,,0.0,
01/30/2016,,,3077.0,,3077.0,,,,,
04/30/2016,,,3085.0,,3085.0,,,,,
07/30/2016,,,3076.0,,3076.0,,0.0,,0.0,
10/29/2016,,,3064.0,,3064.0,,0.0,,0.0,
01/28/2017,,,2949.0,,2949.0,,,,,
04/29/2017,,,,,2921.0,,,,,
07/29/2017,,,2908.0,,2908.0,,,,,
10/28/2017,,,2840.0,,2840.0,,0.0,,0.0,
02/03/2018,,,2827.0,,2827.0,,,,,
05/05/2018,,,,,2772.0,,,,,
08/04/2018,,,2797.0,,2797.0,,0.0,,0.0,
11/03/2018,,,2700.0,,2700.0,,0.0,,0.0,
02/02/2019,,,2692.0,,2692.0,,,,,
05/04/2019,,,2741.0,,2741.0,,,,,
08/03/2019,,,2782.0,,2782.0,,0.0,,0.0,
11/02/2019,,,2831.0,,2831.0,,0.0,,0.0,
02/01/2020,,,2905.0,,2905.0,,,,,
05/02/2020,,,2804.0,,2804.0,,,,,
08/01/2020,,,2922.0,,2922.0,,0.0,,0.0,
