Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,EV/Sales,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,,,,146.250127,,
12/31/1980,,,,,,,,,,,195.00017,,
03/31/1981,,,,,,,,,,,201.500175,,
06/30/1981,,,,,,,,,,,170.625148,,
09/30/1981,,,,,,,,,,,113.750099,,
12/31/1981,,,,,,,,,,,89.375078,,
03/31/1982,,,,,,,,,,,73.937564,,
06/30/1982,,,,,,,,,,,74.750065,,
09/30/1982,,,,,,,,,,,104.812591,,
12/31/1982,,,,,,,,,,,176.312653,,
03/31/1983,,,,,,,,,,,196.625171,,
06/30/1983,,,,,,,,,,,216.125188,,
09/30/1983,,,,,,,,,,,185.250161,,
12/31/1983,,,,,,,,,,,149.50013,,
03/31/1984,,,,,,,,,,,115.3751,,
06/30/1984,,,,,,,,,,,74.750065,,
09/30/1984,,,,,,,,,,,84.500074,,
12/31/1984,,,,,,,,,,,81.250071,,
03/31/1985,,,,,,,,,,,95.875083,,
06/30/1985,,,,,,,,,,,95.875083,,
09/30/1985,,,,,,,,,,,81.250071,,
12/31/1985,,,,,,,,,,,74.750065,,
03/31/1986,,,,,,,,,,,110.500096,,
06/30/1986,,,,,,,,,,,92.625081,,
09/30/1986,,,,,,,,,,,65.000057,,
12/31/1986,,,,,,,,,,,73.125064,,
03/31/1987,,,,,,,,,,,100.750088,,
06/30/1987,,,,,,,,,,,68.250059,,
09/30/1987,,,,,,,,,,,61.750054,,
12/31/1987,,,,,,,,,,,39.000034,,
03/31/1988,,,,,,,,,,,34.12503,,
06/30/1988,,,,,,,,,,,39.000034,,
09/30/1988,,,,,,,,,,,29.250025,,
12/31/1988,,,,,,,,,,,27.625024,,
03/31/1989,,,,,,,,,,,24.375021,,
06/30/1989,,,,,,,,,,,22.75002,,
09/30/1989,,,,,,,,,,,14.625013,,
12/31/1989,,,,,,,,,,,19.500017,,
03/31/1990,,650.949377,650.949377,650.949377,0.892358,,,,,,14.625013,650.949377,
06/30/1990,,659.264867,687.574125,632.637003,0.96801,,,,,,14.625013,643.766368,
09/30/1990,,599.103858,643.766368,512.791043,0.293049,,,,,,4.468754,512.791043,
12/31/1990,,516.119094,531.103417,478.569224,0.706748,,0.093994,3.281064,0.755821,42.786699,5.281255,478.569224,
03/31/1991,,508.952127,565.553001,464.834944,1.270666,,0.16906,6.082743,0.855798,65.727094,8.937508,509.845062,
06/30/1991,,467.681069,519.001249,182.801937,0.609032,,0.080663,6.559813,0.322086,52.559499,4.062504,182.801937,
09/30/1991,,183.742287,191.958124,169.73484,0.547073,,0.076398,,0.314721,291.140376,3.656253,169.73484,
12/31/1991,,176.004496,282.572929,165.156747,0.607174,,0.092465,1.727191,0.57072,114.960514,4.062504,282.572929,
03/31/1992,,412.756444,474.852858,291.729116,2.802879,,0.426527,9.460907,0.614932,39.931371,19.500017,316.815492,
06/30/1992,20.491804,271.489327,316.815492,243.565995,2.225403,,0.316778,5.469156,0.493221,16.473465,16.250014,285.122738,
09/30/1992,7.211539,254.030855,303.810112,193.667248,1.215383,,0.173117,2.146946,0.301595,7.606789,9.750008,191.417248,
12/31/1992,,199.695012,284.603247,154.7925,2.032977,,0.159261,2.51463,0.412528,9.187863,9.750008,284.603247,
03/31/1993,,342.461869,394.477491,227.675368,2.789867,,0.230657,3.932507,0.318636,6.560682,14.625013,227.675368,
06/30/1993,,287.577587,571.47345,209.362994,1.327648,,0.299769,,0.705656,14.075414,19.5,517.651493,
09/30/1993,11.090483,563.136186,595.420288,532.542242,1.192973,,0.370567,,0.733188,13.711338,25.375,570.885249,
12/31/1993,4.306858,578.031214,612.818772,556.438362,1.20085,,0.377672,,0.75932,13.7563,26.625,616.626139,
03/31/1994,3.332019,612.246822,637.089522,535.728631,0.916671,,0.282811,,0.629654,11.391084,21.125,548.002263,
06/30/1994,2.284946,517.002053,549.248513,481.951011,0.6258,,0.189308,,0.5629,10.3357,14.875,515.462002,
09/30/1994,5.904059,539.689112,548.42651,514.777759,0.647661,,0.19642,,0.553424,10.480262,16.0,522.482999,
12/31/1994,5.638112,516.642561,523.793374,502.885385,0.631694,,0.185318,350.459134,0.510486,9.705113,16.125,509.770763,
