Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Source: Bloomberg
03/31/2008,1960.5,,-1503.699951,,456.800049,,-143.800003,,,,313.0,-57.900003,55.599998,64.300003,-8.7,,,2.3,255.099997,-64.900002,190.199997,-4.1,,,194.299995,-16.200001,178.100006,,,178.100006,178.100006,,
06/30/2008,2210.6,,,,,,,,,,,,,,,,,,,,,,,,,,231.3,,,231.3,231.3,,
09/30/2008,2008.6,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,,,78.6,78.6,,
12/31/2008,1705.0,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,19.1,19.1,,
03/31/2009,1519.0,1519.0,-1222.2,1222.2,296.8,2.8,-132.4,118.5,13.9,0.0,167.2,-77.2,39.6,48.1,-8.5,,-13.6,51.2,90.0,-31.2,58.8,0.0,0.0,0.0,58.8,-13.7,45.1,0.0,0.0,45.1,92.8,47.7,
06/30/2009,1807.0,1807.0,-1399.6,1399.6,407.4,3.5,-136.5,122.4,14.1,0.0,274.4,-62.4,51.4,57.9,-6.5,,-14.1,25.1,212.0,-49.5,162.5,0.0,0.0,0.0,162.5,-13.2,149.3,0.0,0.0,149.3,159.7,10.4,
09/30/2009,1874.6,1874.6,-1425.9,1425.9,448.7,3.4,-142.5,128.2,14.3,0.0,309.6,-116.8,52.5,58.6,-6.1,14.7,-11.9,61.5,192.8,-63.8,129.0,0.0,0.0,0.0,129.0,-2.3,126.7,0.0,0.0,126.7,162.7,36.0,
12/31/2009,1451.4,1451.4,-1269.3,1269.3,182.1,3.3,-139.6,123.9,15.7,0.0,45.8,-145.6,,60.5,,-13.7,-13.4,112.2,-99.8,34.5,-65.3,-66.0,-66.0,0.0,0.7,-6.8,-6.1,0.0,0.0,-6.1,35.8,107.9,
03/31/2010,1546.0,1546.0,-1247.0,1247.0,299.0,4.0,-134.0,120.0,14.0,0.0,169.0,-46.0,52.0,56.0,-4.0,,-13.0,7.0,123.0,-32.0,91.0,-3.0,-3.0,0.0,94.0,-9.0,85.0,0.0,0.0,85.0,82.0,0.0,
06/30/2010,1670.0,1670.0,-1287.0,1287.0,383.0,4.0,-138.0,123.0,15.0,0.0,249.0,-55.0,56.0,60.0,-4.0,,-13.0,12.0,194.0,-51.0,143.0,-12.0,-12.0,0.0,155.0,-14.0,141.0,0.0,0.0,141.0,140.05,11.05,
09/30/2010,1689.0,1689.0,-1329.0,1329.0,360.0,4.0,-138.0,124.0,14.0,0.0,226.0,-38.0,59.0,61.0,-2.0,,-20.0,-1.0,188.0,-53.0,135.0,-16.0,-16.0,0.0,151.0,-12.0,139.0,0.0,0.0,139.0,129.0,6.0,
12/31/2010,1598.4,1598.4,-1333.2,1333.2,265.2,3.9,-138.7,120.0,18.7,0.0,130.4,-82.6,70.1,72.4,-2.3,,-13.5,26.0,47.8,9.2,57.0,306.0,-31.0,337.0,-249.0,-7.1,-256.1,0.0,0.0,-256.1,64.95,15.05,
03/31/2011,1719.0,1719.0,-1376.0,1376.0,343.0,5.0,-158.0,142.0,16.0,0.0,190.0,-75.0,73.0,76.0,-3.0,,-14.0,16.0,115.0,-28.0,87.0,1.0,1.0,0.0,86.0,-4.0,82.0,0.0,0.0,82.0,88.2,5.2,
06/30/2011,1959.0,1959.0,-1604.0,1604.0,355.0,3.0,-164.0,146.0,18.0,0.0,194.0,-84.0,97.0,100.0,-3.0,,-19.0,6.0,110.0,-32.0,78.0,-2.0,-2.0,0.0,80.0,-7.0,73.0,0.0,0.0,73.0,89.85,18.85,
09/30/2011,1862.0,1862.0,-1475.0,1475.0,387.0,4.0,-156.0,138.0,18.0,0.0,235.0,-87.0,68.0,70.0,-2.0,,-19.0,38.0,148.0,-25.0,123.0,3.0,3.0,0.0,120.0,-4.0,116.0,0.0,0.0,116.0,137.85,18.85,
