Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,43.629002,146.537003,191.552994,114.057999,495.777008,,,,,,
06/30/1990,,3.528,136.408005,-192.235001,-114.482002,-166.781006,,,,,,
09/30/1990,,-254.934006,238.819,187.589996,143.246002,314.721008,,,,,,
12/31/1990,,-186.744003,199.563995,-330.13501,277.86499,-39.450001,,,,-39.450001,,
03/31/1991,,-88.690002,125.873001,-23.923,-86.182999,-72.922997,,,,,,
06/30/1991,,-49.495998,101.266998,121.25,-157.229996,15.791,,,,,,
09/30/1991,,18.066,100.652,-131.386993,49.73,37.061001,,,,,,
12/31/1991,,93.521004,107.241997,-31.843,-21.504,147.416,,,,147.416,,
03/31/1992,,56.750999,73.903,-185.942001,-35.317001,-90.605003,,,,,,
06/30/1992,,62.472,54.823002,126.014,2352.562012,2595.871094,,,,,,
09/30/1992,,70.228996,63.187,257.463013,-1671.892944,-1281.014038,,,,,,
12/31/1992,,79.5,141.891998,-237.320007,1505.234985,1499.235962,,,,1499.235962,,
03/31/1993,,83.675003,78.565002,-31.764,789.122986,919.598999,,,,,,
06/30/1993,,71.387001,60.935001,53.835999,-453.316986,-267.158997,,,,,,
09/30/1993,,41.452,52.049,128.014999,-505.286987,-283.770996,,,,,,
12/31/1993,,102.696999,53.820999,276.565002,652.364014,1085.261963,,,,1085.261963,,
03/31/1994,,96.139999,82.567001,-126.900002,304.286011,356.092987,,,,,,
06/30/1994,,94.5,60.077999,165.320007,278.841003,598.739014,,,,,,
09/30/1994,,123.969002,83.454002,-37.435001,-162.440002,7.548,,,,,,
12/31/1994,,120.856003,80.901001,-52.985001,309.312988,457.619995,,,,457.619995,,
03/31/1995,,125.0,137.0,191.0,-349.0,104.0,,,,,,
06/30/1995,,134.0,101.0,-619.0,-104.0,-488.0,,,,,,
09/30/1995,,140.0,86.0,93.0,17.0,336.0,,,,,,
12/31/1995,,180.0,190.0,327.0,-940.0,-144.0,,,,-144.0,,
03/31/1996,,155.0,91.0,-82.0,-18.0,146.0,,-59.0,,,,
06/30/1996,,214.0,93.0,-170.0,-324.0,-187.0,,-54.0,,,,
09/30/1996,,80.0,98.0,-252.0,-66.0,-140.0,,-58.0,,,,
12/31/1996,,201.0,99.0,16.0,393.0,709.0,-237.0,-237.0,,472.0,,
03/31/1997,,207.0,99.0,-88.0,-300.0,-82.0,,-64.0,,,,
06/30/1997,,212.0,100.0,532.0,-188.0,656.0,,-88.0,,,,
09/30/1997,,226.0,79.0,-1124.0,-137.0,-956.0,,-81.0,,,,
12/31/1997,,234.0,79.0,365.0,93.0,771.0,-91.0,-91.0,,680.0,,
03/31/1998,,238.0,184.0,-467.0,-106.0,-151.0,,-100.0,,,,
06/30/1998,,242.0,106.0,7.0,97.0,452.0,,-79.0,,,,
09/30/1998,,105.0,107.0,-426.0,242.0,28.0,,-216.0,,,,
12/31/1998,,207.0,177.0,130.0,-114.0,400.0,,-107.0,,,,
03/31/1999,,223.0,126.0,-131.0,-474.0,-256.0,,-86.0,,,,
06/30/1999,,250.0,152.0,500.0,-45.0,857.0,,-64.0,,,,
