Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2004,39757,632,632,0.0,1685,,,0.0,0.0,0.0,0.0,0.0,1979,,,,,4296,1754,,,0.0,33707,13663,11225,2438,,,20044,35461,,1443,1443.0,,,,1209,1209.0,0.0,0.0,,,4066,,,4066,6718,12824,12824.0,0.0,0.0,,9578,,,,,,9578,22402,29120,0.0,10844,,,-5171,4799,165,10637,0.0,10637,39757,
06/30/2004,42403,566,566,0.0,1608,,,0.0,0.0,0.0,0.0,0.0,1748,,,,,3922,1760,,,0.0,36721,13459,10989,2470,,,23262,38481,,1458,1458.0,,,,1082,1082.0,0.0,0.0,,,4121,,,4121,6661,14042,14042.0,0.0,0.0,,10586,,,,,,10586,24628,31289,0.0,10866,,,-5361,5418,191,11114,0.0,11114,42403,
09/30/2004,41609,1633,1633,0.0,1544,1544.0,,0.0,0.0,0.0,0.0,0.0,1678,,,,,4855,1749,,,0.0,35005,13475,10981,2494,,,21530,36754,,4429,4429.0,,,,864,864.0,0.0,0.0,,,809,,,809,6102,13208,13208.0,0.0,0.0,,9888,,,,,,9888,23096,29198,0.0,11765,,,-5473,5918,201,12411,0.0,12411,41609,
12/31/2004,42570,467,467,,1237,1237.0,,,,,,,8005,,,,,9709,1685,3179.0,-1494.0,,31176,13695,11087,2608,,,17481,32861,,768,768.0,,,,739,,,,,,8692,,,8692,10199,15745,,,,,3931,,,,,,3931,19676,29875,,12104,,,-5561,6179,-27,12695,,12695,42570,
03/31/2005,34723,1341,1341,0.0,1311,1311.0,,0.0,0.0,0.0,0.0,0.0,3133,,,,,5785,1627,,,0.0,27311,12690,11220,1470,,,14621,28938,,3957,3957.0,,,,1360,,,,,,1091,,,1091,6408,6669,,,,,10451,,,,,,10451,17120,23528,0.0,12180,,,-5726,4850,-109,11195,0.0,11195,34723,
06/30/2005,36131,738,738,0.0,2190,2190.0,,0.0,0.0,0.0,0.0,0.0,3062,,,,,5990,1667,,,0.0,28474,15313,12164,3149,,,13161,30141,,1345,1345.0,,,,1313,,,,,,4222,,,4222,6880,14749,,,,,3268,,,,,,3268,18017,24897,0.0,12416,,,-5918,5142,-406,11234,0.0,11234,36131,
09/30/2005,35427,356,356,0.0,1287,1287.0,,0.0,0.0,0.0,0.0,0.0,2924,,,,,4567,1670,,,0.0,29190,15420,12275,3145,,,13770,30860,,1085,1085.0,,,,2232,2232.0,0.0,0.0,,,4127,,,4127,7444,13320,13320.0,0.0,0.0,,3448,,,,,,3448,16768,24212,0.0,12433,,,-6389,5524,-353,11215,0.0,11215,35427,
12/31/2005,34104,961,961,0.0,1271,1271.0,,0.0,0.0,0.0,0.0,0.0,1320,,,,,3552,1791,3351.0,-1560.0,0.0,28761,15267,12026,3241,,,13494,30552,,942,942.0,,,,1021,,,,,,3754,,,3754,5717,13588,,,,,3508,,,,,,3508,17096,22813,0.0,12463,,,-6718,5946,-400,11291,0.0,11291,34104,
03/31/2006,34823,445,445,0.0,1417,1417.0,,0.0,0.0,0.0,0.0,0.0,1698,,,,,3560,10725,,,0.0,20538,15450,12185,3265,,,5088,31263,,1041,1041.0,,,,1281,,,,,,3835,,,3835,6157,14122,,,,,3446,,,,,,3446,17568,23725,0.0,12054,,,-6925,5903,66,11098,0.0,11098,34823,
06/30/2006,35170,642,642,0.0,917,917.0,,0.0,0.0,0.0,0.0,0.0,7873,,,,,9432,10719,,,0.0,15019,10309,8082,2227,,,4710,25738,,689,689.0,,,,3593,,,,,,5008,,,5008,9290,12028,,,,,3351,,,,,,3351,15379,24669,0.0,12059,,,-6902,5155,189,10501,0.0,10501,35170,
09/30/2006,14245,379,379,0.0,453,453.0,,0.0,0.0,0.0,0.0,0.0,1273,,,,,2105,8009,,,0.0,4131,2936,2194,742,,362.0,833,12140,,238,238.0,,,,32,32.0,0.0,0.0,,,1736,,,1736,2006,7897,7897.0,0.0,0.0,,1811,,,,,,1811,9708,11714,0.0,10079,,,-6716,-890,58,2531,0.0,2531,14245,
12/31/2006,13271,172,172,0.0,363,363.0,,0.0,0.0,0.0,0.0,0.0,1271,,,,,1806,7535,8962.0,-1427.0,0.0,10979,2932,2193,739,,,8047,18514,,223,223.0,,,,29,-66.0,95.0,95.0,,,1632,,,1632,1884,7083,6921.0,162.0,162.0,,1861,,,,,,1861,8944,10828,0.0,9665,,,-6704,-586,68,2443,0.0,2443,13271,
03/31/2007,14075,254,254,0.0,420,420.0,,0.0,0.0,0.0,0.0,0.0,438,,,,,1112,8629,,,0.0,4334,2932,2193,739,,347.0,1055,12963,,202,202.0,,,,1432,,,,,,819,,,819,2453,6789,,,,,2387,,,,,,2387,9176,11629,0.0,9628,,,-6655,-591,64,2446,0.0,2446,14075,
06/30/2007,15376,227,227,0.0,436,436.0,,0.0,0.0,0.0,0.0,0.0,546,,,,,1209,9796,,,0.0,4371,2939,2194,745,,375.0,1057,14167,,209,209.0,,,,2469,,,,,,901,,,901,3579,6698,,,,,2569,,,,,,2569,9267,12846,0.0,9328,,,-6347,-568,117,2530,0.0,2530,15376,
09/30/2007,14911,302,302,0.0,464,464.0,,0.0,0.0,0.0,0.0,0.0,654,,,,,1420,8986,,,0.0,4505,2953,2195,758,,304.0,1248,13491,,175,175.0,,,,2642,,,,,,1085,,,1085,3902,6094,,,,,2330,,,,,,2330,8424,12326,0.0,9339,,,-6374,-464,84,2585,0.0,2585,14911,
12/31/2007,12474,214,214,0.0,392,392.0,,0.0,0.0,0.0,0.0,0.0,612,,,,,1218,7974,9451.0,-1477.0,0.0,3282,1760,1000,760,,230.0,1292,11256,,1094,1094.0,,,,10,-154.0,164.0,164.0,,,0,,,0,1104,7383,7343.0,40.0,40.0,,2522,,,,,,2522,9905,11009,0.0,9321,,,-6368,-1520,32,1465,0.0,1465,12474,
03/31/2008,14063,219,219,0.0,403,403.0,,0.0,0.0,0.0,0.0,0.0,585,,,,,1207,9427,,,0.0,3429,1785,1000,785,,479.0,1165,12856,,228,228.0,,,,10,,,,,,857,,,857,1095,9021,,,,,2590,,,,,,2590,11611,12706,0.0,9284,,,-6369,-1532,-26,1357,0.0,1357,14063,
06/30/2008,14392,262,262,0.0,434,434.0,,0.0,0.0,0.0,0.0,0.0,536,,,,,1232,9644,,,0.0,3516,1802,1000,802,,567.0,1147,13160,,231,231.0,,,,9,,,,,,815,,,815,1055,9284,,,,,2596,,,,,,2596,11880,12935,0.0,9225,,,-6307,-1516,55,1457,0.0,1457,14392,
09/30/2008,12404,374,374,0.0,311,311.0,,0.0,0.0,0.0,0.0,0.0,488,,,,,1173,8527,,,0.0,2704,555,76,479,,562.0,1587,11231,,179,179.0,,,,9,,,,,,793,,,793,981,8630,,,,,2413,,,,,,2413,11043,12024,0.0,9218,,,-6294,-2523,-21,380,0.0,380,12404,
12/31/2008,11318,258,258,0.0,360,360.0,,0.0,0.0,0.0,0.0,0.0,455,,,,,1073,7649,9372.0,-1723.0,0.0,2596,571,75,496,,117.0,1908,10245,,162,162.0,,,,2273,2179.0,94.0,94.0,,,739,,,739,3174,5550,5518.0,32.0,32.0,,2501,,,,,,2501,8051,11225,0.0,9198,,,-6267,-2644,-194,93,0.0,93,11318,
03/31/2009,10255,345,345,0.0,313,313.0,0.0,0.0,0.0,0.0,0.0,0.0,428,,,558.0,353.0,1086,6856,,,0.0,2313,539,75,464,,28.0,1188,9169,,877,,,,877.0,12,0.0,,,,12.0,0,,36.0,0,889,6789,6789.0,,,,2533,,,,,1215.0,1282,9322,10211,0.0,9141,1.0,9140.0,-6208,-2693,-196,44,0.0,44,10255,
06/30/2009,10809,434,434,0.0,313,313.0,0.0,0.0,0.0,0.0,0.0,0.0,458,,1.0,570.0,385.0,1205,7424,,,0.0,2180,546,75,471,,117.0,946,9604,,867,,,,867.0,11,0.0,,,,11.0,0,,42.0,0,878,7228,7228.0,,,,2580,,,,,1246.0,1292,9808,10686,0.0,9091,1.0,9090.0,-6152,-2699,-117,123,0.0,123,10809,
