Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/29/2009,54.194,54.194,-14.654,14.654,39.54,0.0,-36.311,26.435,21.763,4.672,9.876,0.0,3.229,1.208,,,-0.714,-0.494,4.437,-0.663,3.774,0.0,0.0,0.0,3.774,0.0,3.774,0.0,-5.231,-1.457,-1.457,0.0,41.92,-0.035,-0.035,-0.035,41.92,-0.035,-0.035,-0.035,
06/28/2009,61.345,61.345,-16.979,16.979,44.366,0.0,-39.391,28.857,24.341,4.516,10.534,0.0,4.975,0.253,,,-0.535,0.282,5.228,-0.652,4.576,0.0,0.0,0.0,4.576,0.0,4.576,0.0,-4.035,0.541,0.541,0.0,,,,,,,,,
09/30/2009,65.864,65.864,-17.433,17.433,48.431,0.0,-38.755,27.958,23.468,4.49,10.797,0.0,9.676,0.364,,,-0.428,0.064,10.04,-2.151,7.889,0.0,0.0,0.0,7.889,0.0,7.889,0.0,0.0,7.889,7.889,0.0,,,,,,,,,
12/31/2009,70.711,70.711,-20.909,20.909,49.802,0.0,-42.349,31.361,26.719,4.642,10.988,0.0,7.453,0.354,,,-0.304,-0.05,7.807,36.132,43.939,0.0,0.0,0.0,43.939,0.0,43.939,0.0,0.0,43.939,45.01995,1.08095,85.982,0.51,0.51,0.523598,141.52,0.31,0.31,0.317638,
03/31/2010,69.795,69.795,-19.375,19.375,50.42,0.0,-43.716,31.782,26.723,5.059,11.934,0.0,6.704,0.018,,,-0.268,0.25,6.722,-2.504,4.218,0.0,0.0,0.0,4.218,0.0,4.218,0.0,0.0,4.218,4.218,0.0,134.362,0.03,0.03,0.03,149.756,0.03,0.03,0.03,
06/30/2010,76.331,76.331,-20.165,20.165,56.166,0.0,-46.386,33.71,27.777,5.933,12.676,0.0,9.78,0.486,,,-0.399,-0.087,10.266,-3.397,6.869,0.0,0.0,0.0,6.869,0.0,6.869,0.0,0.0,6.869,6.869,0.0,136.99,0.05,0.05,0.05,151.274,0.045,0.045,0.045,
09/30/2010,84.971,84.971,-21.443,21.443,63.528,0.0,-45.369,32.98,26.987,5.993,12.389,0.0,18.159,0.112,,,-0.514,0.402,18.271,-4.254,14.017,0.0,0.0,0.0,14.017,0.0,14.017,0.0,0.0,14.017,14.017,0.0,143.672,0.1,0.1,0.1,155.842,0.09,0.09,0.09,
12/31/2010,93.599,93.599,-24.223,24.223,69.376,0.0,-48.678,35.876,30.481,5.395,12.802,0.0,20.698,0.384,,,-0.634,0.25,21.082,-4.941,16.141,0.0,0.0,0.0,16.141,0.0,16.141,0.0,0.0,16.141,16.141,0.0,147.698,0.11,0.11,0.11,160.668,0.1,0.1,0.1,
03/31/2011,93.266,93.266,-23.416,23.416,69.85,0.0,-52.405,37.984,32.718,5.266,14.421,0.0,17.445,0.698,,,-0.793,0.095,18.143,-4.556,13.587,0.0,0.0,0.0,13.587,0.0,13.587,0.0,0.0,13.587,13.587,0.0,150.308,0.09,0.09,0.09,162.864,0.085,0.085,0.085,
06/30/2011,103.023,103.023,-26.558,26.558,76.465,0.0,-57.686,41.744,35.896,5.848,15.942,0.0,18.779,0.656,,,-0.863,0.207,19.435,-4.941,14.494,0.0,0.0,0.0,14.494,0.0,14.494,0.0,0.0,14.494,14.494,0.0,152.267,0.1,0.1,0.1,163.887,0.09,0.09,0.09,
