Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1991,1169.51001,-878.669983,290.840027,-199.626999,91.212997,-35.678001,-0.157,11.739,67.116996,-27.719,39.397999,,,39.397999,-6.156,33.241999,,,33.241996,,0.41,0.41,82.061996,0.41,0.41,0.41,82.061996,
06/30/1991,1169.084961,-904.624023,264.460938,-191.069,73.391998,-33.904999,0.579,2.996,43.062,-20.393999,22.667999,,,22.667999,-6.153,16.514999,,,16.515001,,0.2,0.2,81.853996,0.2,0.2,0.2,81.853996,
09/29/1991,1118.813965,-892.166016,226.647949,-179.927002,46.721001,-34.124001,-0.939,0.616,12.274,-3.807,8.467,,,8.467,-6.153,2.314,,,2.314,,0.03,0.03,81.809998,0.03,0.03,0.03,81.809998,
12/29/1991,1104.317017,-876.414978,227.902039,-195.248001,32.653999,-34.297001,-4.48,16.424999,10.301997,-2.544,7.758,0.0,0.0,7.758,-6.148,1.61,,,1.609997,0.02,0.02,0.02,81.655998,0.02,0.02,0.02,81.655998,
03/29/1992,1136.353027,-948.39502,187.958008,-173.473999,14.484,-37.77,-1.19,1.842,-22.634,7.927,-14.707,-273.84201,0.706,-287.842987,-6.15,-293.992987,,,-20.151,,-0.25,-3.6,81.736,-0.25,-0.25,-3.6,81.736,
06/28/1992,1236.625,-1003.171997,233.453003,-185.891998,47.561001,-38.118999,-6.034,12.029,15.437002,-5.293,10.144,0.0,0.155,10.299,-6.149,4.15,,,4.150001,,0.06,0.06,81.803001,0.06,0.06,0.06,81.803001,
09/27/1992,1213.522949,-1012.192017,201.330933,-169.253006,32.077999,-36.605999,-1.434,11.088,5.126,-2.411,2.715,0.0,0.31,3.025,-6.147,-3.122,,,-3.121999,,-0.04,-0.04,81.757004,-0.04,-0.04,-0.04,81.757004,
12/31/1992,1141.677979,-1012.955017,128.722962,-173.526001,-44.803001,-36.591999,-0.913,-103.721001,-186.029001,64.498001,-121.530998,-31.423003,0.133,-152.820999,-8.048,-160.868999,,,-129.446,-1.59,-1.59,-1.97,81.727997,-1.59,-1.59,-1.97,81.727997,
03/28/1993,1113.625,-934.719971,178.905029,-161.251007,17.653999,-39.185001,-2.61,6.158,-17.983002,7.212,-10.771,0.0,0.641,-10.13,-8.208,-18.338,,,-18.338002,,-0.22,-0.22,81.745003,-0.22,-0.22,-0.22,81.745003,
06/27/1993,1198.134033,-983.336975,214.797058,-172.608994,42.188,-33.317001,-5.819,19.156,22.207999,-8.865,13.343,0.0,0.393,13.736,-8.205,5.531,,,5.530999,,0.06,0.06,81.846001,0.06,0.06,0.06,81.846001,
09/26/1993,1183.506958,-972.252991,211.253967,-175.770996,35.483002,-31.76,-3.281,20.388,20.830002,-20.122999,0.707,0.0,0.478,1.185,-8.205,-7.02,,,-7.019997,,-0.08,-0.08,82.155998,-0.08,-0.08,-0.08,82.155998,
12/31/1993,1154.928955,-968.276001,186.652954,-167.955002,18.698,-33.332001,8.429,-2.186,-8.391001,2.868,-5.523,0.0,0.386,-5.137,-8.204,-13.341,,,-13.341001,-0.16,-0.16,-0.16,81.914001,-0.16,-0.16,-0.16,81.914001,
03/27/1994,1105.503052,-934.866028,170.637024,-150.332001,20.305,-34.957001,0.006,2.255,-12.391,4.975,-7.416,0.0,0.33,-7.086,-8.202,-15.288,,,-15.288,,-0.19,-0.19,81.865997,-0.19,-0.19,-0.19,81.865997,
06/26/1994,1198.14502,-990.697021,207.447998,-164.983002,42.465,-36.553001,-0.357,15.461,21.015999,-8.521,12.495,0.0,0.405,12.9,-8.201,4.698999,,,4.698999,,0.06,0.06,81.901001,0.06,0.06,0.06,81.901001,
09/25/1994,1444.772949,-1182.953979,261.81897,-214.557007,47.262001,-51.824001,0.003,6.65,2.091,-1.909,0.182,0.0,-0.281,-0.099,-14.442,-14.541,,,-14.541001,,-0.18,-0.18,81.685997,-0.18,-0.18,-0.18,81.685997,
12/25/1994,1668.854004,-1343.459961,325.394043,-278.846008,46.548,-62.290001,-0.204,-4.521,-20.467001,1.048,-19.419001,0.0,0.745,-18.674,-14.994,-33.668,,,-33.668001,-0.41,-0.41,-0.41,81.695,-0.41,-0.41,-0.41,81.695,
03/26/1995,1667.599976,-1319.699951,347.900024,-248.0,99.900002,-61.799999,-0.4,7.4,45.100002,-19.4,25.700001,0.0,0.8,26.5,-14.6,11.9,,,11.900002,,0.14,0.14,82.653,0.14,0.14,0.14,82.653,
06/25/1995,1817.900024,-1407.0,410.900024,-279.899994,131.0,-60.0,-0.2,5.8,76.6,-32.900002,43.700001,0.0,-2.7,41.0,-14.6,26.4,,,26.399998,,0.32,0.32,83.367996,0.32,0.32,0.32,83.367996,
09/24/1995,1734.699951,-1322.699951,412.0,-271.600006,140.399994,-54.5,-0.2,-5.3,80.399994,-42.900002,37.5,0.0,-0.2,37.299999,-14.6,22.699999,,,22.699992,,0.27,0.27,84.823997,0.27,0.27,0.27,84.823997,
12/31/1995,1579.300049,-1209.5,369.800049,-265.899994,103.900002,-50.099998,0.5,-19.200001,35.100002,-14.2,20.9,0.0,0.7,21.6,-14.7,6.900001,,,6.900003,,0.08,0.08,85.695,0.08,0.08,0.08,85.695,
03/31/1996,1555.400024,-1182.0,373.400024,-273.600006,99.800003,-45.400002,1.0,-20.4,35.000002,-15.4,19.6,0.0,0.9,20.5,-14.7,5.8,23.4,-9.1,20.100002,0.23,0.07,0.07,85.5,0.23,0.07,0.07,85.5,
06/30/1996,1570.199951,-1177.900024,392.299927,-286.5,105.800003,-42.700001,1.2,-3.8,60.500002,-26.6,33.900002,0.0,-3.4,30.5,-14.6,15.9,7.0,-2.8,20.100002,0.24,0.18,0.18,85.5,0.24,0.18,0.18,85.5,
09/29/1996,1925.900024,-1358.800049,567.099976,-302.5,264.600006,-102.199997,0.0,35.299999,197.700008,-83.599998,114.099998,0.0,-0.1,114.0,-8.1,105.9,-30.299999,16.5,92.10001,0.45,0.52,0.52,204.100006,0.44,0.51,0.51,223.529007,
12/29/1996,1785.599976,-1305.800049,479.799927,-360.299988,119.5,-100.0,-1.6,129.199997,147.099997,-45.400002,101.699997,-4.8,-2.0,94.900002,-21.1,73.800001,,,78.599995,0.3,0.45,0.43,206.304001,0.3,0.45,0.43,221.556,
03/30/1997,1817.800049,-1278.099976,539.700073,-288.899994,250.800003,-95.800003,0.0,7.1,162.1,-64.900002,97.199997,-1.3,0.0,95.900002,-14.6,81.300001,,,82.599998,0.44,0.44,0.43,187.899994,0.43,0.43,0.43,205.699997,
06/29/1997,1854.300049,-1286.099976,568.200073,-282.299988,285.899994,-94.5,-0.1,62.0,253.299994,-103.5,149.800003,-0.6,-0.1,149.100006,-14.6,134.500006,-35.200001,0.0,99.899993,0.55,0.71,0.71,189.100006,0.52,0.68,0.68,216.300003,
09/28/1997,1825.400024,-1270.400024,555.0,-277.100006,277.899994,-87.300003,0.0,-42.799999,147.799992,-77.300003,70.5,-45.200001,-1.8,23.5,-8.1,15.4,53.900002,0.0,114.49999,0.55,0.31,0.08,197.699997,0.54,0.29,0.07,208.300003,
12/28/1997,1761.5,-1243.099976,518.400024,-346.100006,172.300003,-189.199997,-4.1,-203.0,-223.999994,14.1,-209.899994,-84.400002,-1.2,-295.5,-12.5,-308.0,317.600006,0.0,94.000012,0.48,-1.05,-1.46,207.199997,0.48,-1.05,-1.46,207.199997,
03/29/1998,1668.800049,-1134.900024,533.900024,-275.700012,258.200012,-69.400002,,2.3,191.100011,-75.699997,115.400002,-0.4,0.0,115.0,-5.2,109.8,7.5,-2.9,114.800014,0.56,0.52,0.52,208.5,0.55,0.52,0.52,210.899994,
06/28/1998,1731.099976,-1164.5,566.599976,-275.899994,290.700012,-68.0,,-15.1,207.600012,-75.099998,132.5,3.7,0.0,136.199997,0.0,136.199997,9.7,-3.8,138.400013,0.66,0.61,0.63,217.600006,0.65,0.6,0.62,220.300003,
09/28/1998,1713.699951,-1132.699951,581.0,-293.200012,287.799988,-65.599998,,-17.0,205.199989,-57.599998,147.600006,3.1,0.0,150.699997,0.0,150.699997,12.7,-4.9,155.399991,0.72,0.69,0.7,219.0,0.71,0.68,0.69,220.0,
12/28/1998,1689.0,-1115.300049,573.699951,-298.200012,275.5,-61.799999,-4.2,-62.5,147.000001,-50.700001,96.300003,-0.6,0.0,95.699997,-0.8,94.899997,85.199997,,180.699997,0.63,0.43,0.43,219.300003,0.63,0.43,0.43,220.5,
03/29/1999,1669.0,-1135.5,533.5,-297.100006,236.399994,-62.5,,3.9,177.799994,-60.200001,117.599998,-19.9,0.0,97.699997,0.0,97.699997,,,117.599993,0.54,0.54,0.45,219.5,0.53,0.53,0.44,220.399994,
06/27/1999,1718.5,-1175.199951,543.300049,-291.100006,252.199997,-59.400002,,15.3,208.099996,-72.199997,135.899994,-40.299999,0.0,95.599998,0.0,95.599998,,,135.899999,0.62,0.62,0.44,219.600006,0.62,0.62,0.44,220.899994,
