Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1989,286.067993,0.0,0.0,,45.175999,,,46.750999,,,,,4.369,,,,,96.295998,129.927002,152.677994,-22.750999,,59.845001,,,,,59.845001,189.772003,,15.541,15.541,,,,5.871,,,,,13.533,,,13.533,34.945,188.410995,,,,10.018,,,,,,10.018,198.428995,233.373995,0.0,28.674,,,-1.446,,24.917001,52.145,0.549,52.694,286.067995,
09/30/1989,298.406006,0.0,0.0,,48.084999,,,48.155998,,,,,5.075,,,,,101.316002,134.119003,159.598999,-25.48,,62.971001,,,,,62.971001,197.090004,,15.798,15.798,,,,5.439,,,,,16.598998,,,16.598998,37.835999,194.557007,,,,10.96,,,,,,10.96,205.517007,243.353005,0.0,28.812,,,-1.446,,27.075999,54.441999,0.611,55.052999,298.406005,
12/31/1989,287.179993,3.46,3.46,,44.035999,,,42.722,,,,,3.755,,,,,93.973,132.438995,155.307999,-22.868999,,60.768002,,,,,60.768002,193.206997,,14.733,14.733,,,,4.936,,,,,33.736999,,,33.736999,53.405998,133.654999,,,,12.204,,,,,,12.204,145.858999,199.264997,0.0,29.657,,,-1.446,,58.981,87.191999,0.723,87.914999,287.179997,
03/31/1990,295.234985,0.104,0.104,,44.313,,,39.490002,,,,,4.802,,,,,88.709,143.690994,169.352005,-25.660999,,62.834999,,,,,62.834999,206.525993,,15.538,15.538,,,,5.908,,,,,20.566001,,,20.566001,42.012001,145.751007,,,,17.479,,,,,,17.479,163.230007,205.242008,0.0,29.681,,,-1.446,,60.965001,89.200001,0.793,89.993001,295.235009,
06/30/1990,298.222992,0.0,0.0,,44.603001,,,41.070999,,,,,3.368,,,,,89.042,145.944,175.022995,-29.079,,63.237,,,,,63.237,209.181,,16.042999,16.042999,,,,6.74,,,,,16.542002,,,16.542002,39.325001,148.854996,,,,18.459999,,,,,,18.459999,167.314995,206.639996,0.0,29.907,,,-1.446,,62.251,90.712,0.871,91.583,298.222995,
09/30/1990,303.945007,0.0,0.0,,45.945,,,41.627998,,,,,5.104,,,,,92.677002,149.044006,181.231003,-32.187,,62.223999,,,,,62.223999,211.268005,,16.061001,16.061001,,,,9.497,,,,,15.933001,,,15.933001,41.491001,150.003998,,,,18.966999,,,,,,18.966999,168.970997,210.461998,0.0,30.177999,,,-1.446,,63.805001,92.537001,0.946,93.483001,303.944999,
12/31/1990,315.855988,0.0,0.0,,47.539001,,,43.172001,,,,,6.541,,,,,97.251999,155.841003,191.574997,-35.734001,,62.763,,,,,62.763,218.604004,,15.592,15.592,,,,8.67,,,,,18.166001,,,18.166001,42.428001,159.084,,,,19.488001,,,,,,19.488001,178.572001,221.000002,0.0,30.257999,,,-1.482,,65.080999,93.856998,0.999,94.855998,315.856,
03/31/1991,307.575989,0.0,0.0,,44.780998,,,39.037998,,,,,8.046,,,,,91.864998,154.093002,193.283005,-39.189999,,61.618,,,,,61.618,215.711002,,16.990999,16.990999,,,,7.383,,,,,18.717001,,,18.717001,43.091,149.826004,,,,21.429001,,,,,,21.429001,171.255005,214.346005,0.0,31.115,,,-1.482,,62.146001,91.779001,1.451,93.230001,307.576006,
06/30/1991,312.822998,0.0,0.0,,44.967999,,,37.673,,,,,9.097,,,,,91.737999,160.442001,202.932999,-42.491001,,60.643002,,,,,60.643002,221.085003,,16.052,16.052,,,,7.245,,,,,21.323998,,,21.323998,44.620998,150.376999,,,,22.655001,,,,,,22.655001,173.032,217.652998,0.0,31.465,,,-1.482,,63.616998,93.599998,1.57,95.169999,312.822996,
09/30/1991,323.923004,0.0,0.0,,48.530998,,,37.519001,,,,,5.829,,,,,91.878998,170.490997,216.738998,-46.248001,,61.553001,,,,,61.553001,232.043999,,17.355,17.355,,,,10.994,,,,,22.312999,,,22.312999,50.661999,149.362,,,,23.804001,,,,,,23.804001,173.166,223.827999,0.0,34.513,,,-1.482,,65.369001,98.400002,1.695,100.095002,323.923001,
12/31/1991,328.815002,0.0,0.0,,47.264,,,38.183998,,,,,5.39,,,,,90.837997,175.705994,225.684998,-49.979,,62.271,,,,,62.271,237.976994,,17.427999,17.427999,,,,10.723,,,,,24.983,,,24.983,53.133999,147.544006,,,,25.030001,,,,,,25.030001,172.574007,225.708006,0.0,35.695999,,,-1.482,,67.079,101.292999,1.814,103.106999,328.815005,
03/31/1992,338.217987,0.0,0.0,,49.728001,,,40.155998,,,,,3.811,,,,,93.695,178.565994,231.923996,-53.358002,,65.957001,,,,,65.957001,244.522995,,21.041,21.041,,,,10.026,,,,,22.558999,,,22.558999,53.625999,151.742004,,,,25.972,,,,,,25.972,177.714004,231.340003,0.0,37.066002,,,-1.482,,69.346998,104.931,1.947,106.878,338.218003,
06/30/1992,337.772003,0.0,0.0,,49.755001,,,40.901001,,,,,4.375,,,,,95.030998,182.949997,242.664993,-59.715,,59.791,,,,,59.791,242.740997,,21.114,21.114,,,,9.942,,,,,22.944999,,,22.944999,54.000999,146.695999,,,,26.756001,,,,,,26.756001,173.452,227.452999,0.0,37.841999,,,-1.482,,71.882002,108.242001,2.077,110.319,337.772,
09/30/1992,362.998993,0.0,0.0,,52.876999,,,41.182999,,,,,4.21,,,,,98.269997,197.145004,261.102997,-63.958,,67.584,,,,,67.584,264.729004,,20.309,20.309,,,,10.109,,,,,24.308002,,,24.308002,54.726002,163.649994,,,,27.900999,,,,,,27.900999,191.550993,246.276995,0.0,43.217999,,,-1.482,,74.723997,116.459995,0.262,116.721995,362.99899,
12/31/1992,367.169006,0.0,0.0,,51.091999,,,42.115002,,,,,4.032,,,,,97.238998,201.149002,269.608002,-68.459,,68.780998,,,,,68.780998,269.93,,19.653,19.653,,,,10.067,,,,,27.145001,,,27.145001,56.865002,160.865997,,,,29.077,,,,,,29.077,189.942997,246.807999,0.0,43.98,,,-1.482,,77.594999,120.092999,0.268,120.360999,367.168997,
03/31/1993,382.553986,0.0,0.0,0.0,55.613998,,,42.713001,,,,,3.575,,,,,101.902,210.630997,283.619995,-72.988998,0.0,70.021004,,,,,70.021004,280.652001,,27.579,27.579,,,,9.923,,,,,27.193999,,,27.193999,64.695999,158.628998,,,,31.339001,,,,,,31.339001,189.967999,254.663998,0.0,47.285999,,,-1.482,,81.767004,127.571003,0.319,127.890003,382.554001,
