Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBIT Surprise %,EBITDA,EBITDA Surprise %,Gross Margin %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Source: Bloomberg
12/31/2008,,49.192,31.951,-7.25710570900749,28.594,28.594,,,,,,,,,,
03/31/2009,,-20.107,-1.223,0.523951208525466,-10.341,-5.133638,,,,,23097.0149253731,,,,,
06/30/2009,,3.128,3.243,-1.73527571407168,-1.37,4.151,,,257.446808510638,,12.7411706998038,,,149.488491048593,,
09/30/2009,,2.892,1.369,-0.973952539431236,32.751,64.583,,,81.3693525850023,,19.7954366640441,,,32.9875518672199,,
12/31/2009,,-0.571,-1.513,0.359724085975945,-2.113,-9.581,,,93.7956204379562,,33.9379703336378,,,-1145.18388791594,,
03/31/2010,,-25.19,-16.977,1.47902359933449,-24.179,-9.708,,,4.23624608305897,,,,,1.56411274315205,,
06/30/2010,,-5.92,-0.196,-0.626985337975612,-2.957,3.612,,,,,35.0696511489463,,,,,
09/30/2010,,-0.317,2.001,2.16160714285715,-5.724,4.853,,,117.857142857143,,3.56181665264928,,,,,
12/31/2010,,13.178,7.054,-3.06829366542146,0.501,2.63625,,,-20.4849776830324,,-20.871653259695,,,-15.7611170132038,,
03/31/2011,,4.361,6.253,-0.527840042014089,0.078,9.511,,,72.6456760222254,,0.163735597331722,,,167.759688144921,,
06/30/2011,,16.756,10.986,1.50700811465909,10.986,10.986,,,-3.53756175117825,,4.09051724137932,,,-1.66507519694438,,
09/30/2011,,22.225,15.76,-2.03050484651137,31.827,21.223,,,12.5399116476403,,11.676777784727,,,9.37232845894263,,
12/31/2011,,23.025,13.072,-3.44573194283506,10.906,22.00375,,,-18.160741885626,,-0.727761652723239,,,-15.0445168295331,,
03/31/2012,,5.241,4.6,2.4040782355389,3.742,13.40855,,,41.1061523748805,,10.2962726983116,,,41.0036252623545,,
