Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1995,1731.0,0.0,0.0,0.0,238.072998,,,375.244995,,,,,22.587,,,,,635.905029,384.812012,,,0.0,710.28302,,,,710.28302,1095.095032,,282.881012,282.881012,,,,0.0,,,3.863983,,,3.863983,286.744995,375.0,,,,173.826996,,,,,,173.826996,548.826996,835.571991,0.0,878.40802,,,0.0,,17.02,895.42802,0.0,895.42802,1731.000011,
06/30/1995,1311.051025,13.634,13.634,0.0,199.498001,,,403.622009,,,,,54.151001,,,,,670.905029,373.998993,,,0.0,266.147003,,,,266.147003,640.145996,,314.510986,314.510986,,,,40.0,,,10.784027,,,10.784027,365.295013,335.0,,,,151.757996,,,,,,151.757996,486.757996,852.053009,0.0,424.779999,,,0.0,,34.217999,458.997997,0.0,458.997997,1311.051006,
09/30/1995,1223.300049,12.764,12.764,0.0,202.960999,,,345.479004,,,,,39.598999,,,,,600.802979,358.574005,,,0.0,263.923004,,,,263.923004,622.497009,,277.959015,277.959015,,,,20.0,,,15.306,,,15.306,313.265015,305.875,,,,154.626999,,,,,,154.626999,460.501999,773.767014,0.0,418.419006,,,0.0,,31.114,449.533007,0.0,449.533007,1223.30002,
12/31/1995,1135.405029,12.074,12.074,0.0,192.169998,,,308.455994,,,,,16.056,,,,,528.755981,346.583008,675.382019,-328.799011,0.0,260.06601,,,,260.06601,606.649018,,283.972992,283.972992,,,,29.700001,,,3.036022,,,3.036022,316.709015,234.841003,,,,160.266998,,,,,,160.266998,395.108001,711.817016,0.0,418.921997,,,0.0,,4.666,423.587997,0.0,423.587997,1135.405013,
03/31/1996,1139.699951,11.2,11.2,0.0,203.5,,,317.799988,,,,,14.6,,,,,547.099976,338.399994,683.200012,-344.799988,0.0,254.199997,,,,254.199997,592.599991,,296.5,296.5,,,,39.599998,,,5.000008,,,5.000008,341.100006,217.399994,,,,159.5,,,,,,159.5,376.899994,718.0,0.0,419.0,,,0.0,,2.7,421.7,0.0,421.7,1139.7,
06/30/1996,1309.099976,2.9,2.9,0.0,258.0,,,378.200012,,,,,26.4,,,,,665.5,363.0,716.400024,-353.399994,0.0,280.600006,,,,280.600006,643.600006,,352.600006,352.600006,,,,42.099998,,,4.799995,,,4.799995,399.5,307.399994,,,,162.399994,,,,,,162.399994,469.799988,869.299988,0.0,863.099976,,,0.0,,-423.299988,439.799988,0.0,439.799988,1309.099976,
09/30/1996,1346.300049,8.4,8.4,0.0,280.700012,,,393.600006,,,,,26.4,,,,,709.099976,358.5,723.200012,-364.700012,0.0,278.700012,,,,278.700012,637.200012,,345.299988,345.299988,,,,44.599998,,,1.600014,,,1.600014,391.5,322.600006,,,,161.800003,,,,,,161.800003,484.400009,875.900009,0.0,874.0,,,-1.2,,-402.400006,470.399994,0.0,470.399994,1346.300003,
12/31/1996,1468.921997,9.057,9.057,0.0,360.813995,,,404.268005,,,,,24.091999,,,,,798.231018,369.528015,742.984985,-373.457001,0.0,301.162994,,,,301.162994,670.691009,,391.294006,391.294006,,,,47.099998,,,6.446999,,,6.446999,444.841003,347.548004,,,,160.404999,,,,,,160.404999,507.953003,952.794006,0.0,874.189026,,,-0.626,,-357.435005,516.128021,0.0,516.128021,1468.922027,
03/31/1997,1492.199951,8.1,8.1,0.0,361.5,,,453.200012,,,,,16.6,,,,,839.400024,363.200012,739.200012,-376.0,0.0,289.600006,,,,289.600006,652.800018,,396.5,396.5,,,,46.5,,,9.0,,,9.0,452.0,371.399994,,,,156.699997,,,,,,156.699997,528.099991,980.099991,0.0,875.599976,,,,,-363.5,512.099976,0.0,512.099976,1492.199966,
06/30/1997,1550.599976,9.9,9.9,0.0,371.399994,,,500.0,,,,,12.6,,,,,893.900024,366.5,751.900024,-385.399994,0.0,290.200012,,,,290.200012,656.700012,,418.399994,418.399994,,,,47.0,,,6.100006,,,6.100006,471.5,364.100006,,,,152.199997,,,,,,152.199997,516.300003,987.800003,0.0,891.200012,,,0.0,,-328.399994,562.800018,0.0,562.800018,1550.600021,
