Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,125225.5,4135.600098,,,,,,0.0,,2595.899902,,,,,,,109671.0,-196.399994,109474.601562,,,,,,,,0.0,118494.0,,303.0,36174.300781,,,,,80640.296875,,,,,,,,,4848.800049,121966.397705,0.0,1316.400024,,,-71.400002,,2014.099953,3259.099976,0.0,3259.099976,125225.497681,
06/30/1990,126912.703125,4508.700195,,,,,,0.0,,3033.5,,,,,,,110214.203125,-206.699997,110007.5,,,,,,,,0.0,119370.50293,,352.100006,35876.5,,,,,82087.398438,,,,,,,,,5087.900024,123403.898468,0.0,1319.300049,,,-70.900002,,2260.400002,3508.800049,0.0,3508.800049,126912.698517,
09/30/1990,128354.5,4958.399902,,,,,,0.0,,3291.0,,,,,,,111142.203125,-203.5,110938.703125,,,,,,,,0.0,120105.100098,,385.0,35428.101562,,,,,83398.101562,,,,,,,,,5416.500122,124627.703247,0.0,1328.300049,,,-118.0,,2516.5,3726.800049,0.0,3726.800049,128354.503296,
12/31/1990,133113.0,4178.0,,,,,,0.0,,3408.0,,,,,,,114066.0,-191.0,113875.0,,,,,,,,0.0,125527.0,,346.0,38453.0,,,,,84950.0,,,,,,,,,5423.0,129172.0,0.0,1332.0,,,-163.0,,2772.0,3941.0,0.0,3941.0,133113.0,
03/31/1991,135410.796875,2852.899902,,,,,,0.0,,3327.0,,,,,,,116693.601562,-184.699997,116508.898438,,,,,,,,0.0,129230.896973,,347.399994,36702.5,,,,,88182.898438,,,,,,,,,5453.800171,130686.598602,0.0,1837.900024,,,-147.5,,3033.800049,4724.200073,0.0,4724.200073,135410.798676,
06/30/1991,138180.90625,2631.899902,,,,,,0.0,,3906.600098,,,,,,,120326.0,-223.399994,120102.601562,,,,,,,,0.0,131642.40625,,359.200012,37070.898438,,,,,89535.398438,,,,,,,,,6229.799927,133195.296814,0.0,1837.400024,,,-146.199997,,3294.399948,4985.599976,0.0,4985.599976,138180.89679,
09/30/1991,139619.0,2695.399902,,,,,,0.0,,4041.800049,,,,,,,122535.5,-204.5,122331.0,,,,,,,,0.0,132881.800049,,371.700012,34559.101562,,,,,92901.0,,,,,,,,,6519.799927,134351.601501,0.0,1837.300049,,,-144.100006,,3574.200104,5267.400146,0.0,5267.400146,139619.001648,
12/31/1991,147072.0,3194.0,,,,,,0.0,,4250.0,,,,,,,126679.0,-193.0,126486.0,,,,,,,,0.0,139628.0,,0.0,34608.0,,,,,99329.0,,,,,,,,,7588.0,141525.0,0.0,1838.0,,,-144.0,,3853.0,5547.0,0.0,5547.0,147072.0,
03/31/1992,155165.0,4702.299805,,,,,,0.0,,3043.300049,,,,,,,134287.0,-201.0,134086.0,,,,,,,,0.0,147419.400146,,334.100006,39943.601562,,,,,101371.101562,,,,,,,,,7686.599854,149335.402985,0.0,1871.199951,,,-194.5,,4152.899902,5829.599854,0.0,5829.599854,155165.002838,
06/30/1992,162478.296875,8489.700195,,,,,,0.0,,3198.300049,,,,,,,139965.796875,-210.399994,139755.40625,,,,,,,,0.0,150790.296631,,341.700012,45374.601562,,,,,103638.398438,,,,,,,,,6991.39978,156346.099792,0.0,1871.300049,,,-201.199997,,4462.099899,6132.199951,0.0,6132.199951,162478.299744,
09/30/1992,170055.203125,7398.399902,,,,,,0.0,,3048.5,,,,,,,142904.0,-221.399994,142682.59375,,,,,,,,0.0,159608.303223,,364.200012,46236.300781,,,,,108995.703125,,,,,,,,,8005.800049,163602.003967,0.0,1871.300049,,,-200.300003,,4782.199905,6453.199951,0.0,6453.199951,170055.203918,
12/31/1992,180978.0,5193.0,,,,,,0.0,,2131.0,,,,,,,156260.0,-239.0,156021.0,,,,,,,,,173654.0,,327.0,56404.0,,,,,109896.0,,,,,,,,,7577.0,174204.0,0.0,1870.0,,,-195.0,,5099.0,6774.0,0.0,6774.0,180978.0,
03/31/1993,180259.90625,4470.899902,,,,,,0.0,,2222.199951,,,,,,,159506.40625,-248.699997,159257.703125,,,,,,,,0.0,173566.806396,,324.5,50615.898438,,,,,115202.101562,,,,,,,,,6959.599976,173102.099976,0.0,1901.099976,,,-176.699997,,5433.400192,7157.800171,0.0,7157.800171,180259.900146,
06/30/1993,192042.59375,6632.0,,,,,,0.0,,2314.300049,,,,,,,169924.90625,-252.5,169672.40625,,,,,,,,0.0,183096.293701,,339.0,56386.300781,,,,,120140.296875,,,,,,,,,7778.400146,184643.997803,0.0,1901.5,,,-269.0,,5766.100098,7398.600098,0.0,7398.600098,192042.5979,
09/30/1993,211441.59375,8947.299805,,,,,,0.0,,2097.300049,,,,,,,179121.0,-264.100006,178856.90625,,,,,,,,0.0,200396.993896,,359.5,70295.296875,,,,,125490.796875,,,,,,,,,7576.899902,203722.493652,0.0,1902.0,,,-300.700012,,6117.80011,7719.100098,0.0,7719.100098,211441.59375,
12/31/1993,216979.0,977.0,,,,,,0.0,,1257.0,,,,,,,190169.0,-277.0,189892.0,,,,,,,,,214745.0,,319.0,72087.0,,,,,129162.0,,,,,,,,,7359.0,208927.0,0.0,1901.0,,,-319.0,,6470.0,8052.0,0.0,8052.0,216979.0,
03/31/1994,231907.703125,1690.099976,,,,,,0.0,,1318.300049,,,,,,,197339.90625,-261.600006,197078.296875,,,,,,,,0.0,228899.303101,,310.700012,83989.101562,,,,,132594.59375,,,,,,,,,6536.300049,223430.695374,0.0,1955.099976,,,-286.200012,,6808.099915,8476.999878,0.0,8476.999878,231907.695251,
06/30/1994,243172.5,1616.300049,,,,,,0.0,,1371.699951,,,,,,,207571.59375,-274.399994,207297.203125,,,,,,,,0.0,240184.5,,310.5,90972.601562,,,,,137094.796875,,,,,,,,,5968.100098,234345.998535,0.0,1955.699951,,,-296.600006,,7167.399811,8826.499756,0.0,8826.499756,243172.498291,
09/30/1994,254805.296875,1195.0,,,,,,0.0,,1507.900024,,,,,,,214555.296875,-279.799988,214275.5,,,,,,,,0.0,252102.396851,,336.799988,96516.296875,,,,,142970.203125,,,,,,,,,5795.600098,245618.900085,0.0,1956.599976,,,-315.200012,,7544.999817,9186.39978,0.0,9186.39978,254805.299866,
12/31/1994,272508.0,231.0,,,,,,0.0,,1688.0,,,,,,,220815.0,-290.0,220525.0,,,,,,,,,270589.0,,303.0,112602.0,,,,,144628.0,,,,,,,,,5434.0,262967.0,0.0,1958.0,,,-350.0,,7933.0,9541.0,0.0,9541.0,272508.0,
03/31/1995,274714.1875,435.600006,,,,,,0.0,,2273.399902,,,,,,,222768.203125,-288.399994,222479.796875,,,,,,,,0.0,272005.187592,,297.0,111178.101562,,,,,147474.59375,,,,,,,,,5846.0,264795.695312,0.0,1972.300049,,,-374.5,,8320.700195,9918.500244,0.0,9918.500244,274714.195557,
