Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,20.045,10.309,-7.028,-50.237999,-26.912001,,,,,
06/30/1990,,17.423,10.146,0.506,20.952999,49.028,,,,,
09/30/1990,,13.689,11.173,-0.763,-15.399,8.7,,,,,
12/31/1990,,9.142,10.294,-8.054,23.576,34.958,,,34.958,,
03/31/1991,,-260.509003,11.988,247.440994,3.465,2.385,,,,,
06/30/1991,,-11.456,11.636,8.045,3.335,11.56,,,,,
09/30/1991,,-32.897999,11.185,2.527,37.137001,17.951,,,,,
12/31/1991,,-32.657001,14.316,15.788,27.681999,25.129,,,25.129,,
03/31/1992,,82.649002,13.168,-81.223,-26.684,-12.09,,,,,
06/30/1992,,-9.896,12.953,23.658001,27.374001,54.089001,,,,,
09/30/1992,,-4.018,11.67,16.865999,-14.69,9.828,,,,,
12/31/1992,,-2.777,9.302,4.834,11.265,22.624001,,,22.624001,,
03/31/1993,,8.754,9.914,-8.302,-24.311001,-13.945,,,,,
06/30/1993,,10.799,9.936,2.862,10.486,34.083,,,,,
09/30/1993,,10.072,3.409,-4.752,-5.856,2.873,,,,,
12/31/1993,,18.393999,7.356,-21.344,24.197001,28.603001,,,28.603001,,
03/31/1994,,26.903999,9.72,-9.897,-8.081,18.646,,,,,
06/30/1994,,62.472,9.447,-30.65,-4.378,36.890999,,,,,
09/30/1994,,32.338001,6.726,-9.543,9.106,38.626999,,,,,
12/31/1994,,40.221001,9.065,-48.688999,-15.841,-15.244,,,,,
03/31/1995,,40.389,10.394,-6.802,-29.108999,14.872,,,,,
