Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2012,177.0,177.0,-86.0,86.0,91.0,0.0,-112.0,23.0,23.0,50.0,39.0,-21,-37.0,,37.0,,,0.0,-58.0,0.0,,,,-58.0,0.0,0.0,0.0,-58.0,0.0,-58.0,0.0,0.0,-58.0,-77.5,-19.5,123.0,-0.47,-0.47,-0.630081,123.0,-0.47,-0.47,-0.630081,
06/30/2012,270.0,270.0,-170.0,170.0,100.0,0.0,-108.0,17.0,17.0,43.0,48.0,-8,-57.0,,41.0,,,16.0,-65.0,1.0,,,,-64.0,5.0,5.0,0.0,-69.0,0.0,-69.0,0.0,0.0,-69.0,-34.1,29.9,246.0,-0.280488,-0.260163,-0.138618,246.0,-0.280488,-0.260163,-0.138618,
09/30/2012,477.0,477.0,-332.0,332.0,145.0,0.0,-158.0,29.0,29.0,45.0,84.0,-13,-30.0,,48.0,,,-18.0,-43.0,2.0,,,,-41.0,0.0,0.0,0.0,-41.0,0.0,-41.0,0.0,0.0,-41.0,-73.5,-32.5,100.0,-0.41,-0.41,-0.735,100.0,-0.41,-0.41,-0.735,
12/31/2012,312.0,312.0,-349.0,349.0,-37.0,0.0,-67.0,22.0,22.0,45.0,0.0,-104,-9.0,,16.0,,,-7.0,-113.0,0.0,,,,-113.0,-6.0,-6.0,0.0,-107.0,0.0,-107.0,0.0,0.0,-107.0,382.3,495.3,100.0,-1.07,-1.13,3.823,100.0,-1.07,-1.13,3.823,
03/31/2013,318.0,318.0,-284.0,284.0,34.0,0.0,-149.0,22.0,22.0,54.0,73.0,-115,-27.0,,28.0,,,-1.0,-142.0,0.0,,,,-142.0,0.0,0.0,0.0,-142.0,0.0,-142.0,0.0,0.0,-142.0,-116.65,25.35,100.0,-1.42,-1.42,-1.1665,100.0,-1.42,-1.42,-1.1665,
06/30/2013,301.0,301.0,-253.0,253.0,48.0,0.0,-159.0,25.0,25.0,49.0,85.0,-111,-39.0,,16.0,,,23.0,-150.0,0.0,,,,-150.0,-5.0,-5.0,0.0,-145.0,0.0,-145.0,0.0,0.0,-145.0,-138.3,11.7,100.0,-1.45,-1.5,-1.383,100.0,-1.45,-1.5,-1.383,
09/30/2013,446.0,446.0,-290.0,290.0,156.0,0.0,-141.0,22.0,22.0,53.0,66.0,15,-11.0,,26.0,,,-15.0,4.0,20.0,,,,24.0,2.0,2.0,0.0,22.0,0.0,22.0,0.0,0.0,22.0,7.1,-16.9,100.0,0.22,0.24,0.071,100.0,0.22,0.24,0.071,
12/31/2013,401.0,401.0,-318.0,318.0,83.0,0.0,-190.0,28.0,28.0,60.0,102.0,-107,-22.0,,27.0,0.0,0.0,-5.0,-129.0,38.0,9.0,-67.0,0.0,-91.0,0.0,0.0,0.0,-91.0,0.0,-91.0,0.0,0.0,-91.0,-63.7,27.3,100.0,-0.91,-0.91,-0.637,100.0,-0.91,-0.91,-0.637,
03/31/2014,762.0,762.0,-552.0,552.0,210.0,0.0,-209.0,26.0,26.0,67.0,116.0,1,-36.0,30.0,30.0,0.0,,6.0,-35.0,-2.0,,,,-37.0,0.0,0.0,0.0,-37.0,-4.0,-41.0,0.0,0.0,-41.0,2.55,43.55,100.0,-0.41,-0.41,0.0255,101.0,-0.41,-0.41,0.021188,
06/30/2014,521.0,521.0,-365.0,365.0,156.0,0.0,-210.0,29.0,29.0,57.0,124.0,-54,-71.0,42.0,42.0,0.0,-10.0,39.0,-125.0,3.0,,,,-122.0,0.0,0.0,0.0,-122.0,-1.0,-123.0,0.0,0.0,-123.0,-121.7,1.3,100.0,-1.23,-1.23,-1.217,101.0,-1.23,-1.23,-1.217129,
