Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2000,424.9,379.0,,,,,,,,,,,-1845.1,-25.9,5.6,-31.5,212.4,263.9,,,,-51.5,,,,-1876.2,,,,,,,,-155.4,404.1,-161.5,1738.5,,,,,-205.3,0.0,-205.3,-967.6,0.0,,-1016.1,27.2,667.4,
06/30/2000,563.276,316.743,228.986,,-2238.654,,,-2238.654,2444.503,,,,-615.41,-55.255,1.824,-57.079,-88.701,5764.47,,,,-5853.171,,,,-548.643,,,,,,,,77.189,646.233,-154.628,-931.66,,,,,-205.797,73.917,-279.714,1938.318,0.0,,594.099,187.714,604.197,
09/30/2000,756.096,308.994,125.467,,-1222.174,,,-1222.174,1401.407,,,,-628.815,-30.92,8.655,-39.575,462.124,4126.883,,,,-3664.759,,,,-980.019,,,,,,,,-80.0,-488.678,-156.069,-640.393,,,,,-252.879,12.094,-264.973,560.663,0.0,,-361.397,68.692,861.584,
12/31/2000,2698.328,1870.863,1128.447,,3768.828,,,3768.828,-4069.81,,,,-3926.675,-57.825,196.821,-254.646,-425.423,2166.447,,,,-2591.87,,,,-4138.738,,,,,,,,695.311,1885.845,-799.103,1120.853,,,,,-308.224,123.989,-432.213,1872.319,0.0,,657.498,762.894,3553.119,
03/31/2001,713.900024,410.100006,,,,,,,,,,,3292.699951,0.0,,0.0,1246.400391,9973.5,,,,-8727.099609,,,,2094.199951,,,,,,,,-47.900391,-5331.799812,-154.100006,-500.900002,,,,,17.5,17.5,,-4694.299805,,,-1325.199951,,,
06/30/2001,115.099998,562.299988,,,,,,,,,,,-1901.400024,0.0,,0.0,-3336.500977,13112.799805,,,,-16449.300781,,,,1943.0,,,,,,,,-507.899048,49.699944,-511.600006,2334.399902,,,,,47.599998,47.599998,,-1820.699951,,,-1736.599976,,,
09/30/2001,1495.5,38.700001,,,,,,,,,,,-2662.399902,0.0,,0.0,-7261.898438,21192.800781,,,,-28454.699219,,,,5842.100098,,,,,,,,-1242.601562,-393.800022,-869.400024,6051.600098,,,,,95.600002,127.900002,-32.299999,-5671.600098,,,-1560.699951,,,
12/31/2001,-142.6,695.4,,,,,,,,,,,-2379.4,-132.9,166.3,-299.2,885.8,885.8,,,,,,,,-3705.4,,,,,,,,573.1,7758.2,,21.9,,,,,-492.2,,-492.2,7928.5,300.0,,5236.2,658.1,5092.2,
03/31/2002,2708.899902,756.0,,,,,,,,,,,1102.400024,0.0,,0.0,1811.100098,5530.200195,,,,-3719.100098,,,,-571.5,,,,,,,,-137.200073,-6550.499989,-360.200012,-2573.200012,,,,,-869.400013,53.799999,-923.200012,-2747.699951,,,-2739.199951,,,
06/30/2002,1336.400024,823.099976,,,,,,,,,,,-4435.799805,0.0,,0.0,-3574.299805,9502.0,,,,-13076.299805,,,,-628.299988,,,,,,,,-233.200012,-644.099937,-733.799988,1167.100098,,,,,-923.20005,109.099998,-1032.300049,-154.199997,,,-3743.5,,,
09/30/2002,884.1,860.3,,,,,,,,,,,-3323.8,0.0,,0.0,-1000.9,16758.3,,,,-17759.2,,,,-2079.2,,,,,,,,-243.7,-2046.3,-1107.0,-2238.7,,,,,-918.4,121.8,-1040.2,2217.8,,,-4486.0,,,
12/31/2002,-1143.1,728.7,2187.3,,242.2,,,242.2,0.0,,,,6657.2,211.8,211.8,0.0,28397.5,28397.5,,,,,,,,3279.0,,,,,,,,-25231.1,27041.1,,14295.7,,,,,2858.0,2858.0,,7686.4,2201.0,,12415.5,1129.5,2890.1,
