Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,11710.0,179.0,179.0,0.0,527.0,,,1454.0,,,,,104.0,,,,,,2264.0,8698.0,15456.0,-6758.0,0.0,748.0,,,,,,748.0,9446.0,,1409.0,1409.0,,,,460.0,,,,,,386.0,,,,386.0,2255.0,4033.0,,,,,1807.0,,,1807.0,5840.0,8095.0,83.0,,,,,,3532.0,3615.0,0.0,3615.0,11710.0,
06/30/1991,11773.0,151.0,151.0,0.0,539.0,,,1514.0,,,,,108.0,,,,,,2312.0,8707.0,15655.0,-6948.0,0.0,754.0,,,,,,754.0,9461.0,,1528.0,1528.0,,,,518.0,,,,,,433.0,,,,433.0,2479.0,3849.0,,,,,1811.0,,,1811.0,5660.0,8139.0,81.0,,,,,,3553.0,3634.0,0.0,3634.0,11773.0,
09/30/1991,11818.0,152.0,152.0,0.0,591.0,,,1567.0,,,,,99.0,,,,,,2409.0,8721.0,15836.0,-7115.0,0.0,688.0,,,,,,688.0,9409.0,,1341.0,1341.0,,,,463.0,,,,,,417.0,,,,417.0,2221.0,4239.0,,,,,1794.0,,,1794.0,6033.0,8254.0,80.0,,,,-21.0,,3505.0,3564.0,0.0,3564.0,11818.0,
12/31/1991,11644.0,200.0,200.0,0.0,621.0,,,1235.0,,,,,97.0,,,,,,2153.0,8796.0,16056.0,-7260.0,138.0,557.0,,,,,,557.0,9491.0,,1629.0,1629.0,,,,402.0,,,,,,436.0,,,,436.0,2467.0,4073.0,,,,,1809.0,,,1809.0,5882.0,8349.0,80.0,,,,-31.0,,3246.0,3295.0,0.0,3295.0,11644.0,
03/31/1992,11371.0,94.0,94.0,0.0,456.0,,,1260.0,,,,,95.0,,,,,,1905.0,8756.0,16172.0,-7416.0,0.0,710.0,,,,,,710.0,9466.0,,1320.0,1320.0,,,,387.0,,,,,,335.0,,,,335.0,2042.0,3704.0,,,,,1832.0,,,1832.0,5536.0,7578.0,80.0,,,,-1.0,,3714.0,3793.0,0.0,3793.0,11371.0,
06/30/1992,11600.0,100.0,100.0,0.0,592.0,,,1388.0,,,,,102.0,,,,,,2182.0,8680.0,16347.0,-7667.0,0.0,738.0,,,,,,738.0,9418.0,,1399.0,1399.0,,,,375.0,,,,,,436.0,,,,436.0,2210.0,3625.0,,,,,1832.0,,,1832.0,5457.0,7667.0,80.0,,,,0.0,,3853.0,3933.0,0.0,3933.0,11600.0,
09/30/1992,12285.0,591.0,591.0,0.0,622.0,,,1431.0,,,,,117.0,,,,,,2761.0,8786.0,16558.0,-7772.0,0.0,738.0,,,,,,738.0,9524.0,,1436.0,1436.0,,,,947.0,,,,,,423.0,,,,423.0,2806.0,3829.0,,,,,1786.0,,,1786.0,5615.0,8421.0,80.0,,,,0.0,,3784.0,3864.0,0.0,3864.0,12285.0,
12/31/1992,11141.0,35.0,35.0,0.0,525.0,,,1278.0,,,,,96.0,,,,,,1934.0,8433.0,15730.0,-7297.0,197.0,577.0,,,,,,577.0,9207.0,,1453.0,1453.0,,,,233.0,,,,,,592.0,,,,592.0,2278.0,3743.0,,,,,1785.0,,,1785.0,5528.0,7806.0,78.0,,,,,,3257.0,3335.0,,3335.0,11141.0,
03/31/1993,11153.0,75.0,75.0,0.0,529.0,,,1249.0,,,,,107.0,,,,,,1960.0,8393.0,15747.0,-7354.0,,800.0,,,,,,800.0,9193.0,,1318.0,1318.0,,,,109.0,,,,,,545.0,,,,545.0,1972.0,4076.0,,,,,1788.0,,,1788.0,5864.0,7836.0,78.0,,,,0.0,,3239.0,3317.0,0.0,3317.0,11153.0,
06/30/1993,11031.0,10.0,10.0,0.0,489.0,,,1248.0,,,,,76.0,,,,,,1823.0,8397.0,15733.0,-7336.0,,811.0,,,,,,811.0,9208.0,,1134.0,1134.0,,,,128.0,,,,,,575.0,,,,575.0,1837.0,4125.0,,,,,1781.0,,,1781.0,5906.0,7743.0,78.0,,,,0.0,,3210.0,3288.0,0.0,3288.0,11031.0,
09/30/1993,10995.0,141.0,141.0,0.0,381.0,,,1174.0,,,,,117.0,,,,,,1813.0,8379.0,15831.0,-7452.0,,803.0,,,,,,803.0,9182.0,,1039.0,1039.0,,,,25.0,,,,,,588.0,,,,588.0,1652.0,4316.0,,,,,1758.0,,,1758.0,6074.0,7726.0,78.0,,,,-1.0,,3192.0,3269.0,0.0,3269.0,10995.0,
12/31/1993,10806.0,185.0,185.0,0.0,337.0,,,987.0,,,,,89.0,,,,,,1598.0,8428.0,15891.0,-7463.0,220.0,560.0,,,,,,560.0,9208.0,,1109.0,1109.0,,,,24.0,,,,,,535.0,,,,535.0,1668.0,4239.0,,,,,1789.0,,,1789.0,6028.0,7696.0,78.0,,,,-1.0,,3033.0,3110.0,0.0,3110.0,10806.0,
03/31/1994,10660.0,89.0,89.0,0.0,331.0,,,1026.0,,,,,88.0,,,,,,1534.0,8346.0,15813.0,-7467.0,,780.0,,,,,,780.0,9126.0,,909.0,909.0,,,,46.0,,,,,,511.0,,,,511.0,1466.0,4013.0,,,,,1830.0,,,1830.0,5843.0,7309.0,260.0,,,,-1.0,,3092.0,3351.0,0.0,3351.0,10660.0,
06/30/1994,10920.0,37.0,37.0,0.0,418.0,,,1249.0,,,,,76.0,,,,,,1780.0,8357.0,15962.0,-7605.0,,783.0,,,,,,783.0,9140.0,,1076.0,1076.0,,,,100.0,,,,,,447.0,,,,447.0,1623.0,4113.0,,,,,1809.0,,,1809.0,5922.0,7545.0,260.0,,,,-1.0,,3116.0,3375.0,0.0,3375.0,10920.0,
09/30/1994,10835.0,63.0,63.0,0.0,413.0,,,1186.0,,,,,85.0,,,,,,1747.0,8297.0,15987.0,-7690.0,,791.0,,,,,,791.0,9088.0,,978.0,978.0,,,,196.0,,,,,,483.0,,,,483.0,1657.0,3917.0,,,,,1835.0,,,1835.0,5752.0,7409.0,260.0,,,,-1.0,,3167.0,3426.0,0.0,3426.0,10835.0,
12/31/1994,10951.0,28.0,28.0,0.0,438.0,,,1137.0,,,,,134.0,,,,,,1737.0,8364.0,16161.0,-7797.0,204.0,646.0,,,,,,646.0,9214.0,,1129.0,1129.0,,,,56.0,,,,,,527.0,,,,527.0,1712.0,3983.0,,,,,1833.0,,,1833.0,5816.0,7528.0,260.0,,,,0.0,,3163.0,3423.0,0.0,3423.0,10951.0,
03/31/1995,10901.0,83.0,83.0,0.0,412.0,,,1158.0,,,,,134.0,,,,,,1787.0,8240.0,16216.0,-7976.0,,874.0,,,,,,874.0,9114.0,,959.0,959.0,,,,98.0,,,,,,490.0,,,,490.0,1547.0,4058.0,,,,,1846.0,,,1846.0,5904.0,7451.0,260.0,,,,0.0,,3190.0,3450.0,0.0,3450.0,10901.0,
06/30/1995,10844.0,72.0,72.0,0.0,476.0,,,1212.0,,,,,136.0,,,,,,1896.0,8176.0,16318.0,-8142.0,,772.0,,,,,,772.0,8948.0,,952.0,952.0,,,,315.0,,,,,,528.0,,,,528.0,1795.0,3684.0,,,,,1856.0,,,1856.0,5540.0,7335.0,260.0,,,,-1.0,,3250.0,3509.0,0.0,3509.0,10844.0,
09/30/1995,10749.0,61.0,61.0,0.0,501.0,,,1146.0,,,,,158.0,,,,,,1866.0,8082.0,16407.0,-8325.0,,801.0,,,,,,801.0,8883.0,,964.0,964.0,,,,502.0,,,,,,467.0,,,,467.0,1933.0,3502.0,,,,,1841.0,,,1841.0,5343.0,7276.0,182.0,,,,0.0,,3291.0,3473.0,0.0,3473.0,10749.0,
12/31/1995,10109.0,77.0,77.0,0.0,552.0,,,1152.0,,,,,107.0,,,,,,1888.0,7521.0,16411.0,-8890.0,104.0,596.0,,,,,,596.0,8221.0,,1245.0,1245.0,,,,384.0,,,,,,396.0,,,,396.0,2025.0,3367.0,,,,,1663.0,,,1663.0,5030.0,7055.0,182.0,,,,0.0,,2872.0,3054.0,0.0,3054.0,10109.0,
03/31/1996,10091.0,89.0,89.0,0.0,575.0,,,1266.0,,,,,105.0,,,,,,2035.0,7353.0,16209.0,-8856.0,,703.0,,,,,,703.0,8056.0,,1166.0,1166.0,,,,422.0,,,,,,409.0,,,,409.0,1997.0,3167.0,,,,,1705.0,,,1705.0,4872.0,6869.0,182.0,,,,0.0,,3040.0,3222.0,0.0,3222.0,10091.0,
06/30/1996,9927.0,79.0,79.0,0.0,516.0,,,1216.0,,,,,100.0,,,,,,1911.0,7320.0,16290.0,-8970.0,,696.0,,,,,,696.0,8016.0,,1104.0,1104.0,,,,380.0,,,,,,437.0,,,,437.0,1921.0,2974.0,,,,,1735.0,,,1735.0,4709.0,6630.0,182.0,,,,0.0,,3115.0,3297.0,0.0,3297.0,9927.0,
