Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1991,3.004,-4.841,7.836,0.405,,,0.405,-0.396,,,,-0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,3.306,0.412,7.633,0.405,,,0.405,-5.144,,,,-5.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,6.135,-1.935,7.592,0.405,,,0.405,0.073,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-2.023,-5.855,6.816,3.943,,,3.943,-6.927,,,,-6.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.023,,,
03/31/1992,7.486,2.797,6.887,0.291,,,0.291,-2.489,,,,-2.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,6.57,4.488,6.68,0.293,,,0.293,-4.891,,,,-4.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,9.084,3.149,6.286,0.293,,,0.293,-0.644,,,,-0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,0.398,-1.795,6.195,1.351,,,1.351,-5.353,,,,-5.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398,,,
03/31/1993,16.903999,3.683,7.171,0.479,,,0.479,5.571,,,,5.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,14.389,6.851,7.14,0.478,,,0.478,-0.08,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,18.580999,6.859,7.488,0.46,,,0.46,3.774,,,,3.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
