Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2010,1253.0,1148.0,173.0,-68.0,0.0,0.0,,,,,,0.0,1253.0,-920.0,,920.0,333.0,-111.0,,,,222.0,0.0,0.0,0.0,222.0,0.0,222.0,0.0,0.0,222.0,224.6,2.6,200.0,1.11,1.11,1.123,200.0,1.11,1.11,1.123,
09/30/2010,1052.0,968.0,138.0,-54.0,0.0,0.0,,,,,,0.0,1052.0,-1088.0,,1088.0,-36.0,3.0,,,,-33.0,0.0,0.0,0.0,-33.0,0.0,-33.0,0.0,0.0,-33.0,-31.7,1.3,206.25,-0.16,-0.16,-0.153697,206.25,-0.16,-0.16,-0.153697,
12/31/2010,966.0,888.0,127.0,-49.0,0.0,0.0,,,,,,0.0,966.0,-1065.0,,1065.0,-99.0,8.0,,,,-91.0,0.0,0.0,0.0,-91.0,0.0,-91.0,0.0,0.0,-91.0,-84.5,6.5,202.2,-0.45,-0.45,-0.417903,202.2,-0.45,-0.45,-0.417903,
03/31/2011,831.0,739.0,51.0,41.0,0.0,-852.0,114.0,43.0,71.0,,46.0,692.0,-21.0,-215.0,179.0,36.0,-236.0,-1.0,,,,-237.0,0.0,0.0,0.0,-237.0,0.0,-237.0,0.0,0.0,-237.0,-212.3,24.7,200.4,-1.18,-1.18,-1.059381,200.4,-1.18,-1.18,-1.059381,
06/30/2011,1179.0,1065.0,70.0,44.0,0.0,-1042.0,110.0,54.0,56.0,,47.0,885.0,137.0,-161.0,161.0,0.0,-24.0,-1.0,,,4.0,-21.0,0.0,0.0,0.0,-21.0,-1.0,-22.0,0.0,0.0,-22.0,-20.05,1.95,200.4,-0.11,-0.11,-0.10005,200.4,-0.11,-0.11,-0.100269,
09/30/2011,1155.0,1042.0,73.0,40.0,0.0,-1024.0,107.0,45.0,62.0,,46.0,871.0,131.0,-159.0,159.0,0.0,-28.0,-10.0,,,11.0,-27.0,0.0,0.0,0.0,-27.0,-1.0,-28.0,0.0,0.0,-28.0,-26.05,1.95,200.0,-0.1396,-0.1396,-0.13025,200.0,-0.1396,-0.1396,-0.13025,
12/31/2011,928.0,832.0,62.0,34.0,0.0,-906.0,108.0,43.0,65.0,,47.0,751.0,22.0,-167.0,167.0,0.0,-145.0,-20.0,,,11.0,-154.0,0.0,0.0,0.0,-154.0,0.0,-154.0,0.0,0.0,-154.0,-151.4,2.6,200.0,-0.77,-0.77,-0.757,200.0,-0.77,-0.77,-0.757,
03/31/2012,875.0,778.0,54.0,43.0,0.0,-893.0,128.0,51.0,77.0,,45.0,720.0,-18.0,-177.0,170.0,7.0,-195.0,-7.0,,,10.0,-192.0,0.0,0.0,0.0,-192.0,0.0,-192.0,0.0,0.0,-192.0,-186.15,5.85,200.4,-0.96,-0.96,-0.928892,200.4,-0.96,-0.96,-0.930808,
06/30/2012,1309.0,1191.0,76.0,42.0,0.0,-1164.0,131.0,52.0,79.0,,44.0,989.0,145.0,-176.0,176.0,0.0,-31.0,-8.0,,,15.0,-24.0,0.0,0.0,0.0,-24.0,-1.0,-25.0,0.0,0.0,-25.0,-23.7,1.3,200.4,-0.12,-0.12,-0.118263,200.4,-0.12,-0.12,-0.118263,
09/30/2012,1281.0,1170.0,76.0,35.0,0.0,-1130.0,118.0,44.0,74.0,,42.0,970.0,151.0,-187.0,187.0,0.0,-36.0,-18.0,,,21.0,-33.0,0.0,0.0,0.0,-33.0,-1.0,-34.0,0.0,0.0,-34.0,-32.7,1.3,200.0,-0.1696,-0.1696,-0.1635,200.0,-0.1696,-0.1696,-0.1635,
12/31/2012,1207.0,1110.0,65.0,32.0,0.0,-1500.0,140.0,43.0,97.0,,42.0,1318.0,-293.0,-8.0,-5.0,13.0,-301.0,-6.0,,,16.0,-291.0,0.0,0.0,0.0,-291.0,-1.0,-292.0,0.0,0.0,-292.0,-26.8,265.2,126.768,-2.3034,-2.3034,-0.21141,126.768,-2.3034,-2.3034,-0.21141,
