Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1995,5.68,3.248,3.248,0.0,1.582,,,0.239,,,,,0.339,,,,,5.408,0.272,0.514,-0.242,0.0,,0.0,,,,0.0,0.272,,0.438,0.438,,,,0.139,,,,,2.382,,,,2.382,2.959,0.091,,,,,0.0,,,,,0.0,0.091,3.05,53.143002,0.001,,,0.0,,-50.514,2.630002,0.0,2.630002,5.680002,
12/31/1995,46.715,43.471001,43.471001,0.0,2.329,,,0.194,,,,,0.359,,,,,46.353001,0.302,0.596,-0.294,0.0,,0.06,,,,0.06,0.362,,0.546,0.546,,,,0.145,,,,,2.974,,,,2.974,3.665,0.088,,,,,0.0,,,,,0.0,0.088,3.753,0.0,54.963001,,,0.0,,-12.001,42.962001,0.0,42.962001,46.715001,
03/31/1996,51.262001,46.476002,46.476002,0.0,3.427,,,0.326,,,,,0.664,,,,,50.893002,0.368,,,0.0,,0.0,,,,0.0,0.368,,0.593,0.593,,,,0.148,,,,,4.578,,,,4.578,5.319,0.066,,,,,0.0,,,,,0.0,0.066,5.385,0.0,55.023998,,,0.0,,-9.147,45.876998,0.0,45.876998,51.261998,
06/30/1996,129.779007,124.999996,122.047997,2.952,3.096,,,0.47,,,,,0.744,,,,,129.309998,0.469,,,0.0,,0.0,,,,0.0,0.469,,0.354,0.354,,,,0.132,,,,,4.708,,,,4.708,5.194,0.028,,,,,0.0,,,,,0.0,0.028,5.222,0.0,130.087006,,,0.0,,-5.53,124.557005,0.0,124.557005,129.779005,
09/30/1996,137.852005,128.577,97.569,31.007999,5.861,,,0.595,,,,,2.168,,,,,137.201004,0.651,,,0.0,,0.0,,,,0.0,0.651,,0.727,0.727,,,,0.113,,,,,5.192,,,,5.192,6.032,0.018,,,,,0.0,,,,,0.0,0.018,6.05,0.0,132.018997,,,0.0,,-0.217,131.801997,0.0,131.801997,137.851997,
12/31/1996,149.580002,137.341003,99.135002,38.206001,5.525,,,0.696,,,,,3.935,,,,,147.498001,2.082,2.558,-0.477,0.0,,0.0,,,,0.0,2.082,,0.756,0.756,,,,0.082,,,,,6.882,,,,6.882,7.72,0.008,,,,,0.0,,,,,0.0,0.008,7.728,0.0,135.149994,,,0.0,,6.701,141.850994,0.0,141.850994,149.578994,
03/31/1997,163.014999,148.152,110.445,37.707001,6.652,,,0.755,,,,,3.941,,,,,159.5,3.515,,,0.0,,0.0,,,,0.0,3.515,,0.678,0.678,,,,0.063,,,,,11.783,,,,11.783,12.524,0.003,,,,,0.0,,,,,0.0,0.003,12.527,0.0,136.294998,,,0.0,,14.194,150.488998,0.0,150.488998,163.015999,
06/30/1997,268.794006,228.944996,172.531998,56.412998,7.342,,,0.822,,,,,5.236,,,,,242.343994,3.878,,,0.0,,22.570999,,,,22.570999,26.448999,,0.5,0.5,,,,15.041,,,,,33.650002,,,,33.650002,49.191002,0.0,,,,,57.875,,,,,57.875,57.875,107.066002,0.0,139.235001,,,0.0,,22.492001,161.727001,0.0,161.727001,268.793003,
09/30/1997,264.851013,220.868996,149.054993,71.814003,8.561,,,1.358,,,,,11.268,,,,,242.056,4.534,6.023,-1.49,0.0,,18.261,,,,18.261,22.795,,0.58,0.58,,,,15.015,,,,,20.194001,,,,20.194001,35.789001,0.0,,,,,54.125,,,,,54.125,54.125,89.914001,0.0,139.371002,,,0.0,,35.566002,174.937004,0.0,174.937004,264.851006,
12/31/1997,282.667999,229.191994,140.080994,89.111,12.631,,,2.273,,,,,14.265,,,,,258.360992,6.678,8.742,-2.064,0.0,,17.629,,,,17.629,24.307,,0.984,0.984,,,,0.008,,,,,34.453,,,,34.453,35.445,0.0,,,,,50.375,,,,,50.375,50.375,85.82,0.0,148.789001,,,0.0,,48.058998,196.848,0.0,196.848,282.667999,
