Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Accounts & Notes Receivable,Net Fixed Assets,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,11109,937,373,7389,1570,538,302,80,968,,532,1165,13854,,8551,1163,,113,9827,320.0,668,1101,11916,200,0,0,1103,635,1938,13854,
06/30/1990,,11087,835,454,7440,1632,551,175,49,1020,,544,1342,14042,,8879,1163,,98,10140,232.0,710,1101,12183,200,0,0,1103,556,1859,14042,
09/30/1990,,11133,1134,490,7337,1430,532,210,53,1044,,529,1171,13930,,9169,1136,,100,10405,232.0,730,935,12302,200,0,0,1108,320,1628,13930,
12/31/1990,,11239,2548,269,6982,459,742,239,51,1061,274.0,536,749,13910,,5630,1091,3924.0,97,10742,592.0,333,1038,12705,200,0,0,1108,-103,1205,13910,
03/31/1991,,11429,1730,256,7942,514,751,236,39,957,,537,1026,13988,,9736,1106,,88,10930,,705,1165,12800,200,0,0,1109,-121,1188,13988,
06/30/1991,,12043,1219,277,9041,486,781,239,43,914,,523,844,14367,,9727,1051,,96,10874,,661,1413,12948,455,0,0,1165,-201,1419,14367,
09/30/1991,,11617,1165,273,8615,507,791,266,31,916,,512,805,13881,,9565,1002,,92,10659,,669,1189,12517,455,0,0,1166,-257,1364,13881,
12/31/1991,,12167,1241,283,9113,521,784,225,87,897,226.0,504,575,14456,,5704,981,3773.0,0,10458,400.0,277,1998,13133,455,0,0,1166,-298,1323,14456,
03/31/1992,,11692,756,254,8939,451,771,521,72,1018,,528,666,13976,,9361,988,,0,10349,,667,1631,12647,455,0,0,1166,-292,1329,13976,
06/30/1992,,11818,641,238,9015,389,819,716,18,911,,507,651,13905,,9417,942,,0,10359,,675,1562,12596,455,0,0,1166,-312,1309,13905,
09/30/1992,,11540,3101,200,6783,230,841,385,24,1962,,485,649,14660,,9505,871,,0,10376,,664,2348,13388,455,0,0,1168,-351,1272,14660,
12/31/1992,,11346,2505,186,7218,171,818,448,25,725,200.0,466,372,13134,,5540,770,3896.0,0,10206,378.0,238,1042,11864,455,0,0,1168,-353,1270,13134,
03/31/1993,,11331,1936,198,7868,172,790,367,13,2481,,466,511,14802,,10968,927,,0,11895,,615,968,13478,455,0,0,1169,-300,1324,14802,
06/30/1993,,11325,1831,200,7895,180,795,424,27,2535,,460,500,14847,,10910,907,,0,11817,,619,1063,13499,455,0,0,1171,-278,1348,14847,
09/30/1993,,11127,2216,208,7455,133,765,350,38,2496,,455,521,14637,,10851,910,,0,11761,,624,897,13282,455,0,0,1174,-274,1355,14637,
12/31/1993,,11377,5225,302,4661,135,685,369,17,1948,194.0,435,364,14335,,6329,917,3973.0,0,11219,395.0,223,987,12824,455,0,0,1175,-119,1511,14335,
03/31/1994,,11038,4880,320,4675,123,659,381,47,2078,,455,526,14144,,10231,927,,0,11158,,628,1001,12787,455,0,0,1178,-276,1357,14144,
06/30/1994,,10858,4579,329,4714,140,722,374,83,2004,,478,579,14002,,10177,942,,0,11119,,634,937,12690,455,0,0,1178,-321,1312,14002,
09/30/1994,,10691,4454,348,4703,150,694,342,57,1985,,491,617,13841,,10016,952,,0,10968,,627,911,12506,405,0,0,1226,-296,1335,13841,
12/31/1994,,10561,4531,349,4659,72,662,288,69,2001,,504,845,13980,,6158,968,3804.0,0,10930,,628,981,12539,331,0,0,1366,-256,1441,13980,
04/01/1995,,10567,4480,349,4631,65,637,405,82,1975,,476,829,13929,,9796,947,,0,10743,,632,1070,12445,265,0,0,1367,-148,1484,13929,
06/30/1995,,10767,4791,293,4583,68,658,374,97,2064,,476,838,14242,,9815,1005,,0,10820,,632,1078,12530,265,0,0,1431,16,1712,14242,
09/30/1995,,10921,5057,160,4547,64,654,439,97,2191,,475,876,14560,,9842,1051,,0,10893,,623,1288,12804,256,0,0,1442,58,1756,14560,
12/31/1995,,11107,9746,254,0,65,653,389,119,2098,,434,893,14651,,6097,1055,3719.0,0,10871,80.0,527,1189,12667,213,0,0,1487,284,1984,14651,
03/31/1996,,10865,9449,269,0,37,658,452,120,2153,,467,959,14564,,9747,1075,,0,10822,,585,1313,12720,213,0,0,1487,144,1844,14564,
06/30/1996,,10755,9271,325,0,40,634,485,41,2223,,501,905,14425,,9607,1154,,0,10761,,599,1298,12658,213,0,0,1464,90,1767,14425,
09/30/1996,,9857,8362,340,0,39,627,489,59,3182,,467,962,14527,,9648,1189,,0,10837,,546,1378,12761,213,0,0,1426,127,1766,14527,
12/31/1996,,10076,8699,406,0,16,554,401,73,3000,,456,802,14407,,6032,1113,3552.0,0,10697,0.0,482,1159,12338,200,100,0,1377,392,2069,14407,
03/31/1997,,10022,8533,471,0,17,554,447,91,3038,,483,851,14485,,9632,1121,,0,10753,,483,1288,12524,100,200,0,1334,327,1961,14485,
06/30/1997,,10239,8799,489,0,13,410,528,74,3140,,471,832,14756,,9774,1160,,0,10934,,544,1326,12804,0,200,0,1291,461,1952,14756,
09/30/1997,,10459,8925,582,0,50,404,498,67,3084,,464,861,14935,,9818,1173,,0,10991,,505,1263,12759,0,296,0,1300,580,2176,14935,
