Date,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Total Capital,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/2009,-2496.0,536.0,284.0,94.0,-3599.0,,
06/30/2009,-2561.0,536.0,279.0,96.0,-3926.0,,
09/30/2009,-1816.0,536.0,257.0,41.0,-4541.0,,
03/31/2010,-1918.0,536.0,191.0,41.0,-2719.0,,
06/30/2010,-1661.0,536.0,62.0,41.0,-3278.0,,
09/30/2010,-1678.0,536.0,64.0,,,,
12/31/2010,-800.0,536.0,64.0,0.0,-6532.0,,
03/31/2011,-767.0,536.0,65.0,,,,
06/30/2011,,,,,,,
09/30/2011,,,,,,,
12/31/2011,,,,,,,
03/31/2012,,,,,,,
09/12/2020,,,,,,,
