Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,1410.0,,,,,,,,,,,68.0,,,,,,,57.0,,39.0,,,,,,39.0,0.0,0.0,39.0,39.0,,,,,,,,,,
06/30/2009,1544.0,,,,,,,,,,,-4.0,,,,,,,-15.0,,-10.0,0.0,,,,0.0,-10.0,0.0,0.0,-10.0,-10.0,,,,,,,,,,
09/30/2009,1656.0,,,,,,,,,,,82.0,,,,,,,71.0,,52.0,0.0,,,,0.0,52.0,0.0,0.0,52.0,52.0,,,,,,,,,,
12/31/2009,1682.0,,,,,,,,,,,65.0,,,,,,,63.0,,43.0,0.0,,,,0.0,43.0,0.0,0.0,43.0,43.0,,,,,,,,,,
03/31/2010,1712.0,1712.0,-1471.0,1471.0,241.0,0.0,-154.0,154.0,154.0,,0.0,87.0,-10.0,,10.0,,,0.0,77.0,-36.0,41.0,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,41.0,41.0,0.0,48.8,0.85,0.85,0.85,48.8,0.85,0.85,0.85,
06/30/2010,1610.0,1610.0,-1469.0,1469.0,141.0,0.0,-161.0,161.0,161.0,,0.0,-20.0,-10.0,,10.0,,,0.0,-30.0,19.0,-11.0,0.0,0.0,0.0,-11.0,0.0,-11.0,0.0,0.0,-11.0,62.45,73.45,48.8,-0.23,-0.23,1.279713,48.8,-0.23,-0.23,1.275123,
09/30/2010,1665.0,1665.0,-1430.0,1430.0,235.0,0.0,-158.0,158.0,158.0,,0.0,77.0,-10.0,,10.0,,,0.0,67.0,-25.0,42.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,42.0,42.0,0.0,48.8,0.86,0.86,0.86,48.8,0.86,0.86,0.86,
12/31/2010,1736.0,,-1442.0,,294.0,,-190.0,,,,,104.0,-12.0,10.0,10.0,,,2.0,92.0,-29.0,63.0,0.0,,,63.0,0.0,63.0,0.0,0.0,63.0,63.0,,48.8,1.29,1.29,1.29,48.8,1.29,1.29,1.29,
03/31/2011,1684.0,1684.0,-1450.0,1450.0,234.0,0.0,-149.0,149.0,149.0,,0.0,85.0,-15.0,,15.0,,,0.0,70.0,-25.0,45.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,45.0,45.0,0.0,48.8,0.92,0.92,0.92,48.8,0.92,0.92,0.92,
06/30/2011,1563.0,1563.0,-1303.0,1303.0,260.0,0.0,-169.0,169.0,169.0,,0.0,91.0,-30.0,,30.0,,,0.0,61.0,-21.0,40.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,40.0,40.0,0.0,48.8,0.81,0.81,0.81,49.6,0.8,0.8,0.8,
