Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,48.863998,,,,,,,,,,,,,,,,,,,,,,,,,,,2.416,,,2.416,2.416,,187.313324,0.012812,0.012812,,187.313324,0.012812,0.012812,0.012812,
03/31/1990,41.580002,,-31.096001,,10.484001,,-8.267,,,,,2.217,0.453,,,,,,-0.453,2.67,-0.703,1.967,0.0,,,1.967,0.0,1.967,0.0,,1.967,1.967,,187.231995,0.010625,0.010625,,187.231995,0.010625,0.010625,0.010625,
06/30/1990,48.818001,,-36.997002,,11.820999,,-8.983,,,,,2.838,0.536,,,,,,-0.536,3.374,-0.821,2.553,0.0,,,2.553,0.0,2.553,0.0,,2.553,2.553,,187.104004,0.01375,0.01375,,187.104004,0.01375,0.01375,0.01375,
09/30/1990,56.341999,,-43.268002,,13.073997,,-9.978,,,,,3.096,0.652,,,,,,-0.652,3.748,-1.026,2.722,0.0,,,2.722,0.0,2.722,0.0,,2.722,2.722,,186.912003,0.014687,0.014687,,186.912003,0.014687,0.014687,0.014687,
12/31/1990,60.127998,,-45.785999,,14.341999,,-11.304,,,,,3.038,0.663,,0.243,,,,-0.906,3.701,-1.217,2.484,0.0,,,2.484,0.0,2.484,0.0,,2.484,2.484,,185.344,0.013125,0.013125,0.013125,185.344,0.013125,0.013125,0.013125,
03/31/1991,53.358002,,-40.196999,,13.161003,,-10.893,,,,,2.268,0.487,,,,,,-0.487,2.755,-0.78,1.975,0.0,,,1.975,0.0,1.975,0.0,,1.975,1.975,,187.264008,0.010625,0.010625,,187.264008,0.010625,0.010625,0.010625,
06/30/1991,58.604,,-43.694,,14.91,,-11.689,,,,,3.221,0.231,,,,,,-0.231,3.452,-0.895,2.557,0.0,,,2.557,0.0,2.557,0.0,,2.557,2.557,,188.095993,0.01375,0.01375,,188.095993,0.01375,0.01375,0.01375,
09/30/1991,71.053001,,-54.741001,,16.312,,-12.775,,,,,3.537,0.382,,0.065,,,,-0.447,3.919,-1.018,2.901,0.0,,,2.901,0.0,2.901,0.0,,2.901,2.901,,191.007996,0.015313,0.015313,,191.007996,0.015313,0.015313,0.015313,
12/31/1991,70.959,,-54.048,,16.911,,-13.367,,,,,3.544,0.58,,0.164,,,,-0.744,4.124,-1.361,2.763,0.0,,,2.763,0.0,2.763,0.0,,2.763,2.763,,186.656,0.014375,0.014375,0.014375,186.656,0.014375,0.014375,0.014375,
03/31/1992,66.808998,,-50.317001,,16.491997,,-13.745,,,,,2.747,0.271,,,,,,-0.271,3.018,-0.859,2.159,0.0,,,2.159,0.0,2.159,0.0,,2.159,2.159,,193.472,0.01125,0.01125,,193.472,0.01125,0.01125,0.01125,
06/30/1992,79.641998,,-60.584,,19.057999,,-15.264,,,,,3.794,0.208,,,,,,-0.208,4.002,-1.15,2.852,0.0,,,2.852,0.0,2.852,0.0,,2.852,2.852,,192.576004,0.014687,0.014687,,192.576004,0.014687,0.014687,0.014687,
09/30/1992,94.800003,,-73.453003,,21.347,,-17.441,,,,,3.906,0.337,,0.06,,,,-0.397,4.243,-1.071,3.172,0.0,,,3.172,0.0,3.172,0.0,,3.172,3.172,,193.087997,0.016562,0.016562,,193.087997,0.016562,0.016562,0.016562,
