Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
05/31/1989,14.234,-31.6,16.226999,73.356003,,,73.356003,-43.749001,,,-43.749001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1989,265.15799,118.661003,2.515,84.299004,,,84.299004,59.682999,,,59.682999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1989,21.382,-28.521999,14.358,27.966,,,27.966,7.58,,,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/1990,-29.611,-23.332,7.867,23.045,,,23.045,-37.191,,,-37.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.611,,,
05/31/1990,-23.198,-41.283001,10.927,52.377998,,,52.377998,-45.220001,,,-45.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1990,-0.402,-35.310001,4.88,-93.981003,,,-93.981003,124.009003,,,124.009003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1990,-0.778,-33.481998,7.791,3.233,,,3.233,21.68,,,21.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/23/1991,70.539001,-66.261002,39.007999,224.878006,,,224.878006,-127.085999,,,-127.085999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,-7.131,14.398,9.357,-0.418,,,-0.418,-30.468,,,-30.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-19.806,8.901,9.375,1.471,,,1.471,-39.553001,,,-39.553001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,45.481998,9.194,9.039,0.984,,,0.984,26.264999,,,26.264999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,12.488,12.875,6.684,-36.868999,,,-36.868999,29.798,,,29.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.488,,,
03/31/1994,-19.174999,15.677,10.646,-0.361,,,-0.361,-45.137001,,,-45.137001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-19.888,11.343,6.689,3.09,,,3.09,-41.009998,,,-41.009998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,36.490002,12.408,13.004,-4.066,,,-4.066,15.144,,,15.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,-3.561,-1.156,5.437,-28.177,,,-28.177,20.335,,,20.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.561,,,
03/31/1995,14.616,7.743,9.838,-0.491,,,-0.491,-2.474,,,-2.474,,,-4.332,,,,-4.332,,,,,,,,,,4.332,,,,,,,,,,,,,,
06/30/1995,22.459999,5.487,9.5,-0.199,,,-0.199,7.672,,,7.672,,,-3.982,,,,-3.982,,,,,,,,,,3.982,,,,,,,,,,,,,,
09/30/1995,30.783001,6.196,9.049,-2.496,,,-2.496,18.034,,,18.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
