Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,1238.009033,251.031006,251.031006,0.0,110.591003,,,118.746002,,,,,140.044006,,,,620.411987,428.132996,,,0.0,189.464005,,,,,,189.464005,617.597,,70.454002,70.454002,,,,84.419998,,,,,,170.942986,,,170.942986,325.816986,7.037,,,,,91.001999,,,,91.001999,98.038999,423.855985,0.0,160.990997,,,0.0,,653.161987,814.152985,0.0,814.152985,1238.00897,
12/31/1989,1115.822021,214.830994,214.830994,0.0,103.960999,,,136.867996,,,,,10.164,,,,465.824005,459.269012,,,0.0,190.729004,,,,,,190.729004,649.998016,,49.250999,49.250999,,,,34.778999,,,,,,122.705002,,,122.705002,206.735001,6.886,,,,,92.571999,,,,92.571999,99.457999,306.192999,0.0,158.623993,,,-13.74,,664.745005,809.628998,0.0,809.628998,1115.821997,
03/31/1990,1122.571045,102.609001,102.609001,0.0,177.013,,,154.845001,,,,,10.02,,,,444.487,479.598999,,,0.0,198.485001,,,,,,198.485001,678.084,,70.362999,70.362999,,,,0.569,,,,,,149.223,,,149.223,220.154999,6.179,,,,,94.539001,,,,94.539001,100.718001,320.873,0.0,156.438995,,,-43.345001,,688.603973,801.697968,0.0,801.697968,1122.570968,
06/30/1990,1137.734985,124.598999,124.598999,0.0,151.475006,,,128.126999,,,,,14.204,,,,418.404999,517.510986,712.437012,-194.925995,0.0,201.819,,,,,,201.819,719.329986,,79.299004,79.299004,,,,0.78,,,,,,145.482992,,,145.482992,225.561996,7.503,,,,,94.155998,,,,94.155998,101.658998,327.220994,0.0,158.574997,,,-55.033001,,706.972027,810.514023,0.0,810.514023,1137.735017,
09/30/1990,1536.603027,65.920998,65.920998,0.0,122.129997,,,149.723999,,,,,11.02,,,,348.795013,557.304993,,,0.0,630.502991,,,,,,630.502991,1187.807983,,78.083,78.083,,,,172.432007,,,,,,150.312996,,,150.312996,400.828003,207.904007,,,,,97.305,,,,97.305,305.209007,706.03701,0.0,158.589005,,,-56.306999,,728.283989,830.565994,0.0,830.565994,1536.603004,
12/31/1990,1546.800049,51.965,51.965,0.0,112.514999,,,167.278,,,,,10.474,,,,342.231995,573.848022,,,0.0,630.719971,,,,,,630.719971,1204.567993,,52.799999,52.799999,,,,216.951004,,,,,,135.298985,,,135.298985,405.049988,207.149002,,,,,100.454002,,,,100.454002,307.603004,712.652992,0.0,158.440002,,,-54.305,,730.011971,834.146973,0.0,834.146973,1546.799965,
03/31/1991,1656.779053,52.886002,52.886002,0.0,218.903,,,159.462997,,,,,12.651,,,,443.903015,581.359985,,,0.0,631.515991,,,,,,631.515991,1212.875977,,82.385002,82.385002,,,,236.014999,,,,,,177.852989,,,177.852989,496.252991,207.018997,,,,,103.886002,,,,103.886002,310.904999,807.15799,0.0,158.440002,,,-50.083,,741.26403,849.621033,0.0,849.621033,1656.779022,
06/30/1991,1602.68103,113.862,113.862,0.0,219.505997,,,116.342003,,,,,17.129999,,,,466.839996,521.778015,760.551025,-238.772995,0.0,614.062988,,,,,,614.062988,1135.841003,,103.75,103.75,,,,10.696,,,,,,233.983993,,,233.983993,348.429993,406.802002,,,,,63.173,,,,63.173,469.975002,818.404995,0.0,159.781006,,,-47.936001,,672.430996,784.276001,0.0,784.276001,1602.680996,
09/30/1991,1480.266968,67.879997,67.879997,0.0,136.983002,,,124.706001,,,,,9.344,,,,338.912994,524.794983,,,0.0,616.559021,,,,,,616.559021,1141.354004,,60.173,60.173,,,,103.024002,,,,,,233.265003,,,233.265003,396.462006,207.054001,,,,,64.517998,,,,64.517998,271.571999,668.034004,0.0,159.567001,,,-45.241001,,697.907017,812.233017,0.0,812.233017,1480.267021,
12/31/1991,1483.916016,62.799999,62.799999,0.0,108.772003,,,153.412994,,,,,7.74,,,,332.725006,532.76001,,,0.0,618.43103,,,,,,618.43103,1151.19104,,58.556,58.556,,,,117.094002,,,,,,210.986992,,,210.986992,386.636993,207.278,,,,,68.071999,,,,68.071999,275.349998,661.986992,0.0,159.744003,,,-43.124001,,705.308998,821.929001,0.0,821.929001,1483.915993,
03/31/1992,1624.61499,81.507004,81.507004,0.0,220.210007,,,155.981003,,,,,7.721,,,,465.419006,547.429016,,,0.0,611.767029,,,,,,611.767029,1159.196045,,79.875,79.875,,,,179.164001,,,,,,244.59201,,,244.59201,503.631012,207.100006,,,,,74.167999,,,,74.167999,281.268005,784.899017,0.0,159.865005,,,-37.652,,717.503014,839.716019,0.0,839.716019,1624.615036,
06/30/1992,1589.993042,69.024002,69.024002,0.0,188.117004,,,93.113998,,,,,31.851999,,,,382.106995,508.628998,752.302002,-243.673004,0.0,699.257019,,,,,,699.257019,1207.886017,,97.766998,97.766998,,,,77.563004,,,,,,232.098984,,,232.098984,407.428986,203.626999,,,,,165.195999,,,,165.195999,368.822998,776.251984,0.0,160.671005,,,-35.025002,,688.095009,813.741012,0.0,813.741012,1589.992996,
09/30/1992,1550.321045,65.306,65.306,0.0,141.949005,,,117.116997,,,,,30.66,,,,355.032013,581.258972,,,0.0,614.030029,,,,,,614.030029,1195.289001,,63.066002,63.066002,,,,52.768002,,,,,,215.172985,,,215.172985,331.006989,263.519012,,,,,120.032997,,,,120.032997,383.55201,714.558998,0.0,160.563004,,,-32.271999,,707.470974,835.761978,0.0,835.761978,1550.320976,
12/31/1992,1551.186035,59.264,59.264,0.0,125.994003,,,144.466995,,,,,28.854,,,,358.57901,589.526001,,,0.0,603.080994,,,,,,603.080994,1192.606995,,48.193001,48.193001,,,,102.684998,,,,,,185.094994,,,185.094994,335.972992,260.036987,,,,,121.218002,,,,121.218002,381.25499,717.227982,0.0,160.641998,,,-28.399,,701.714979,833.957977,0.0,833.957977,1551.185959,
03/31/1993,1635.024048,46.946999,46.946999,0.0,222.679993,,,150.688004,,,,,26.926001,,,,447.240997,588.013,,,0.0,599.77002,,,,,,599.77002,1187.78302,,69.458,69.458,,,,112.803001,,,,,,213.629013,,,213.629013,395.890015,258.101013,,,,,122.738998,,,,122.738998,380.840012,776.730026,0.0,160.712997,,,-26.159,,723.739994,858.293991,0.0,858.293991,1635.024017,
06/30/1993,1649.22998,71.164001,71.164001,0.0,226.675003,,,105.889999,,,,,128.048996,,,,531.778015,538.101013,814.252991,-276.152008,0.0,579.351013,,,,,,579.351013,1117.452026,,84.242996,84.242996,,,,39.966999,,,,,,247.360012,,,247.360012,371.570007,204.0,,,,,194.365997,,,,194.365997,398.365997,769.936004,0.0,160.904999,,,-23.357,,741.745977,879.293976,0.0,879.293976,1649.22998,
09/30/1993,1643.553955,197.901993,197.901993,0.0,186.869995,,,113.773003,,,,,32.891998,,,,531.437012,531.577026,,,0.0,580.539978,,,,,,580.539978,1112.117004,,66.002998,66.002998,,,,3.289,,,,,,279.175989,,,279.175989,348.467987,203.932999,,,,,227.033997,,,,227.033997,430.966995,779.434982,0.0,161.080002,,,-90.448997,,793.487999,864.119003,0.0,864.119003,1643.553986,
