Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,33.076996,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,0.165,0.165,,45.773998,0.0,,,45.773998,0.0,,,
03/31/1990,32.722,,,-30.504999,,,2.217001,,-3.748,,,,,-1.531,-0.344,,0.571,,,-0.227,-1.875,-0.201,-2.076,0.0,,,-2.076,0.0,-2.076,0.0,,-2.076,-2.076,,46.105999,-0.05,-0.05,,46.105999,-0.05,-0.05,-0.05,
06/30/1990,32.964001,,,-30.768,,,2.196001,,-4.657,,,,,-2.461,-0.387,,0.552,,,-0.165,-2.848,-0.177,-3.025,0.0,,,-3.025,0.0,-3.025,0.0,,-3.025,-3.025,,46.490002,-0.07,-0.07,,46.490002,-0.07,-0.07,-0.07,
09/30/1990,32.028,,,-28.246,,,3.782,,-3.828,,,,,-0.046,0.039,,0.516,,,-0.555,-0.007,-0.592,-0.599,0.0,,,-0.599,0.0,-0.599,0.0,,-0.599,-0.599,,54.875999,-0.015,-0.015,,54.875999,-0.015,-0.015,-0.015,
12/31/1990,33.639,,,-33.848999,,,-0.209999,,-3.418,,,,,-3.628,0.632,,0.808,,,-1.44,-2.996,-0.241,-3.237,-0.001,,,-3.236,0.185,-3.051,0.0,,-3.051,-3.051,,66.657997,-0.045,-0.045,,66.657997,-0.045,-0.045,-0.045,
03/31/1991,40.258999,,,-36.394001,,,3.864998,,-5.155,,,,,-1.290003,-2.409,,2.93,,,-0.521,-3.699003,-0.161,-3.860003,0.0,,,-3.860003,0.015,-3.845003,0.0,,-3.845003,-3.845003,,66.725998,-0.06,-0.06,,66.725998,-0.06,-0.06,-0.06,
06/30/1991,47.660999,,,-38.535,,,9.125999,,-5.66,,,,,3.466,-3.258,,4.083,,,-0.825,0.208,-0.342,-0.134,0.0,,,-0.134,-0.039,-0.173,0.0,,-0.173,-0.173,,66.995995,-0.005,-0.005,,66.995995,-0.005,-0.005,-0.005,
09/30/1991,47.819,,,-39.287998,,,8.531002,,-6.483,,,,,2.048,-2.346,,4.289,,,-1.943,-0.298,-0.685,-0.983,-4.978,,,3.995,-0.015,3.98,0.0,,3.98,3.98,,69.015999,0.055,-0.015,,69.015999,0.055,-0.015,-0.015,
12/31/1991,41.639,,,-43.262001,,,-1.623001,,-6.8,,,,,-8.423,1.005,,2.192,,,-3.197,-7.418,-0.887,-8.305,1.815,,,-10.12,-0.039,-10.159,-0.721,,-10.88,-10.88,,67.311996,-0.155,-0.155,,67.311996,-0.155,-0.155,-0.155,
03/31/1992,35.867001,,,-31.615,,,4.252001,,-6.295,,,,,-2.043,-0.781,,2.239,,,-1.458,-2.824,-0.584,-3.408,2.835,,,-6.243,-0.012,-6.255,-1.682,,-7.937,-7.937,,67.585999,-0.115,-0.075,-0.075,67.585999,-0.115,-0.075,-0.075,
06/30/1992,32.874001,,,-29.830999,,,3.043001,,-5.45,,,,,-2.407,0.582,,1.869,,0.0,-2.451,-1.825,-0.553,-2.378,-0.211,,,-2.167,-0.025,-2.192,-1.682,,-3.874,-3.874,,67.874001,-0.055,-0.06,-0.06,67.874001,-0.055,-0.06,-0.06,
09/30/1992,33.316002,,,-29.313,,,4.003002,,-5.471,,,,,-1.468,0.52,,1.905,,,-2.425,-0.948,-0.585,-1.533,0.247,,,-1.78,-0.009,-1.789,-1.682,,-3.471,-3.471,,68.122002,-0.05,-0.045,-0.045,68.122002,-0.05,-0.045,-0.045,
12/31/1992,37.655998,,,-30.853001,,,6.802998,,-5.312,,,,,1.491,-1.649,,1.805,,-0.452,0.296,-0.158,-0.519,-0.677,0.501,,,-1.178,-0.043,-1.221,-1.682,,-2.903,-2.903,,68.528,-0.045,-0.045,-0.035,68.528,-0.045,-0.045,-0.035,
03/31/1993,52.172001,,,-41.161999,,,11.010002,,-5.942,,,,,5.068,-0.807,,1.01,,0.0,-0.203,4.261,-0.852,3.409,0.0,,,3.409,-0.017,3.392,-1.682,,1.71,1.71,,69.424004,-0.025,-0.025,-0.025,69.424004,-0.025,-0.025,-0.025,
06/30/1993,39.483002,,,-30.068001,,,9.415001,,-4.529,,,,,4.886,-0.252,,0.9,,0.0,-0.648,4.634,-0.635,3.999,0.0,,,3.999,0.098,4.097,-1.682,,2.415,2.415,,69.984001,0.035,0.035,0.035,69.984001,0.035,0.035,0.035,
09/30/1993,63.431,,,-50.701,,,12.73,,-6.321,,,,,6.409,0.132,,1.364,,,-1.496,6.541,-0.609,5.932,0.0,,,5.932,0.053,5.985,-1.682,,4.303,4.303,,127.788002,0.035,0.035,0.035,127.788002,0.035,0.035,0.035,
12/31/1993,109.445,,,-85.639,,,23.806,,-11.492,,,,,12.314,-3.567,,4.764,,0.611,-1.808,8.747,-1.237,7.51,-1.77,,,9.28,0.098,9.378,-2.89,,6.488,6.488,,152.233994,0.065,0.05,0.05,152.233994,0.065,0.05,0.05,
03/31/1994,78.920998,,,-60.077,,,18.843998,,-8.519,,,,,10.325,-0.697,,3.0,,0.0,-2.303,9.628,-1.544,8.084,0.0,,,8.084,0.037,8.121,-3.191,,4.93,4.93,,153.856003,0.03,0.03,,153.856003,0.03,0.03,0.03,
06/30/1994,87.595001,,,-69.597,,,17.998001,,-11.369,,,,,6.629,7.766,,3.114,,0.0,-10.88,14.395,-1.721,12.674,0.0,,,12.674,-0.276,12.398,-3.191,,9.207,9.207,,154.641998,0.06,0.06,,154.641998,0.06,0.06,0.06,
09/30/1994,98.059998,,,-80.487,,,17.572998,,-15.407,,,,,2.166,1.693,,3.213,,0.0,-4.906,3.859,-1.413,2.446,0.0,,,2.446,0.05,2.496,-3.191,,-0.695,-0.695,,155.787994,-0.005,-0.005,,155.787994,-0.005,-0.005,-0.005,
12/31/1994,87.412003,,,-67.666,,,19.746002,,-12.311,,,,,7.435,-8.231,,3.024,,0.0,5.207,-0.796,-0.994,-1.79,0.0,,,-1.79,0.358,-1.432,-3.191,,-4.623,-4.623,,156.647995,-0.03,-0.03,,156.647995,-0.03,-0.03,-0.03,
03/31/1995,85.096001,,,-72.584999,,,12.511002,,-10.556,,,,,1.955,-0.954,,3.024,,0.0,-2.07,1.001,-1.72,-0.719,0.0,,,-0.719,0.058,-0.661,-3.331,,-3.992,-3.992,,160.132004,-0.03,-0.03,,160.132004,-0.03,-0.03,-0.03,
06/30/1995,73.985001,,,-64.487,,,9.498001,,-9.805,,,,,-0.307,-3.058,,3.058,,0.0,0.0,-3.365,-0.958,-4.323,0.0,,,-4.323,-0.015,-4.338,-1.509,,-5.847,-5.847,,177.037994,-0.035,-0.035,,177.037994,-0.035,-0.035,-0.035,
09/30/1995,84.652,,,-70.556,,,14.096001,,-10.952,,,,,3.144,-0.873,,3.04,,0.0,-2.167,2.271,-0.052,2.219,0.0,,,2.219,0.096,2.315,-1.509,,0.806,0.806,,190.973999,0.005,0.005,,190.973999,0.005,0.005,0.005,
12/31/1995,84.235001,,,-65.526001,,,18.709,,-8.826,,,,,9.883,-5.138,,3.034,,0.0,2.104,4.745,-0.542,4.203,0.0,,,4.203,0.075,4.278,-0.85,,3.428,3.428,,190.863998,0.015,0.015,,190.863998,0.015,0.015,0.015,
03/31/1996,104.757004,,,-78.594002,,,26.163002,,-12.025,,,,,14.138,-1.941,,3.176,,0.0,-1.235,12.196999,-1.503,10.694,0.0,,,10.693999,0.032,10.726,-1.511,,9.215,9.215,,191.563995,0.05,0.05,,191.563995,0.05,0.05,0.05,
06/30/1996,109.685997,,,-78.210999,,,31.474998,,-12.072,,,,,19.403,-1.585,,3.168,,0.0,-1.583,17.818,-1.601,16.216999,0.0,,,16.217,0.036,16.253,-1.509,,14.744,14.744,,193.455994,0.075,0.075,0.075,193.455994,0.075,0.075,0.075,
09/30/1996,158.072006,,,-113.136002,,,44.936005,,-14.42,,,,,30.516001,-2.976,,6.562,,0.0,-3.586,27.540001,-2.352,25.188,0.0,,,25.188001,0.033,25.221001,-1.509,,23.712001,23.712001,,247.509995,0.095,0.095,0.095,247.509995,0.095,0.095,0.095,
12/31/1996,141.738007,,,-108.289001,,,33.449005,,-15.987,,,,,17.462,26.514001,,5.852,,0.0,-32.366001,43.976001,-17.205999,26.77,0.66,,,26.110001,0.327,26.437,-1.511,,24.926,24.926,,249.617996,0.1,0.1,,249.617996,0.1,0.1,0.1,
03/31/1997,168.714996,,,-116.938004,,,51.776992,,-16.312,,,,,35.465,-2.712,3.57,5.457,-1.887,0.0,-0.858,32.753,-8.702,24.051001,1.704,,,22.347,-0.403,21.944,0.0,,21.944,21.944,,264.306,0.085,0.09,0.09,267.496002,0.08,0.085,0.085,
06/30/1997,184.992,,,-123.549,,,61.443,,-16.14,,,,,45.303,196.881,1.476,4.638,-3.162,0.0,-198.357,242.184,-80.382,161.802,4.981,,,156.821,-0.102,156.719,0.0,,156.719,156.719,-197.68,269.13,0.58,0.6,-0.125,269.13,0.58,0.6,-0.125,
09/30/1997,171.636002,,,-109.953003,,,61.682999,,-18.035999,,,,,43.646999,1.054,1.595,1.595,,0.0,-2.649,44.700999,-11.22,33.480999,0.0,,,33.480999,0.0,33.480999,0.0,,33.480999,33.480999,,262.764008,0.125,0.125,0.125,266.26001,0.125,0.125,0.125,
12/31/1997,187.852005,,,-113.588997,,,74.263008,,-15.263,,,,,59.0,0.719,,1.204,,0.0,-1.923,59.719,-15.427,44.292,0.0,,,44.292,0.761,45.053001,0.0,,45.053001,45.053001,,262.34201,0.17,0.17,0.18,265.862,0.17,0.17,0.17,
03/31/1998,189.035995,,,-114.556,,,74.479995,,-8.165,,,,,66.315002,0.003,-0.443,1.132,-1.575,0.0,0.44,66.318002,-20.089001,46.229,0.0,,,46.229001,0.0,46.229,0.0,,46.229,46.229,,262.100006,0.175,0.175,0.175,265.082,0.175,0.175,0.175,
06/30/1998,216.227997,,,-127.788002,,,88.439995,,-18.135,,,,,70.305,2.638,-0.392,1.11,-1.502,0.0,-2.246,72.943,-22.539,50.403999,0.0,,,50.404,0.0,50.403999,0.0,,50.403999,50.403999,,262.466004,0.19,0.19,0.19,265.03601,0.19,0.19,0.19,
09/30/1998,195.048996,,,-128.975006,,,66.07399,,-17.673,,,,,48.401001,-1.228,-0.682,1.16,-1.842,0.0,1.91,47.173001,-14.556885,32.616001,0.0,,,32.616116,0.0,32.616001,0.0,,32.616001,32.616001,,262.604004,0.125,0.125,0.125,263.471984,0.125,0.125,0.125,
12/31/1998,187.927994,,,-143.177994,,,44.75,,,,,,,44.75,-0.265,,1.779,,0.0,-1.514,44.485,-11.702,32.783001,0.0,,,32.783,0.0,32.783001,0.0,,32.783001,32.783001,,262.253998,0.125,0.125,0.13,263.64801,0.125,0.125,0.13,
03/31/1999,180.119995,,,-132.384995,,,47.735,,-9.384,,,,,38.351002,-2.349,2.066,4.716,-2.65,0.0,0.283,36.002002,-10.243,25.759001,10.833,,,14.926002,0.58,15.506,0.0,0.0,15.506,15.506,,262.303986,0.06,0.1,0.1,263.731994,0.06,0.1,0.1,
06/30/1999,175.470993,,,-127.503998,,,47.966995,,-6.234,,,,,41.733002,-5.114,4.71,7.541,-2.831,0.0,0.404,36.619002,-9.588,27.031,0.0,,,27.031002,0.254,27.285,0.0,0.0,27.285,27.285,,262.671998,0.105,0.105,0.105,264.682006,0.105,0.105,0.105,
09/30/1999,176.824997,,,-128.113998,,,48.710999,,-7.637,,,,,41.074001,-7.188,7.946,10.284,-2.338,0.0,-0.758,33.886001,-8.842,25.044001,0.0,,,25.044001,0.126,25.17,0.0,0.0,25.17,25.17,,263.358002,0.095,0.095,0.095,265.921998,0.095,0.095,0.095,
12/31/1999,173.487,,,-123.848,,,49.639,,-14.581,,,,,35.057999,-17.303,,10.609,,0.0,6.694,17.754999,-1.511,16.243999,0.0,,,16.243999,0.264,16.507999,0.0,0.0,16.507999,16.507999,,263.596008,0.06,0.06,0.085,266.119996,0.06,0.06,0.08,
03/31/2000,184.819,,,-131.694,,,53.125,,-6.377,,,,,46.748001,-11.45,11.226,13.499,-2.273,0.0,0.224,35.298001,-9.918,25.379999,0.0,,,25.380001,0.123,25.503,0.0,0.0,25.503,25.503,,264.828002,0.095,0.095,0.095,269.243988,0.095,0.095,0.095,
06/30/2000,230.723999,,,-155.729004,,,74.994995,,-5.594,,,,,69.401001,-9.101,9.576,13.761,-4.185,0.0,-0.475,60.300001,-16.870001,43.43,0.0,,,43.43,-0.049,43.381001,0.0,0.0,43.381001,43.381001,,267.201996,0.16,0.16,0.16,271.231994,0.16,0.16,0.16,
09/30/2000,225.878006,,,-149.126007,,,76.751999,,-5.456,,,,,71.295998,-10.738,13.913,13.913,,0.0,-3.175,60.557998,-15.745,44.813,0.0,,,44.812998,,44.813,0.0,0.0,44.813,44.813,,267.556,0.165,0.165,0.165,271.838012,0.165,0.165,0.165,
12/31/2000,241.179001,,,-153.643997,,,87.535004,,-6.356,,,,,81.179001,-11.028,,13.405,,0.0,-2.377,70.151001,-18.219999,51.931,0.0,,,51.931002,-0.074,51.856998,0.0,,51.856998,51.856998,,267.850006,0.195,0.195,0.195,271.309998,0.19,0.19,0.19,
03/31/2001,222.391006,,,-133.056,,,89.335006,,-6.525,,,,,82.809998,-9.705,12.555,12.555,,0.0,-2.85,73.104998,-18.642,54.463001,0.0,,,54.462998,0.0,54.463001,0.0,0.0,54.463001,54.463001,,267.338012,0.205,0.205,0.205,271.093994,0.2,0.2,0.2,
06/30/2001,246.645996,,,-142.917999,,,103.727997,,-6.33,,,,,97.398003,-8.133,12.401,12.401,,0.0,-4.268,89.265003,-21.261999,68.002998,0.0,,,68.003004,0.0,68.002998,0.0,0.0,68.002998,68.002998,,267.73001,0.255,0.255,0.255,270.914002,0.25,0.25,0.25,
09/30/2001,272.792,,,-156.381,,,116.411,,-5.114,,,,,111.297,-8.041,11.578,11.578,,0.0,-3.537,103.256,-25.298,77.958,0.988,,,76.97,0.0,76.97,0.0,0.0,76.97,76.97,,264.106,0.29,0.295,0.295,265.618,0.29,0.295,0.295,
12/31/2001,260.5,,,-161.389999,,,99.110001,,-6.328,,,,,92.781998,-8.416,,11.218,,0.0,-2.802,84.365998,-20.879999,63.486,0.0,,,63.485999,0.0,63.486,0.0,0.0,63.486,63.486,,264.112,0.24,0.24,0.24,265.764008,0.24,0.24,0.24,
03/31/2002,241.734,,,-161.917,,,79.817,,-9.212,,,,,70.605,-8.962,10.7,10.7,,0.0,-1.738,61.643,-10.213,51.43,0.0,,,51.43,0.0,51.43,0.0,0.0,51.43,51.43,,264.142,0.195,0.195,0.195,266.582,0.195,0.195,0.195,
06/30/2002,253.645,,,-169.2,,,84.445,,-6.171,,,,,78.274,-8.652,10.591,10.591,,0.0,-1.939,69.622,-12.184,57.438,0.0,,,57.438,0.0,57.438,0.0,0.0,57.438,57.438,,265.014,0.215,0.215,0.215,268.264,0.215,0.215,0.215,
09/30/2002,239.87,,,-171.712,,,68.158,,-5.23,,,,,62.928,-8.07,10.288,10.288,,0.0,-2.218,54.858,-5.705,49.153,0.0,,,49.153,0.0,49.153,0.0,0.0,49.153,49.153,,264.608,0.185,0.185,0.185,266.714,0.185,0.185,0.185,
12/31/2002,251.107,,,-181.587,,,69.52,,-6.326,,,,,63.194,-5.992,11.043,11.043,,0.0,-5.051,57.202,-5.72,51.482,0.0,,,51.482,0.0,51.482,0.0,0.0,51.482,51.482,,263.87,0.195,0.195,0.195,266.058,0.195,0.195,0.195,
03/31/2003,245.008,,,-184.028,,,60.98,,-6.262,,,,,54.718,-10.425,10.495,10.495,,0.0,-0.07,44.293,-4.872,39.421,0.0,,,39.421,0.0,39.421,0.0,0.0,39.421,39.421,,263.57,0.15,0.15,0.15,265.956,0.15,0.15,0.15,
