Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,-61.400002,76.699997,341.299988,-335.100006,21.5,,,,,
06/30/1990,,-1.3,79.199997,-113.099998,107.599998,72.400002,,,,,
09/30/1990,,5.5,83.800003,-183.800003,153.899994,59.400002,,,,,
12/31/1990,,-54.599998,,197.600006,-22.4,77.199997,,,77.199997,,
03/31/1991,,17.299999,52.200001,-31.299999,-19.1,19.1,,,,,
06/30/1991,,17.200001,50.5,-15.8,23.0,74.900002,,,,,
09/30/1991,,29.1,51.599998,-14.9,-0.7,65.099998,,,,,
12/31/1991,,32.799999,54.099998,-20.200001,14.5,81.199997,,,81.199997,,
03/31/1992,,-134.800003,54.200001,137.5,-4.0,52.900002,,,,,
06/30/1992,,26.5,53.5,-25.799999,14.4,68.599998,,,,,
09/30/1992,,-165.100006,54.799999,217.0,-27.5,79.199997,,,,,
12/31/1992,,168.899994,53.599998,-117.199997,6.2,111.5,,,111.5,,
03/31/1993,,127.099998,55.200001,-105.5,-35.900002,40.900002,,,,,
06/30/1993,,147.5,59.099998,-142.5,2.3,66.400002,,,,,
09/30/1993,,-2.8,26.1,61.0,53.900002,138.199997,,,,,
12/31/1993,,67.0,48.0,0.9,2.4,118.300003,,,118.300003,,
03/31/1994,,68.099998,68.199997,-21.6,-66.400002,48.299999,,,,,
06/30/1994,,57.599998,31.0,-40.900002,82.900002,130.600006,,,,,
09/30/1994,,50.5,50.400002,50.200001,21.9,173.0,,,,,
12/31/1994,,46.299999,50.900002,33.599998,47.700001,178.5,,,,,
03/31/1995,,-2.0,52.5,15.7,-102.199997,-36.0,,,,,
06/30/1995,,47.799999,52.700001,1.6,12.5,114.599998,,,,,
