Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Other Cost (NL),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,240.959,199.763,,,41.255001,-0.059,,,-155.843002,155.843002,0.0,0.0,-63.766998,,,,,21.349001,0.0,0.0,21.349001,-2.758,18.591,0.0,,,18.591001,0.0,18.591,0.0,,18.591,18.591,,50.0,0.37,0.37,,50.0,0.37,0.37,0.37,
06/30/1995,268.644012,210.744003,,,60.721001,-2.821,,,-148.669998,148.669998,0.0,0.0,-77.170998,,,,,42.803001,0.0,0.0,42.803001,-10.893,31.91,0.0,,,31.910002,0.0,31.91,0.0,,31.91,31.91,,50.0,0.64,0.64,,50.0,0.64,0.64,0.64,
09/30/1995,283.722992,242.348999,,,42.257001,-0.883,,,-185.835999,185.835999,0.0,0.0,-73.675003,,,,,24.212,0.0,0.0,24.212,-3.498,20.714001,0.0,,,20.714,0.0,20.714001,0.0,,20.714001,20.714001,,50.0,0.41,0.41,,50.0,0.41,0.41,0.41,
12/31/1995,155.537994,100.464996,,,55.625,-0.552,,,-184.347,184.347,0.0,0.0,-72.779999,,,,,-114.931999,0.0,0.0,-114.931999,44.464001,-70.468002,0.0,,,-70.467999,0.0,-70.468002,0.0,,-70.468002,-70.468002,,50.75,-1.39,-1.39,,50.75,-1.39,-1.39,-1.39,
03/31/1996,258.472992,210.268997,,,48.580002,-0.376,,,-155.125,155.125,0.0,0.0,-68.349998,,,,,34.998001,0.0,0.0,34.998001,-7.247,27.750999,0.0,,,27.751001,0.0,27.750999,0.0,,27.750999,27.750999,,50.792999,0.55,0.55,0.5,50.909,0.55,0.55,0.5,
06/30/1996,269.365997,218.806,,,49.941001,0.619,,,-161.429993,161.429993,0.0,0.0,-69.846001,,,,,38.09,0.0,0.0,38.09,-9.343,28.747,0.0,,,28.747,0.0,28.747,0.0,,28.747,28.747,,50.497002,0.57,0.57,0.52,50.626999,0.57,0.57,0.52,
09/30/1996,288.290009,245.341003,,,42.961999,-0.013,,,-179.856003,179.856003,0.0,0.0,-79.152,,,,,29.282,0.0,0.0,29.282,-6.063,23.219,0.0,,,23.218999,0.0,23.219,0.0,,23.219,23.219,,50.487,0.46,0.46,0.54,50.630001,0.46,0.46,0.54,
12/31/1996,353.210999,299.195007,,,56.112999,-2.097,,,-219.621994,219.621994,0.0,0.0,-92.120003,,,,,41.469002,0.0,0.0,41.469002,-9.159,32.310001,0.0,,,32.310001,0.0,32.310001,0.0,,32.310001,32.310001,,50.487999,0.64,0.64,0.58,50.675999,0.64,0.64,0.58,
03/31/1997,287.519989,230.442993,,,53.843,3.234,,,-166.841003,166.841003,0.0,0.0,-74.753998,,,,,45.924999,0.0,0.0,45.924999,-11.461,34.464001,0.0,,,34.463999,0.0,34.464001,0.0,,34.464001,34.464001,,50.490002,0.68,0.68,0.68,50.724998,0.68,0.68,0.68,
06/30/1997,319.06601,247.514999,,,70.714001,0.837,,,-180.190994,180.190994,0.0,0.0,-78.237,,,,,60.638,0.0,0.0,60.638,-16.299999,44.338001,0.0,,,44.338001,0.0,44.338001,0.0,,44.338001,44.338001,,50.469002,0.88,0.88,0.71,50.737999,0.87,0.87,0.7,
