Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,6738.399902,19.700001,19.700001,0.0,1092.199951,,,1463.900024,,,,,216.100006,,,,,2791.899902,1644.900024,,,0.0,2301.600098,,,,,,2301.600098,3946.500122,,1401.400024,1401.400024,,,,251.399994,,,,,38.199982,,,38.199982,1691.0,1885.0,,,,436.700012,,,,,,436.700012,2321.700012,4012.700012,6.4,1494.599976,,,0.0,,1224.699951,2725.699927,0.0,2725.699927,6738.399939,
06/30/1990,6701.100098,13.3,13.3,0.0,1061.400024,,,1441.5,,,,,265.299988,,,,,2781.5,1622.900024,,,0.0,2296.699951,,,,,,2296.699951,3919.599976,,1373.400024,1373.400024,,,,280.799988,,,,,29.999939,,,29.999939,1684.199951,1783.300049,,,,432.100006,,,,,,432.100006,2215.400055,3899.600006,31.1,1473.400024,,,0.0,,1297.0,2801.500025,0.0,2801.500025,6701.100031,
09/30/1990,6823.899902,16.9,16.9,0.0,1090.800049,,,1464.800049,,,,,269.600006,,,,,2842.100098,1653.5,,,0.0,2328.300049,,,,,,2328.300049,3981.800049,,1377.400024,1377.400024,,,,251.600006,,,,,57.499969,,,57.499969,1686.5,1810.900024,,,,439.700012,,,,,,439.700012,2250.600037,3937.100037,31.299999,1478.5,,,0.0,,1377.0,2886.799999,0.0,2886.799999,6823.900036,
12/31/1990,7167.5,13.5,13.5,0.0,1114.699951,,,1483.599976,,,,,295.899994,,,,,2907.699951,1568.0,2472.899902,-904.900024,,2691.800049,,,,,,2691.800049,4259.800049,,786.099976,786.099976,,,,288.399994,,,,,791.900054,,,791.900054,1866.400024,1684.400024,,,,551.0,,,,,,551.0,2235.400024,4101.800048,31.4,1481.599976,,,0.0,,1552.699951,3065.699927,0.0,3065.699927,7167.499975,
03/31/1991,7098.200195,23.299999,23.299999,0.0,1098.199951,,,1517.300049,,,,,294.899994,,,,,2933.699951,1552.400024,,,0.0,2612.100098,,,,,,2612.100098,4164.500122,,1442.800049,1442.800049,,,,279.5,,,,,61.199951,,,61.199951,1783.5,1744.300049,,,,547.700012,,,,,,547.700012,2292.000061,4075.500061,31.4,1492.300049,,,0.0,,1499.0,3022.700048,0.0,3022.700048,7098.200109,
06/30/1991,7015.600098,9.3,9.3,0.0,1141.5,,,1483.699951,,,,,274.799988,,,,,2909.300049,1541.599976,,,0.0,2564.699951,,,,,,2564.699951,4106.299927,,1409.800049,1409.800049,,,,284.5,,,,,37.699951,,,37.699951,1732.0,1666.5,,,,552.799988,,,,,,552.799988,2219.299988,3951.299988,31.9,1532.800049,,,0.0,,1499.599976,3064.300024,0.0,3064.300024,7015.600012,
09/30/1991,7026.799805,13.3,13.3,0.0,1132.099976,,,1456.800049,,,,,274.0,,,,,2876.199951,1560.0,,,0.0,2590.600098,,,,,,2590.600098,4150.600098,,1324.0,1324.0,,,,279.299988,,,,,50.399963,,,50.399963,1653.699951,1595.5,,,,557.0,,,,,,557.0,2152.5,3806.199951,32.099998,1575.800049,,,0.0,,1612.699951,3220.599998,0.0,3220.599998,7026.79995,
12/31/1991,7148.600098,19.4,19.4,0.0,1124.300049,,,1452.400024,,,,,312.399994,,,,,2908.5,1614.0,2682.399902,-1068.400024,,2626.100098,,,,,,2626.100098,4240.100098,,778.0,778.0,,,,282.0,,,,,650.699951,,,650.699951,1710.699951,1479.199951,,,,563.799988,,,,,,563.799988,2042.999939,3753.69989,32.900002,1596.099976,,,0.0,,1765.900024,3394.900002,0.0,3394.900002,7148.599892,
03/31/1992,6965.799805,14.3,14.3,0.0,1138.300049,,,1377.5,,,,,288.799988,,,,,2818.899902,1596.400024,,,0.0,2550.5,,,,,,2550.5,4146.900024,,1230.900024,1230.900024,,,,276.899994,,,,,73.299957,,,73.299957,1581.099976,1469.900024,,,,572.900024,,,,,,572.900024,2042.800049,3623.900024,32.900002,1644.300049,,,0.0,,1664.699951,3341.900002,0.0,3341.900002,6965.800026,
06/30/1992,7005.100098,12.6,12.6,0.0,1130.599976,,,1362.599976,,,,,265.799988,,,,,2771.600098,1637.599976,,,0.0,2595.899902,,,,,,2595.899902,4233.499878,,1208.599976,1208.599976,,,,230.600006,,,,,101.700043,,,101.700043,1540.900024,1397.0,,,,577.0,,,,,,577.0,1974.0,3514.900024,33.0,1647.400024,,,0.0,,1809.800049,3490.200073,0.0,3490.200073,7005.100098,
