Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1991,125.796989,,-93.598999,,32.19799,,-21.495001,,,10.702991,-15.449,,15.618,,,-0.169,-4.746009,-0.095,,-4.841009,0.0,,,-4.841009,0.0,-4.841009,0.0,,-4.841009,-4.841009,,236.89064,-0.020625,-0.020625,,236.89064,-0.020625,-0.020625,-0.020625,
06/30/1991,130.418991,,-93.063004,,37.355988,,-20.636,,,16.719992,-15.247,,15.426,,,-0.179,1.472992,-1.061,,0.411991,0.0,,,0.411992,0.0,0.411991,0.0,,0.411991,0.411991,,236.89064,0.001875,0.001875,,236.89064,0.001875,0.001875,0.001875,
09/30/1991,116.612991,,-84.136002,,32.47699,,-18.879999,,,13.596992,-14.488,,14.818,,,-0.33,-0.891008,-1.044,,-1.935008,0.0,,,-1.935008,0.0,-1.935008,0.0,,-1.935008,-1.935008,,236.89064,-0.009375,-0.009375,,236.89064,-0.009375,-0.009375,-0.009375,
12/31/1991,116.249001,,-85.948997,,30.300004,,-18.458,,,11.842,-11.189,,13.69,,,-2.501,0.653,-0.819,,-0.166,5.689,,,-5.855,0.0,-5.855034,0.0,,-5.855034,-5.855034,,370.656,-0.01625,-0.000625,-0.000625,370.656,-0.01625,-0.000625,-0.000625,
03/31/1992,116.55999,,-86.542999,,30.016991,,-18.396,,,11.620992,-7.318,,7.323,,0.0,-0.005,4.302992,-1.506,,2.796992,0.0,,,2.796992,0.0,2.796992,0.0,,2.796992,2.796992,,523.07782,0.005625,0.005625,,523.07782,0.005625,0.005625,0.005625,
06/30/1992,115.743996,,-84.693001,,31.050995,,-19.128,,,11.922992,-5.253,,6.96,,0.0,-1.707,6.669992,-2.182,,4.487992,0.0,,,4.487992,0.0,4.487992,0.0,,4.487992,4.487992,,523.113525,0.00875,0.00875,,523.113525,0.00875,0.00875,0.00875,
09/30/1992,112.263992,,-82.968002,,29.29599,,-18.618,,,10.677992,-6.955,,7.274,,0.0,-0.319,3.722992,0.0,0.574,3.148992,0.0,,,3.722992,0.0,3.148992,0.0,,3.148992,3.148992,,523.539795,0.00625,0.00625,,523.539795,0.00625,0.00625,0.00625,
12/31/1992,113.108994,,-85.166,,27.942994,,-18.965,,,8.977992,-12.307,,7.728,,0.933,3.646,-3.329008,0.96,,-1.795008,0.0,,,-2.369008,0.0,-1.795008,0.0,,-1.795008,-1.795008,,541.104,-0.003125,-0.003125,-0.003125,541.104,-0.003125,-0.003125,-0.003125,
03/31/1993,146.919006,,-107.987999,,38.931007,,-22.482,,,16.448999,-10.782,,10.936,,0.0,-0.154,5.667,-1.984,,3.683,0.0,,,3.683,0.0,3.683,0.0,,3.683,3.683,,685.134888,0.005625,0.005625,,685.134888,0.005625,0.005625,0.005625,
06/30/1993,154.817001,,-110.096001,,44.721001,,-23.222,,,21.499001,-10.96,,10.483,,0.0,0.477,10.539001,-3.688,,6.851,0.0,,,6.851001,0.0,6.851,0.0,,6.851,6.851,,685.134888,0.01,0.01,,685.134888,0.01,0.01,0.01,
09/30/1993,150.494995,,-107.100998,,43.393997,,-21.819,,,21.575001,-11.022,,10.198,,0.0,0.824,10.553001,-3.694,,6.859,0.0,,,6.859001,0.0,6.859,0.0,,6.859,6.859,,685.134888,0.01,0.01,,685.134888,0.01,0.01,0.01,
12/31/1993,151.735992,,-108.138,,43.597992,,-21.863001,,,21.735001,-10.418,,9.567,,0.513,0.338,11.317001,-3.961,,7.356,0.0,,,7.356001,0.0,7.356,0.0,,7.356,7.356,,685.143984,0.010625,0.010625,0.010625,685.143984,0.010625,0.010625,0.010625,
03/31/1994,155.507996,,-111.477997,,44.029999,,-23.493999,,,20.535999,-8.984,,8.401,,0.0,0.583,11.551999,-4.505,,7.047,4.087,,,2.959999,0.0,2.96,0.0,,2.96,2.96,,713.553589,0.004375,0.01,,713.553589,0.004375,0.01,0.01,
06/30/1994,173.565002,,-122.078003,,51.487,,-25.497999,,,25.989,-8.578,,7.556,,0.0,1.022,17.411,-6.791,,10.62,0.0,,,10.62,0.0,10.62,0.0,,10.62,10.62,,756.091675,0.01375,0.01375,,756.091675,0.01375,0.01375,0.01375,
09/30/1994,178.171997,,-124.510002,,53.661995,,-26.087999,,,27.573999,-8.386,,7.263,,0.0,1.123,19.187999,-7.483,,11.705,0.0,,,11.705,0.0,11.705,0.0,,11.705,11.705,,756.415344,0.015625,0.015625,,756.415344,0.015625,0.015625,0.015625,
12/31/1994,185.406006,,-128.350998,,57.055008,,-27.103001,,,29.952,-8.489,,7.162,,0.357,0.97,21.463,-8.33,,13.133,0.0,,,13.133,-0.105,13.028,0.0,,13.028,13.028,,756.502864,0.0175,0.0175,0.0175,756.502864,0.0175,0.0175,0.0175,
03/31/1995,197.975006,,-137.078003,,60.897003,,-28.66,,,32.237,-8.535,,6.71,,0.0,1.825,23.701999,-9.481,,14.221,0.0,,,14.220999,0.0,14.221,0.0,,14.221,14.221,,756.656006,0.01875,0.01875,,756.656006,0.01875,0.01875,0.01875,
06/30/1995,207.584,,-143.287994,,64.296005,,-29.893,,,34.403,-7.628,,6.513,,0.0,1.115,26.775,-10.71,,16.065001,0.0,,,16.065,0.0,16.065001,0.0,,16.065001,16.065001,,756.799988,0.02125,0.02125,,756.799988,0.02125,0.02125,0.02125,
09/30/1995,189.011993,,-127.314003,,61.69799,,-27.761999,,,33.936001,-7.119,,6.342,,0.0,0.777,26.817001,-10.727,,16.09,0.0,,,16.090001,0.0,16.09,0.0,,16.09,16.09,,756.94397,0.02125,0.02125,,756.94397,0.02125,0.02125,0.02125,
12/31/1995,188.662003,,-126.821999,,61.840004,,-27.726,,,34.113998,-6.374,,5.983,,-0.205,0.596,27.739998,-10.851,,16.889,0.0,,,16.888998,-0.407,16.482,0.0,,16.482,16.482,,756.943968,0.021875,0.021875,0.021875,756.943968,0.021875,0.021875,0.021875,
03/31/1996,194.822006,,-131.113998,,63.708008,,-28.698999,,,35.008999,-6.776,,6.052,,0.0,0.724,28.232999,-11.293,,16.940001,0.0,,,16.939999,0.0,16.940001,0.0,,16.940001,16.940001,,757.135986,0.0225,0.0225,0.0225,757.135986,0.0225,0.0225,0.0225,
06/30/1996,198.921005,,-134.020996,,64.900009,,-29.552999,,,35.347,-6.994,,6.091,,0.0,0.903,28.353,-10.945,,17.408001,0.0,,,17.408,0.0,17.408001,0.0,,17.408001,17.408001,,757.247986,0.023125,0.023125,0.023125,757.247986,0.023125,0.023125,0.023125,
09/30/1996,184.876007,,-117.136002,,67.740005,,-34.241001,,,33.499001,-7.086,,6.097,,0.0,0.989,26.413,-9.716,,16.697001,0.0,,,16.697001,0.0,16.697001,0.0,,16.697001,16.697001,,749.664001,0.0225,0.0225,0.0225,749.664001,0.0225,0.0225,0.0225,
12/31/1996,197.602005,,-141.225998,,56.376007,,-22.253,,,34.123001,-7.206,,6.377,,-0.339,1.168,26.917001,-10.133,,16.784,0.0,,,16.784001,-0.251,16.533001,0.0,,16.533001,16.533001,,721.760016,0.023125,0.023125,0.023125,721.760016,0.023125,0.023125,0.023125,
03/31/1997,211.772995,,-142.386993,,69.386002,,-33.297001,,,36.089001,-7.639,,6.422,,,1.217,28.450001,-10.953,,17.497,0.0,,,17.497001,0.0,17.497,0.0,,17.497,17.497,,715.520016,0.024375,0.024375,0.024375,716.784,0.024375,0.024375,0.024375,
06/30/1997,226.996002,,-151.518005,,75.477997,,-34.801998,,,40.675999,-13.848,,14.249,,,-0.401,26.827999,-11.054,,15.774,12.845,,,2.928999,0.0,2.929,0.0,,2.929,2.929,,509.872016,0.005625,0.03125,0.03125,511.040016,0.005625,0.030625,0.030625,
09/30/1997,223.494003,,-144.697006,,78.796997,,-39.655998,,,39.140999,-24.036999,,22.990999,,,1.046,15.104,-6.545,,8.559,0.0,,,8.559,0.0,8.559,0.0,,8.559,8.559,,280.32,0.030625,0.030625,0.030625,284.687984,0.03,0.03,0.03,
12/31/1997,222.085007,,-165.233994,,56.851013,,-17.309,,,39.542,-22.750001,,21.051001,,,1.699,16.791999,-7.358,,9.434,11.702,,,-2.268001,0.0,-2.268,0.0,,-2.268,-2.268,,280.480016,-0.008125,0.03375,0.03375,286.272,-0.008125,0.033125,0.033125,
03/31/1998,228.541,,-154.473999,,74.067001,,-35.512001,,,38.555,-21.381,,20.302,,,1.079,17.174,-7.501,,9.673,0.0,,,9.673,0.0,9.673,0.0,,9.673,9.673,,280.544,0.034375,0.034375,0.034375,287.071984,0.03375,0.03375,0.03375,
06/30/1998,227.942001,,-153.656006,,74.285995,,-35.126999,,,39.159,-20.893,,19.99,,,0.903,18.266,-7.911,,10.355,0.0,,,10.355,0.0,10.355,0.0,,10.355,10.355,,280.592016,0.036875,0.036875,0.036875,287.023984,0.03625,0.03625,0.03625,
09/30/1998,229.018,,-150.601,,78.417,,-42.149,,,36.268,-21.493,20.453,20.453,,,1.04,14.775,-6.563,,8.212,0.0,,,8.212,0.0,8.212,0.0,,8.212,8.212,,283.465472,0.02875,0.02875,0.02875,286.685776,0.02875,0.02875,0.02875,
12/31/1998,233.376007,,-143.199005,,90.177002,,-54.431999,,,35.744999,-21.977,,20.454,,,1.523,13.767999,-5.498,,8.27,0.0,,,8.269999,0.0,8.27,0.0,,8.27,8.27,,285.760016,0.02875,0.02875,0.02875,287.776,0.02875,0.02875,0.02875,
03/31/1999,237.164001,,-164.173996,,72.990005,,-37.34,,,35.650002,-21.045,,19.812,,,1.233,14.605002,-6.366,,8.239,0.0,,,8.239002,0.0,8.239,0.0,0.0,8.239,8.239,,285.792,0.02875,0.02875,0.02875,288.496,0.02875,0.02875,0.02875,
06/30/1999,247.438004,,-162.197998,,85.240006,,-45.943001,,,39.297001,-21.215001,,19.860001,,,1.355,18.082,-7.619,,10.463,0.0,,,10.463,0.0,10.463,0.0,0.0,10.463,10.463,,285.824,0.036875,0.036875,0.036875,289.488,0.03625,0.03625,0.03625,
