Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2011,8358,453,453,0,310,310,0,0,0,0,0,0,306,,0.0,,,297.0,1069,120,,,0,7169,7048,3591,3457,121,7289,,569,85,0.0,0.0,484.0,21,21.0,0.0,0.0,,203,0.0,0.0,0,793,2940,2940.0,0.0,0.0,1654,0.0,106.0,1453.0,95,4594,5387,0,2815,3.0,2812.0,-3,-60,219,2971,0,2971,8358,
12/31/2012,8215,641,580,61,308,308,0,0,0,0,0,0,288,45.0,0.0,5.0,50.0,125.0,1237,117,231.0,-114.0,0,6861,6710,3583,3127,146,6978,,642,109,30.0,0.0,503.0,28,28.0,0.0,0.0,,173,0.0,0.0,0,843,4149,4149.0,0.0,0.0,1540,0.0,116.0,1317.0,107,5689,6532,0,1637,3.0,1634.0,-4,-102,152,1683,0,1683,8215,
09/30/2013,7990,746,663,83,291,291,0,0,0,0,0,0,231,,,,,,1268,113,249.0,-136.0,0,6609,6240,3597,2643,369,6722,,96,96,,,,25,,,,,0,,,0,830,4916,,,,1438,,,,1438,6354,7184,0,912,,,-6,-102,2,806,0,806,7990,
12/30/2013,7999,725,725,0,313,313,0,0,0,0,0,0,289,72.0,0.0,9.0,5.0,115.0,1327,117,262.0,-145.0,0,6555,6353,3573,2780,193,6672,,686,103,45.0,52.0,486.0,66,0.0,0.0,0.0,66.0,180,0.0,0.0,0,932,4894,4894.0,0.0,0.0,1290,0.0,77.0,1102.0,111,6184,7116,0,916,3.0,913.0,-6,-20,-7,883,0,883,7999,
03/31/2014,7911,544,540,4,383,383,0,0,0,0,0,0,276,,,,,276.0,1203,164,318.0,-154.0,0,6544,6317,3586,2731,227,6708,,597,134,,,463.0,28,0.0,,,28.0,190,,,0,815,4942,4942.0,,,1251,,77.0,1069.0,105,6193,7008,0,947,3.0,944.0,-9,-44,9,903,0,903,7911,
06/30/2014,7561,266,265,1,336,336,0,0,0,0,0,0,329,,15.0,,,326.0,931,158,330.0,-172.0,0,6472,6271,3604,2667,186,6630,,560,106,,,454.0,52,0.0,,,52.0,214,,,0,826,3918,3918.0,,,1126,,77.0,951.0,98,5044,5870,0,1950,3.0,1947.0,-10,-264,15,1691,0,1691,7561,
09/30/2014,7390,354,354,0,318,318,0,0,0,0,0,0,338,,,,,338.0,1010,155,332.0,-177.0,0,6225,6028,3500,2528,197,6380,,570,95,,,475.0,51,0.0,,,51.0,190,,,0,811,3848,3848.0,,,1095,,75.0,947.0,73,4943,5754,0,1955,3.0,1952.0,-10,-217,-92,1636,0,1636,7390,
12/31/2014,7150,390,390,0,330,330,0,0,0,0,0,0,294,59.0,0.0,7.0,4.0,96.0,1014,153,291.0,-138.0,0,5983,5817,3417,2400,159,6136,,568,87,42.0,17.0,422.0,50,0.0,0.0,0.0,50.0,167,0.0,18.0,0,785,3743,3743.0,0.0,0.0,1080,0.0,95.0,904.0,63,4823,5608,0,1978,3.0,1975.0,-10,-209,-217,1542,0,1542,7150,
03/31/2015,7263,639,639,0,380,380,0,0,0,0,0,0,292,,,,,292.0,1311,152,296.0,-144.0,0,5800,5644,3339,2305,156,5952,,502,93,,,409.0,48,0.0,,,48.0,190,,,0,740,3899,3899.0,,,836,,91.0,674.0,71,4735,5475,0,2006,3.0,2003.0,-10,89,-297,1788,0,1788,7263,
06/30/2015,7546,348,348,0,446,446,0,0,0,0,0,0,340,,7.0,,,328.0,1134,170,326.0,-156.0,0,6242,6066,3515,2551,169,6412,,704,170,,,534.0,59,0.0,,,59.0,215,,,0,978,4134,4134.0,,,851,,110.0,652.0,89,4985,5963,0,2035,3.0,2032.0,-310,136,-278,1583,0,1583,7546,
