Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
04/28/1990,3.646,2.809,0.919,0.101,,,0.101,-0.183,,,,-0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/28/1990,-1.392,0.252,0.932,0.395,,,0.395,-2.971,,,,-2.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/1990,-21.233999,1.72,1.174,0.289,,,0.289,-24.417,,,,-24.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/1991,15.033,0.419,1.298,0.503,,,0.503,12.813,,,,12.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/27/1991,-13.265,-0.389,1.76,0.464,,,0.464,-15.1,,,,-15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/27/1991,-16.759001,-1.003,2.608,0.43,,,0.43,-18.794001,,,,-18.794001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/1991,10.549,3.544,2.699,1.329,,,1.329,2.977,,,,2.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/1992,2.566,-1.27,4.089,2.916,,,2.916,-3.169,,,,-3.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/1992,10.591,1.305,3.278,0.307,,,0.307,5.701,,,,5.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/1992,-24.698999,-0.886,3.98,0.397,,,0.397,-28.190001,,,,-28.190001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1992,6.908,5.178,3.895,0.676,,,0.676,-2.841,,,,-2.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/30/1993,-5.849,10.535,4.352,3.464,,,3.464,-24.200001,,,,-24.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/1993,13.76,2.928,4.845,1.645,,,1.645,4.342,,,,4.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1993,-8.799,-2.836,3.589,12.044,,,12.044,-21.596001,,,,-21.596001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/1993,51.091999,13.585,7.088,-3.536,,,-3.536,33.955002,,,,33.955002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/1994,11.695,5.775,7.093,-12.909,,,-12.909,11.736,,,,11.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1994,10.263,3.285,6.066,2.346,,,2.346,-1.434,,,,-1.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/1994,-61.716999,3.283,6.889,5.277,,,5.277,-77.166,,,,-77.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/1994,39.494999,11.989,7.655,0.6,,,0.6,19.250999,,,,19.250999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/1995,7.695,21.382999,8.073,-5.384,,,-5.384,-16.377001,,,,-16.377001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
