Date,Revenue,Comparable Actual,GAAP Actual,Adjusted Actual,Earnings Per Share,Consensus Estimate,EPS Surprise %,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
12/31/1989,,0.0,20.399998,20.399998,,,,,,,,,
03/31/1990,,24.605,24.604999,24.604999,,,,,,,,,
06/30/1990,,40.68,40.679998,40.679998,,,,,,,,,
09/30/1990,,17.436001,16.293999,16.293999,,,,,,,,,
12/31/1990,,0.0,10.129,10.129,,,,,,,,,
03/31/1991,,-39.367001,-33.534,-33.534,,,,,,,,,
06/30/1991,,17.603001,18.481001,18.481001,,,,,,,,,
09/30/1991,,4.61,4.77,4.77,,,,,,,,,
12/31/1991,,0.0,-6.179,-6.179,,,,,,,,,
03/31/1992,,-4.413,-39.313999,-39.313999,,,,,,,,,
06/30/1992,,-6.293,-8.467,-8.467,,,,,,,,,
09/30/1992,,-8.104,-11.331,-11.331,,,,,,,,,
12/31/1992,,0.0,-17.288,-17.288,,,,,,,,,
03/31/1993,,-13.49,-13.49,-13.49,,,,,,,,,
06/30/1993,,-28.002001,-28.002001,-28.002001,,,,,,,,,
09/30/1993,,-18.722,-18.722,-18.722,,,,,,,,,
12/31/1993,,0.0,-49.595001,-49.595001,,,,,,,,,
03/31/1994,,-6.367,-6.367,-6.367,,,,,,,,,
06/30/1994,,-15.534,-15.534,-15.534,,,,,,,,,
09/30/1994,,-4.578,-4.578,-4.578,,,,,,,,,
12/31/1994,,0.0,2.497,2.497,,,,,,,,,
03/31/1995,,13.062,13.062,13.062,,,,,,,,,
06/30/1995,,21.002001,21.002001,21.002001,,,,,,,,,
09/30/1995,,17.426001,17.426001,17.426001,,,,,,,,,
12/31/1995,,0.0,34.118999,34.118999,,,,,,,,,
03/31/1996,,13.444,13.444,13.444,,,,,,,,,
06/30/1996,,11.919,11.919,11.919,,,,,,,,,
09/30/1996,,-4.249,-4.249,-4.249,,,,,,,,,
12/31/1996,,0.0,-10.297,-10.297,,,,,,,,,
03/31/1997,,-35.721001,-35.721,-35.721,,,,,,,,,
06/30/1997,,2.255,2.255,2.255,,,,,,,,,
09/30/1997,,9.761,9.761,9.761,,,,,,,,,
12/31/1997,,9.786,14.232,14.232,,,,,,,,,
03/31/1998,,16.299999,301.015015,301.015015,,,,,,,,,
06/30/1998,,23.414,23.729,23.729,,,,,,,,,
09/30/1998,,31.358999,28.959,28.959,,,,,,,,,
12/31/1998,,18.789,12.975,12.975,,,,,,,,,
03/31/1999,,13.94,13.94,13.94,,,,,,,,,
06/30/1999,,29.833,111.822998,111.822998,,,,,,,,,
09/30/1999,,17.146,17.146,17.146,,,,,,,,,
12/31/1999,,16.862,16.862,16.862,,,,,,,,,
03/31/2000,,23.708,23.708,23.708,,,,,,,,,
06/30/2000,,14.885,63.438,63.438,,,,,,,,,
09/30/2000,,30.169001,30.169001,30.169001,,,,,,,,,
12/31/2000,,12.326,37.293999,37.293999,,,,,,,,,
03/31/2001,,23.976999,34.558998,34.558998,,,,,,,,,
06/30/2001,,23.495001,25.424,25.424,,,,,,,,,
09/30/2001,,16.638,20.538,20.538,,,,,,,,,
12/31/2001,,5.883,40.886002,40.886002,,,,,,,,,
03/31/2002,,4.464,6.384,6.384,,,,,,,,,
06/30/2002,,9.748,14.048,14.048,,,,,,,,,
09/30/2002,,8.782,8.782,8.782,,,,,,,,,
12/31/2002,,4.696,7.596,7.596,,,,,,,,,
03/31/2003,,9.43,9.43,9.43,,,,,,,,,
06/30/2003,,2.469,28.834999,28.834999,,,,,,,,,
09/30/2003,,13.933,16.334,16.334,,,,,,,,,
12/31/2003,,7.592,8.812,8.812,,,,,,,,,
03/31/2004,,5.079,4.089,4.089,,,,,,,,,
06/30/2004,,-116.456001,179.044,179.044,,,,,,,,,
09/30/2004,,8.534,8.534,8.534,,,,,,,,,
12/31/2004,,-17.447001,3.7,3.7,,,,,,,,,
03/31/2005,,5.605,13.179,13.179,,,,,,,,,
06/30/2005,,8.681,9.885,9.885,,,,,,,,,
09/30/2005,,2.789,2.789,2.789,,,,,,,,,
12/31/2005,,5.7,5.6,5.6,,,,,,,,,
03/31/2006,,4.893,6.644,6.644,,,,,,,,,
06/30/2006,,2.636,2.685,2.685,,,,,,,,,
09/30/2006,,3.094,3.291,3.291,,,,,,,,,
12/31/2006,,,13.6,13.6,,,,,,,,,
03/31/2007,,,5.766,5.766,,,,,,,,,
