Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2007,998,0,0,0,375,375,,39,,,,,86,,,,,500,66,,,0,432,142,90,52,,290,498,,54,54,,,,0,,,,,,365,,,365,419,0,,,,,24,,,,24,24,443,0,536,,,,,19,555,,555,998,
06/30/2007,993,0,0,0,378,378,,35,,,,,79,,,,,492,69,152.0,-152.0,0,432,141,89,52,,291,501,,62,62,,,,0,,,,,,359,,,359,421,0,,,,,24,,,,24,24,445,0,528,,,,,20,548,0.0,548,993,
09/30/2007,1075,196,196,0,394,394,,39,0.0,0.0,17.0,22.0,44,,,,,673,75,,,0,327,141,90,51,,186,402,,75,75,,,,0,,,,,,376,,,376,451,0,,,,,84,,,,84,84,535,0,553,,,0.0,,-13,540,0.0,540,1075,
12/31/2007,1294,270,270,0,507,507,,51,0.0,22.0,29.0,0.0,45,,,,,873,94,250.0,-156.0,0,327,166,90,76,,161,421,,120,120,,,,0,,,,,,452,,,452,572,0,,,,,91,,,,91,91,663,0,557,,,0.0,79.0,-5,631,0.0,631,1294,
03/31/2008,1302,339,339,0,417,417,,48,0.0,23.0,25.0,0.0,50,,,,,854,93,,,0,355,191,108,83,,164,448,,98,98,,,,0,,,,,,456,,,456,554,0,,,,,103,,,,103,103,657,0,527,,,,121.0,-3,645,0.0,645,1302,
06/30/2008,1352,367,317,50,445,445,,42,0.0,22.0,20.0,0.0,55,,,,,909,94,,,0,349,180,106,74,,169,443,,94,94,,,,0,,,,,,468,,,468,562,0,,,,,99,,,,99,99,661,0,539,,,-34.0,190.0,-4,691,0.0,691,1352,
09/30/2008,1296,378,328,50,380,380,,42,0.0,0.0,20.0,22.0,58,,,,,858,89,,,0,349,185,106,79,,164,438,,77,77,,,,0,,,,,,416,,,416,493,0,,,,,89,,,,89,89,582,0,559,,,-99.0,250.0,4,714,0.0,714,1296,
12/31/2008,1430,442,402,40,451,451,,44,0.0,22.0,22.0,0.0,78,,,,,1015,88,249.0,-161.0,0,327,190,110,80,,137,415,,99,99,,,,0,,,,,,441,,,441,540,0,,,,,113,,,,113,113,653,0,574,,,-137.0,329.0,11,777,0.0,777,1430,
03/31/2009,1459,571,506,65,359,359,,52,0.0,0.0,31.0,21.0,67,,,100.0,67.0,1049,91,,,0,319,192,108,84,,27,410,,148,80,,,68.0,0,0.0,,,,,389,,,68,537,0,0.0,,,,109,,79.0,,30,109,646,0,582,2.0,580.0,-158.0,374.0,15,813,0.0,813,1459,
06/30/2009,1504,638,638,0,342,342,0.0,45,0.0,0.0,23.0,22.0,73,,,92.0,73.0,1098,91,,,0,315,201,108,93,,22,406,,161,81,,,80.0,0,0.0,,,,,378,,,76,539,0,0.0,,,,107,,80.0,,27,107,646,0,594,2.0,592.0,-188.0,437.0,15,858,,858,1504,
