Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,11136,91,91,,3028,,,2072,,,,,636.0,,,,,5827,3548,,,1085,,676.0,,,,,676.0,5309.0,,1500,1500,,,,1906,,,,,,655,,,655,4061,2249,,,,,261.0,,,261.0,2510.0,6571.0,0.0,824,,,,,3741.0,4565.0,0.0,4565.0,11136.0,
06/30/1990,11349,82,82,,3129,,,2022,,,,,648.0,,,,,5881,3670,,,1138,,660.0,,,,,660.0,5468.0,,1452,1452,,,,2114,,,,,,683,,,683,4249,2323,,,,,258.0,,,258.0,2581.0,6830.0,0.0,817,,,,,3702.0,4519.0,0.0,4519.0,11349.0,
09/30/1990,11475,109,109,,3113,,,1976,,,,,646.0,,,,,5844,3762,,,1181,,688.0,,,,,688.0,5631.0,,1607,1607,,,,1905,,,,,,628,,,628,4140,2518,,,,,256.0,,,256.0,2774.0,6914.0,0.0,795,,,,,3766.0,4561.0,0.0,4561.0,11475.0,
12/31/1990,11951,110,110,,2965,,,2105,,,,,721.0,,,,,5901,3986,7585.0,-3599.0,1287,,777.0,,,,,777.0,6050.0,,1685,1685,,,,1831,,,,,,743,,,743,4259,2890,,,,,262.0,,,262.0,3152.0,7411.0,0.0,795,,,,,3745.0,4540.0,0.0,4540.0,11951.0,
03/31/1991,12070,85,85,,3004,,,2133,,,,,719.0,,,,,5941,3959,,,1377,,793.0,,,,,793.0,6129.0,,1621,1621,,,,1766,,,,,,712,,,712,4099,3196,,,,,262.0,,,262.0,3458.0,7557.0,0.0,795,,,,,3718.0,4513.0,0.0,4513.0,12070.0,
06/30/1991,12242,100,100,,3029,,,2133,,,,,744.0,,,,,6006,4007,,,1426,,803.0,,,,,803.0,6236.0,,1595,1595,,,,1693,,,,,,734,,,734,4022,3522,,,,,269.0,,,269.0,3791.0,7813.0,0.0,798,,,,,3631.0,4429.0,0.0,4429.0,12242.0,
09/30/1991,12278,100,100,,2951,,,2106,,,,,763.0,,,,,5920,3995,,,1531,,832.0,,,,,832.0,6358.0,,1650,1650,,,,1717,,,,,,683,,,683,4050,3570,,,,,263.0,,,263.0,3833.0,7883.0,0.0,798,,,,,3597.0,4395.0,0.0,4395.0,12278.0,
12/31/1991,12042,104,104,,2009,,,1921,,,,,1536.0,,,,,5570,4049,7790.0,-3741.0,1605,,818.0,,,,,818.0,6472.0,,1662,1662,,,,1355,,,,,,842,,,842,3859,3892,,,,,247.0,,,247.0,4139.0,7998.0,0.0,798,,,,,3246.0,4044.0,0.0,4044.0,12042.0,
03/31/1992,11918,97,97,,2549,,,1843,,,,,899.0,,,,,5388,4019,,,1674,,837.0,,,,,837.0,6530.0,,1697,1697,,,,1356,,,,,,818,,,818,3871,3865,,,,,253.0,,,253.0,4118.0,7989.0,0.0,798,,,,,3131.0,3929.0,0.0,3929.0,11918.0,
06/30/1992,12082,75,75,,2823,,,1755,,,,,912.0,,,,,5565,3964,,,1732,,821.0,,,,,821.0,6517.0,,1758,1758,,,,1378,,,,,,835,,,835,3971,4039,,,,,245.0,,,245.0,4284.0,8255.0,0.0,799,,,,,3028.0,3827.0,0.0,3827.0,12082.0,
09/30/1992,12315,123,123,,3011,,,1760,,,,,860.0,,,,,5754,3917,,,1834,,810.0,,,,,810.0,6561.0,,1852,1852,,,,1296,,,,,,790,,,790,3938,4262,,,,,247.0,,,247.0,4509.0,8447.0,0.0,799,,,,,3069.0,3868.0,0.0,3868.0,12315.0,
12/31/1992,13935,119,119,,2190,,,1675,,,,,1553.0,,,,,5537,3954,7842.0,-3888.0,1907,,2537.0,,,,,2537.0,8398.0,,1772,1772,,,,1553,,,,,,902,,,902,4227,4119,,,,,4014.0,,,4014.0,8133.0,12360.0,0.0,799,,,-22.0,,798.0,1575.0,0.0,1575.0,13935.0,
03/31/1993,14167,86,86,,2485,,,1654,,,,,1614.0,,,,,5839,3875,,,1901,,2552.0,,,,,2552.0,8328.0,,1899,1899,,,,1677,,,,,,940,,,940,4516,4035,,,,,4018.0,,,4018.0,8053.0,12569.0,0.0,800,,,,,798.0,1598.0,0.0,1598.0,14167.0,
06/30/1993,14359,77,77,,2584,,,1566,,,,,1630.0,,,,,5857,3835,,,2076,,2591.0,,,,,2591.0,8502.0,,1833,1833,,,,1552,,,,,,1045,,,1045,4430,4237,,,,,4019.0,,,4019.0,8256.0,12686.0,0.0,814,,,,,859.0,1673.0,0.0,1673.0,14359.0,
09/30/1993,14825,86,86,,3839,,,1515,,,,,832.0,,,,,6272,3767,,,0,,4786.0,,,,,4786.0,8553.0,,1956,1956,,,,1871,,,,,,979,,,979,4806,3867,,,,,4009.0,,,4009.0,7876.0,12682.0,0.0,826,,,0.0,,1317.0,2143.0,0.0,2143.0,14825.0,
12/31/1993,14807,83,83,,2637,,,1525,,,,,1826.0,,,,,6071,3827,7965.0,-4138.0,2284,,2625.0,,,,,2625.0,8736.0,,2055,2055,,,,1533,,,,,,1083,,,1083,4671,3895,,,,,4042.0,,,4042.0,7937.0,12608.0,0.0,835,,,0.0,,1364.0,2199.0,0.0,2199.0,14807.0,
03/31/1994,15197,64,64,,3020,,,1678,,,,,1908.0,,,,,6670,3769,,,2331,,2427.0,,,,,2427.0,8527.0,,2311,2311,,,,1658,,,,,,1118,,,1118,5087,3971,,,,,3786.0,,,3786.0,7757.0,12844.0,0.0,814,,,,,1539.0,2353.0,0.0,2353.0,15197.0,
06/30/1994,15445,173,173,,2991,,,1672,,,,,1855.0,,,,,6691,3718,,,2569,,2467.0,,,,,2467.0,8754.0,,2347,2347,,,,1593,,,,,,1210,,,1210,5150,3946,,,,,3777.0,,,3777.0,7723.0,12873.0,0.0,803,,,,,1769.0,2572.0,0.0,2572.0,15445.0,
09/30/1994,15913,333,333,,3009,,,1731,,,,,1984.0,,,,,7057,3697,,,2674,,2485.0,,,,,2485.0,8856.0,,2504,2504,,,,1788,,,,,,1163,,,1163,5455,3892,,,,,3767.0,,,3767.0,7659.0,13114.0,0.0,867,,,,,1932.0,2799.0,0.0,2799.0,15913.0,
12/31/1994,16250,419,419,,2971,,,1835,,,,,2184.0,,,,,7409,3776,8230.0,-4454.0,2794,,2271.0,,,,,2271.0,8841.0,,2624,2624,,,,1633,,,,,,1241,,,1241,5498,4270,,,,,3571.0,,,3571.0,7841.0,13339.0,0.0,923,,,-178.0,,2166.0,2911.0,0.0,2911.0,16250.0,
03/31/1995,16798,465,465,,3066,,,2095,,,,,2350.0,,,,,7976,3708,7973.0,-4265.0,2803,,2311.0,,,,,2311.0,8822.0,,2835,2835,,,,1673,,,,,,1242,,,1242,5750,4314,,,,,3553.0,,,3553.0,7867.0,13617.0,0.0,921,,,-207.0,,2467.0,3181.0,0.0,3181.0,16798.0,
06/30/1995,17878,696,696,,2889,,,2211,,,,,2670.0,,,,,8466,3640,8035.0,-4395.0,3407,,2365.0,,,,,2365.0,9412.0,,2828,2828,,,,1861,,,,,,1231,,,1231,5920,5042,,,,,3538.0,,,3538.0,8580.0,14500.0,0.0,911,,,-270.0,,2737.0,3378.0,0.0,3378.0,17878.0,
09/30/1995,17486,897,897,,2537,,,2188,,,,,2682.0,,,,,8304,3549,8373.0,-4824.0,3327,,2306.0,,,,,2306.0,9182.0,,2695,2695,,,,2173,,,,,,1006,,,1006,5874,4589,,,,,3529.0,,,3529.0,8118.0,13992.0,0.0,901,,,-368.0,,2961.0,3494.0,0.0,3494.0,17486.0,
