Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,1253,950,620,930,,930,-1247,,,,-1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,2002,1088,571,-112,,-112,455,,,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,2997,1026,674,1430,,1430,-133,,,,-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,2784,1239,643,448,,448,454,,,,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784.0,,,
03/31/1991,323,-800,685,563,,563,-125,,,,-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,428,1131,668,-1082,,-1082,-289,,,,-289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,2215,1042,705,572,,572,-104,,,,-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,4531,1263,596,840,,840,1832,,,,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4531.0,,,
03/31/1992,1009,1058,670,-524,,-524,-195,,,,-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,1775,1216,612,405,,405,-458,,,,-458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,3242,1110,747,401,,401,984,,,,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,4223,1341,789,1412,,1412,681,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4223.0,,,
03/31/1993,601,298,708,-762,,-762,357,,,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,3225,1334,734,2194,,2194,-1037,,,,-1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,2231,1206,788,-2021,,-2021,2258,,,,2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,4130,1477,993,2420,,2420,-760,,,,-760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4130.0,,,
03/31/1994,-341,1068,734,-3294,,-3294,1151,,,,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,3952,1522,787,2923,,2923,-1280,,,,-1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,3229,1368,803,213,,213,845,,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,6552,768,883,4308,,4308,593,,,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,2654,1372,862,1099,,1099,-679,,,,-679,,,-1617.0,,,,-1617.0,,,,,,,,,,1617.0,,,,,,,,,,,,,,,
06/30/1995,3459,1726,895,1588,,1588,-750,,,,-750,,,-2107.0,,,,-2107.0,,,,,,,,,,2107.0,,,,,,,,,,,,,,,
09/30/1995,3188,1610,859,14,,14,705,,,,705,,,-1576.0,,,,-1576.0,,,,,,,,,,1576.0,,,,,,,,,,,,,,,
12/31/1995,5645,1865,978,1953,,1953,849,,,,849,,,-1147.0,,,,-1147.0,,,,,,,,,,1147.0,,,,,,,,,,,,,,,
03/31/1996,2348,1517,892,543,,543,-604,,,,-604,,,-1709.0,,,,-1709.0,,,,,,,,,,1709.0,,,,,,,,,,,,,,,
06/30/1996,3469,1908,932,938,,938,-309,,,,-309,,,-1890.0,,,,-1890.0,,,,,,,,,,1890.0,,,,,,,,,,,,,,,
09/30/1996,5128,1788,972,2386,,2386,-18,,,,-18,,,-1998.0,,,,-1998.0,,,,,,,,,,1998.0,,,,,,,,,,,,,,,
12/31/1996,6906,2067,989,-198,,-198,4048,,,,4048,,-2163.0,-2163.0,,,,-2163.0,,,,,,,,,,0.0,,,,,,,,,,,,4743.0,,,
03/31/1997,2443,1677,952,15,,15,-201,,,,-201,,-1370.0,-1742.0,0.0,,,-1742.0,,,1385.0,1385.0,0.0,,,,,-1013.0,-1643.0,-855.0,-484.0,,,,-681.0,0.0,-681.0,377.0,,-570.0,,,
06/30/1997,5013,2162,979,2096,,2096,-224,,,,-224,,-5025.0,-2065.0,0.0,,,-2065.0,,,-896.0,0.0,-896.0,,,,,-2064.0,197.0,-855.0,2416.0,,,,-1105.0,0.0,-1105.0,-259.0,,185.0,,,
09/30/1997,2155,2014,1049,-1099,,-1099,191,,,,191,,-3270.0,-2197.0,0.0,,,-2197.0,,,1404.0,1404.0,0.0,,,,,-2477.0,1598.0,-849.0,2524.0,,,,-245.0,0.0,-245.0,168.0,,483.0,,,
12/31/1997,4629,2350,1102,2362,,2362,-1185,,,,-1185,,-8610.0,-133.0,2251.0,,,-2384.0,,,-1002.0,0.0,-1002.0,,,,,-7475.0,5553.0,-852.0,6690.0,,,,-784.0,0.0,-784.0,499.0,,1572.0,,,
03/31/1998,3607,1891,1423,-580,,-580,873,,,,873,,-4374.0,-1921.0,0.0,,,-1921.0,,,-246.0,0.0,-246.0,,,,,-2207.0,325.0,-979.0,2471.0,,,,-954.0,0.0,-954.0,-213.0,,-442.0,,,
06/30/1998,3717,2450,1006,913,,913,-652,,,,-652,,-8893.0,-2810.0,0.0,,,-2810.0,,,-3496.0,0.0,-3496.0,,,,,-2587.0,3619.0,-978.0,5379.0,,,,-774.0,0.0,-774.0,-8.0,,-1557.0,,,
09/30/1998,4949,2284,1152,1478,,1478,35,,,,35,,-10778.0,-604.0,0.0,,,-604.0,,,632.0,632.0,0.0,,,,,-10806.0,7734.0,-976.0,8749.0,,,,11.0,11.0,0.0,-50.0,,1905.0,,,
12/31/1998,7087,2671,2625,4265,,4265,-2474,,,,-2474,,-16088.0,396.0,4043.0,,,-3647.0,,,-3191.0,0.0,-3191.0,,,,,-13293.0,7551.0,-980.0,9476.0,,,,-1102.0,0.0,-1102.0,157.0,,-1450.0,,,
03/31/1999,4270,2155,1513,1007,,1007,-405,,,,-405,,-6285.0,-1656.0,0.0,,,-1656.0,,,-251.0,0.0,-251.0,,,,,-4378.0,2294.0,-1146.0,3671.0,,,,-490.0,0.0,-490.0,259.0,,279.0,,,
06/30/1999,6050,2820,1669,2306,,2306,-745,,,,-745,,-9725.0,-3183.0,0.0,,,-3183.0,,,-5304.0,0.0,-5304.0,,,,,-1238.0,4178.0,-1146.0,4515.0,,,,588.0,588.0,0.0,221.0,,503.0,,,
09/30/1999,5810,2653,1675,886,,886,596,,,,596,,-6219.0,-3790.0,0.0,,,-3790.0,,,-1196.0,0.0,-1196.0,,,,,-1233.0,1422.0,-1148.0,3259.0,,,,-840.0,0.0,-840.0,151.0,,1013.0,,,
12/31/1999,8463,3089,1834,3565,,3565,-25,,,,-25,,-19950.0,-611.0,6262.0,,,-6873.0,,,-6337.0,0.0,-6337.0,,,,,-13002.0,13929.0,-1147.0,15345.0,,,,-260.0,0.0,-260.0,-9.0,,2442.0,,,
03/31/2000,1678,2592,1953,-1805,297.0,-2102,-1062,-143.0,-607.0,,-312,,-543.0,-2178.0,0.0,,,-2178.0,,,-374.0,0.0,-374.0,,,,,2009.0,8373.0,-1347.0,-3754.0,,,,623.0,623.0,0.0,12851.0,,9508.0,,,
06/30/2000,3894,3378,1918,-2492,,-2492,1090,,,,1090,,-11361.0,-3936.0,0.0,,,-3936.0,,,-5160.0,0.0,-5160.0,,,,,-2265.0,1490.0,-1346.0,2666.0,,,,362.0,362.0,0.0,-192.0,,-5977.0,,,
09/30/2000,5689,3180,1866,89,,89,554,,,,554,,-11902.0,-3038.0,0.0,,,-3038.0,,,2044.0,2044.0,0.0,,,,,-10908.0,2909.0,-1353.0,4967.0,,,,-892.0,0.0,-892.0,187.0,,-3304.0,,,
12/31/2000,11429,3585,1977,4613,,4613,1254,,,,1254,,-13893.0,2548.0,6767.0,,,-4219.0,,,-12901.0,0.0,-12901.0,,,,,-3540.0,1878.0,-1355.0,2761.0,,,,376.0,376.0,0.0,96.0,,-586.0,,,
03/31/2001,4450,2573,1648,1436,,1436,-1207,,,,-1207,,-2454.0,-2499.0,0.0,,,-2499.0,,,1095.0,1095.0,0.0,,,,,-1050.0,-2014.0,-1589.0,537.0,,,,-640.0,0.0,-640.0,-322.0,,-18.0,,,
06/30/2001,11818,3897,1740,3904,,3904,2277,,,,2277,,-9933.0,-5231.0,0.0,,,-5231.0,,,-2101.0,0.0,-2101.0,,,,,-2601.0,-2062.0,-1589.0,-121.0,,,,-697.0,0.0,-697.0,345.0,,-177.0,,,
09/30/2001,7402,3281,1883,1893,674.0,1219,345,-292.0,-454.0,2161.0,-1070,,-9042.0,-3882.0,0.0,,,-3882.0,,,-2973.0,0.0,-2973.0,,,,,-2187.0,2474.0,-1590.0,4320.0,,,,-458.0,0.0,-458.0,202.0,,834.0,,,
12/31/2001,8719,3933,1351,-2984,,-2984,6419,,,,6419,,-18879.0,3437.0,7345.0,,,-3908.0,,,-9973.0,0.0,-9973.0,,,,,-12343.0,10408.0,-1590.0,10816.0,,,,-640.0,0.0,-640.0,1822.0,,248.0,,,
03/31/2002,5492,2503,1303,3203,466.0,2737,-1517,238.0,-606.0,-406.0,-743,,-9182.0,-3455.0,,,,-3455.0,,,-1260.0,,-1260.0,,,,,-4467.0,4050.0,-1787.0,6563.0,,,,-572.0,,-572.0,-154.0,,360.0,,,
06/30/2002,5781,4426,1670,1699,1108.0,591,-2014,-345.0,421.0,,-2090,,-19020.0,-2588.0,0.0,,,-2588.0,,,-6423.0,0.0,-6423.0,,,,,-10009.0,14008.0,-1789.0,13243.0,,,,37.0,37.0,0.0,2517.0,,769.0,,,
