Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,605.578003,605.578003,,,0.0,0.0,0.0,,-158.177994,158.178001,94.385002,63.792999,0.0,,,,447.400009,-265.628998,31.763,86.077003,31.219999,116.569,181.770996,-46.922999,,,1.078,,61.321999,54.933998,-0.794,7.182,-13.321,134.847998,-46.097,88.750999,-99.929005,,,188.680002,0.0,188.679993,-7.712,,180.967993,180.967993,,173.360001,1.05,0.475,0.475,173.360001,1.05,0.475,0.475,
06/30/1990,604.664978,604.664978,,,0.0,0.0,0.0,,-167.681,167.680996,105.019997,62.660999,0.0,,,,436.983978,-301.595001,31.466999,142.671997,29.146999,98.308998,135.389008,-100.855001,,,1.053,,63.797001,60.723,-0.99,4.064,38.111,34.534007,-23.625999,10.908,0.0,,,10.908007,0.0,10.908,-7.539,,3.369,3.369,,167.75,0.02,0.02,0.02,167.75,0.02,0.02,0.02,
09/30/1990,774.377991,774.377991,,,0.0,0.0,0.0,,-198.865997,198.865997,133.837997,65.028,0.0,,,,575.511993,-284.123993,46.877998,95.663002,34.185001,107.398003,291.388,-47.862,,,-0.144,,62.832001,58.578999,-1.344,5.597,-15.114,243.526,-89.594002,153.932007,0.0,,,153.931998,0.0,153.932007,-7.455,,146.477007,146.477007,,161.231995,0.93,0.93,0.93,161.231995,0.93,0.93,0.93,
12/31/1990,632.486023,632.486023,,,0.0,0.0,0.0,,-191.302002,191.302002,124.049004,67.252998,0.0,,,,441.184021,-335.437988,88.792999,92.382004,30.700001,123.563004,105.746002,-116.124993,,,0.851,,128.567993,62.237,-4.912,71.242996,-11.592,-10.378991,37.216999,26.837999,0.0,,,26.838008,0.0,26.837999,-7.065,,19.772999,19.772999,,160.546005,0.145,0.145,0.145,160.546005,0.145,0.145,0.145,
03/31/1991,636.851013,636.851013,,,0.0,0.0,0.0,,-183.533005,183.532997,111.644997,71.888,0.0,,,,453.318008,-261.657013,27.740999,96.859001,34.138,102.918999,191.660995,-48.280002,,,1.55,,69.121002,59.271999,-1.123,10.972,-19.291,143.380994,-52.903,90.477997,0.0,,,90.477994,0.0,90.477997,-7.084,,83.393997,83.393997,,160.735992,0.54,0.54,0.54,160.735992,0.54,0.54,0.54,
06/30/1991,636.161011,636.161011,,,0.0,0.0,0.0,,-187.675995,187.676003,120.915001,66.761002,0.0,,,,448.485016,-282.334015,49.723999,97.537003,31.780001,103.292999,166.151001,-47.936999,,,1.254,,65.153999,56.754002,-0.883,9.283,-15.963,118.214002,-43.318001,74.896004,0.0,,,74.896001,0.0,74.896004,-6.892,,68.004004,68.004004,,160.735992,0.445,0.445,0.445,160.735992,0.445,0.445,0.445,
09/30/1991,787.809998,787.809998,,,0.0,0.0,0.0,,-203.261002,203.261002,130.339005,72.921997,0.0,,,,584.548996,-288.796997,39.587002,98.541,36.176998,114.491997,295.752014,-47.090996,,,0.708,,64.436996,57.811001,-1.079,7.705,-16.638,248.661018,-96.200996,152.460007,0.0,,,152.460022,0.0,152.460007,-6.788,,145.672007,145.672007,,160.735992,0.93,0.93,0.93,160.735992,0.93,0.93,0.93,
12/31/1991,624.932983,624.932983,,,0.0,0.0,0.0,,-184.070999,184.071007,108.300003,75.771004,0.0,,,,440.861984,-324.996002,62.77,99.507004,25.110001,137.608994,115.865997,-34.469002,,,1.027,,60.955002,59.431,-3.868,5.392,-25.459,81.396995,-22.257,59.139999,0.0,,,59.139995,0.0,59.139999,-5.501,,53.638999,53.638999,,160.735992,0.355,0.355,0.355,160.735992,0.355,0.355,0.355,
03/31/1992,658.270996,658.270996,,,0.0,0.0,0.0,,-174.697006,174.696999,100.449997,74.247002,0.0,,,,483.57399,-286.153992,37.715,99.978996,33.450001,115.010002,197.419998,-42.340001,,,1.412,,60.867001,57.66,-0.351,3.558,-17.115,155.079997,-60.84,94.239998,0.0,,,94.239997,0.0,94.239998,-5.521,,88.718998,88.718998,,160.735992,0.575,0.575,0.575,160.735992,0.575,0.575,0.575,
06/30/1992,621.208008,621.208008,,,0.0,0.0,0.0,,-205.889008,205.889,125.790001,80.098999,0.0,,,,415.319,-277.019012,58.882999,100.432999,31.669001,86.033997,138.300003,-38.252001,,,1.92,,58.227001,56.077,-1.001,3.151,-18.055,100.048002,-30.906,69.141998,0.0,,,69.142002,0.0,69.141998,-4.472,,64.669998,64.669998,,160.735992,0.425,0.425,0.425,160.735992,0.425,0.425,0.425,
