Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
10/31/1989,223.600006,,223.399994,,1.748881,,0.555506,0.465,0.465,,,,,0.375,0.327216,1.406082,2.899821,
01/31/1990,223.800003,,223.600006,,1.532648,,0.339893,0.32,0.32,,,,,0.375,0.394454,2.040214,3.060769,
04/30/1990,224.0,,223.800003,,1.743968,,0.474084,0.405,0.405,,,,,0.3875,0.463807,2.25,3.255357,
07/31/1990,224.199996,224.100006,224.100006,,1.772869,0.668005,0.382419,0.335,0.335,0.335,0.335,0.335,0.335,0.4,0.476127,2.489295,3.442016,
10/31/1990,224.399994,,224.399994,,2.025847,,0.643939,0.56,0.56,,,,,0.4,0.439394,2.555704,3.861854,
01/31/1991,224.600006,,224.600006,,1.977293,,0.542743,0.45,0.45,,,,,0.2,0.542297,2.369991,4.11309,
04/30/1991,224.899994,,224.800003,,2.093861,,0.567171,0.5,0.5,,,,,0.43,0.753114,3.153402,4.316141,
07/31/1991,225.100006,225.0,225.0,,1.988889,0.772889,0.413333,0.38,0.38,0.38,0.38,0.38,0.38,0.46,0.676,3.210573,4.462461,
10/31/1991,225.199997,,225.100006,,2.258552,,0.650822,0.59,0.59,,,,,0.46,0.352732,3.385435,4.851687,
01/31/1992,225.5,,225.300003,,2.356414,,0.629383,0.54,0.54,,,,,0.46,0.618287,3.486918,5.193348,
04/30/1992,225.699997,,225.5,,2.34102,,0.56541,0.56,0.56,,,,,0.49,0.489135,3.329641,5.46965,
07/31/1992,225.699997,225.699997,225.699997,,2.294196,0.90031,0.455029,0.41,0.41,0.41,0.41,0.41,0.41,0.52,0.595924,3.108994,5.687638,
10/31/1992,224.300003,,225.300003,,2.184643,,0.388815,-0.03,-0.03,,,,,0.52,0.237905,2.969238,5.186803,
01/31/1993,220.800003,,222.300003,,2.273954,,0.547009,0.54,0.54,,,,,0.52,0.367971,1.911685,5.141304,
04/30/1993,220.899994,,220.899994,,2.645088,,0.718877,0.18,0.18,,,,,0.52,0.701222,2.176098,5.101403,
07/31/1993,221.0,,220.899994,,2.449072,1.217746,0.680398,0.6,0.6,,,,,0.52,0.974649,2.758371,5.427149,
10/31/1993,221.0,,221.0,,2.318099,,0.580543,0.57,0.57,,,,,0.52,0.146154,2.969683,5.730317,
01/31/1994,221.0,,221.0,,2.213122,,0.459276,0.43,0.43,,,,,0.52,1.049321,3.21991,5.901358,
04/30/1994,221.199997,,221.100006,,1.818634,,0.106739,0.1,0.1,,,,,0.52,0.153777,3.179024,5.763562,
07/31/1994,,,,,,,,,,0.05,,,0.05,,,,,
