Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/2002,2643,153,72,444,1974,-6384.0,0.0,0.0,-19139.0,12755.0,0.0,-1435.0,0.0,1257.0,9.0,-375.0,0.0,0.0,43.0,-2369.0,-5176.0,
06/30/2002,3421,-68,196,732,2561,-2970.0,0.0,0.0,-20627.0,17657.0,0.0,-2474.0,0.0,-2620.0,0.0,-91.0,53.0,-106.0,458.0,-168.0,-2023.0,
09/30/2002,687,302,177,628,-420,,,,,,,,,,,,,,,,,
12/31/2002,3230,-193,114,1110,2199,-5454.0,0.0,0.0,-20321.0,14867.0,0.0,-457.0,,-526.0,75.0,-25.0,,,,19.0,-2681.0,
03/31/2003,178,196,173,-15,-176,539.0,0.0,0.0,-11939.0,12478.0,0.0,76.0,-38.0,708.0,2.0,-401.0,3.0,-267.0,69.0,0.0,793.0,
06/30/2003,301,196,111,859,-865,-1926.0,0.0,0.0,-12054.0,10807.0,-679.0,1024.0,-4.0,950.0,498.0,-430.0,4.0,-228.0,320.0,-86.0,-601.0,
09/30/2003,1700,297,205,1788,-590,-5843.0,0.0,0.0,-20259.0,14779.0,-363.0,2695.0,-1.0,2194.0,995.0,-1.0,30.0,-255.0,-260.0,-7.0,-1448.0,
12/31/2003,-3031,575,244,-4494,644,3067.0,0.0,0.0,-12620.0,15865.0,-178.0,-729.0,-232.0,-368.0,0.0,-394.0,16.0,-257.0,413.0,93.0,-693.0,
03/31/2004,878,401,136,-569,910,-617.0,0.0,0.0,-26423.0,25966.0,-160.0,-152.0,-38.0,706.0,292.0,-582.0,34.0,-359.0,-211.0,6.0,109.0,
06/30/2004,3664,549,155,2777,183,-7205.0,0.0,0.0,-32622.0,27159.0,-1742.0,1381.0,-6.0,1759.0,868.0,-589.0,14.0,-384.0,-274.0,-7.0,-2160.0,
09/30/2004,-2066,728,135,-2037,-892,-576.0,0.0,0.0,-25728.0,25191.0,-39.0,3046.0,-1.0,1594.0,1922.0,-268.0,24.0,-374.0,125.0,24.0,404.0,
12/31/2004,2717,578,111,2759,-731,870.0,0.0,0.0,-39267.0,39354.0,783.0,-1332.0,-296.0,-1860.0,1756.0,-1521.0,725.0,-376.0,38.0,202.0,1770.0,
03/31/2005,539,929,119,-902,393,-5654.0,0.0,0.0,-33851.0,27476.0,721.0,5540.0,-37.0,5626.0,323.0,-545.0,49.0,-366.0,176.0,314.0,425.0,
06/30/2005,2021,883,138,1037,-37,-324.0,0.0,0.0,-28425.0,28418.0,-317.0,-1909.0,-6.0,-2673.0,1170.0,-202.0,47.0,-466.0,286.0,-65.0,-212.0,
09/30/2005,1379,1364,190,-129,-46,-964.0,0.0,0.0,-32171.0,31761.0,-554.0,-324.0,-1.0,242.0,383.0,-35.0,36.0,-621.0,1.0,-329.0,91.0,
12/31/2005,93,364,54,-455,130,-4331.0,0.0,0.0,-26499.0,21587.0,581.0,3661.0,-350.0,3763.0,2505.0,-714.0,37.0,-642.0,-1132.0,194.0,-577.0,
03/31/2006,446,733,84,-528,157,118.0,0.0,0.0,-27796.0,27666.0,248.0,235.0,-44.0,195.0,1132.0,-223.0,83.0,-604.0,-299.0,-5.0,799.0,
06/30/2006,-507,453,52,-1063,51,-3453.0,0.0,0.0,-41908.0,38148.0,307.0,3773.0,-7.0,2867.0,510.0,-381.0,38.0,-627.0,1295.0,78.0,-187.0,
09/30/2006,2081,1205,136,-549,1289,-629.0,0.0,0.0,-26529.0,25620.0,280.0,-296.0,-2.0,-1274.0,715.0,-454.0,47.0,-624.0,1025.0,271.0,1156.0,
12/31/2006,2354,1037,78,1427,-188,-6183.0,0.0,0.0,-33518.0,27647.0,-312.0,2851.0,-387.0,-455.0,5884.0,-1068.0,90.0,-657.0,-1174.0,618.0,-978.0,
03/31/2007,691,1120,62,-72,-419,-426.0,0.0,0.0,-29595.0,28968.0,201.0,-2046.0,-72.0,-1822.0,1111.0,-387.0,143.0,-712.0,-381.0,74.0,-1781.0,
06/30/2007,2089,846,35,808,400,-1071.0,0.0,0.0,-26970.0,26192.0,-293.0,-1355.0,-8.0,-9.0,1339.0,-2655.0,73.0,-739.0,388.0,256.0,-337.0,
09/30/2007,1321,867,62,997,-605,-2009.0,0.0,0.0,-37842.0,35589.0,244.0,4122.0,-3.0,4180.0,1353.0,-686.0,47.0,-799.0,25.0,5.0,3434.0,
12/31/2007,1865,871,113,419,462,-1498.0,0.0,0.0,-40609.0,39470.0,-359.0,788.0,-450.0,-3543.0,6626.0,-1396.0,64.0,-750.0,305.0,-68.0,1155.0,
03/31/2008,1368,60,106,1042,160,-4546.0,0.0,0.0,-46025.0,41373.0,106.0,1878.0,-75.0,-3107.0,2110.0,-1010.0,41.0,-869.0,4538.0,250.0,-1300.0,
06/30/2008,2254,581,102,1132,439,-449.0,0.0,0.0,-38333.0,38074.0,-190.0,-1622.0,-8.0,-2975.0,3678.0,-2434.0,30.0,-848.0,1444.0,-509.0,183.0,
09/30/2008,2710,-176,165,275,2446,-6143.0,0.0,0.0,-41200.0,34942.0,115.0,4851.0,-3.0,349.0,1565.0,-898.0,43.0,-393.0,4268.0,-80.0,1418.0,
12/31/2008,4523,-1582,344,399,5362,433.0,0.0,0.0,-42922.0,43737.0,-382.0,-1289.0,-231.0,-3024.0,4428.0,-3533.0,15.0,-51.0,820.0,287.0,3667.0,
03/31/2009,2536,14,142,1194,1186,-1031.0,0.0,0.0,-31097.0,30132.0,-66.0,-2197.0,-31.0,-2316.0,964.0,-2257.0,9.0,0.0,1397.0,37.0,-692.0,
06/30/2009,1223,163,50,2294,-1284,1222.0,0.0,0.0,-26288.0,27286.0,224.0,-3290.0,-6.0,-2044.0,1904.0,-3237.0,1404.0,0.0,-1157.0,-154.0,-845.0,
