Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2001,14115.44043,21.688,21.688,0.0,1845.412964,,,84.538002,45.014,0.0,39.523998,0.0,4489.362793,,,,,,,,6441.001953,4176.858887,4350.033203,-173.173996,0.0,3497.575928,947.940979,947.940979,0.0,,,2549.634949,7674.434814,,1792.042969,1792.042969,,,,635.575012,,,,,4803.042175,,,,4803.042175,7230.660156,887.33197,,,,3614.396973,,,3614.396973,4501.728943,11732.389099,0.0,2389.870117,,,0.0,81.622002,-88.444002,2383.048117,0.0,2383.048117,14115.437216,
06/30/2001,16357.379883,85.149002,85.149002,0.0,2071.980957,,,165.337006,,,165.337006,0.0,6358.693848,,,,,,,,8681.161133,4272.743164,4474.665039,-201.921997,0.0,3403.478027,915.528015,915.528015,0.0,,,2487.950012,7676.221191,,1922.348022,1922.348022,,,,175.817001,,,,,4928.634781,,,,4928.634781,7026.799805,908.179993,,,,2022.32605,,,2022.32605,2930.506042,9957.305847,0.0,5820.369141,,,0.0,,579.70697,6400.076111,0.0,6400.076111,16357.381958,
09/30/2001,14973.08,271.648,271.648,0.0,1477.406,,,152.621,48.912,0.0,103.709,0.0,4939.067,,,,,,,,6840.742,4561.011,4804.466,-243.455,141.633,3429.69,934.489,934.489,0.0,,,2495.201,8132.334,,1117.265,1117.265,,,,212.987,,,,,4338.42,,,,4338.42,5668.672,961.951,,,,2028.244,,,2028.244,2990.195,8658.867,0.0,5820.603,,,-20.42,390.171,123.855,6314.209,0.0,6314.209,14973.076,
12/31/2001,11719.41,118.453,118.453,0.0,1182.14,,,174.035,65.0,,109.0,0.0,2726.199,,,,,,,,4200.827,4558.542,4835.0,-276.458,386.841,2573.204,1146.35,890.912,255.438,,,1426.854,7518.587,,1002.326,1002.326,,,,320.538,,,,,1768.684,,,,1768.684,3091.548,867.712,,,,1776.522,,,1776.522,2644.234,5735.782,0.0,5789.93,,,-189.46,,383.162,5983.632,0.0,5983.632,11719.414,
03/31/2002,18772.869141,256.795013,256.795013,0.0,1870.243042,,,224.218994,100.831001,341.791992,224.218994,0.0,2974.676025,,,,,,,,5325.933105,8670.19043,9005.144531,-334.954987,383.152008,4393.597168,2481.349121,2156.643066,324.706055,,,1912.248047,13446.939606,,1311.130981,1311.130981,,,,5536.475098,,,,,2303.68396,,,,2303.68396,9151.290039,1126.269043,,,,2175.638916,,,2175.638916,3301.907959,12453.197998,0.0,5776.141113,,,-179.988007,654.327026,69.194,6319.674133,0.0,6319.674133,18772.872131,
06/30/2002,19631.160156,459.561005,459.561005,0.0,2519.0,,,312.196014,114.906998,,197.289001,0.0,2621.254883,,,,,,,,5912.012207,8869.654297,9304.086914,-434.433014,289.977997,4559.513184,2789.653076,2383.956055,405.697021,,,1769.860107,13719.145477,,1604.484985,1604.484985,,,,5847.644043,,,,,2374.902222,,,,2374.902222,9827.03125,1130.530029,,,,2136.187988,,,2136.187988,3266.718018,13093.749268,0.0,5777.671875,,,-174.675995,,934.412018,6537.407898,0.0,6537.407898,19631.157166,
09/30/2002,19679.42,1443.605,1443.605,0.0,1688.931,,,336.569,218.782,,117.787,0.0,2912.233,,,,,,,,6381.338,8968.361,9494.171,-525.81,288.297,4041.426,2559.948,2157.244,402.704,,,1481.478,13298.084,,1315.417,1315.417,,,,5316.485,,,,,2293.526,,,,2293.526,8925.428,2425.14,,,,2087.258,,,2087.258,4512.398,13437.826,0.0,5797.118,,,-161.333,,605.811,6241.596,0.0,6241.596,19679.422,
12/31/2002,17220.169922,1114.849976,1114.849976,0.0,1341.953003,,,274.665985,112.0,,163.0,0.0,2057.471924,,,,,,,,4788.940918,6991.378906,7413.378906,-422.0,103.198997,5336.646973,2277.195068,1540.505981,736.689087,,,3059.451904,12431.224876,,755.267029,755.267029,,,,819.690002,,,,,2035.3479,,,,2035.3479,3610.304932,6008.509766,,,,1948.463013,,,1948.463013,7956.972778,11567.27771,0.0,5837.018066,,,-158.483002,3.539,-29.186003,5652.888062,0.0,5652.888062,17220.165771,
03/31/2003,18838.080078,388.446991,388.446991,0.0,1127.453003,,,225.011993,96.594002,216.291,128.417999,0.0,3284.582031,,,,,,,,5025.494141,8737.801758,9248.435547,-510.634003,97.733002,4977.046875,2281.258057,1533.088989,748.169067,,,2695.788818,13812.581635,,704.237,704.237,,,,447.828003,,,,,2724.376892,,,,2724.376892,3876.441895,7497.470215,,,,2200.746094,,,2200.746094,9698.216309,13574.658203,0.0,5877.46582,,,-132.190994,3.539,-485.395979,5263.417847,0.0,5263.417847,18838.07605,
06/30/2003,18183.310547,165.690994,165.690994,0.0,963.112,,,262.035004,262.035004,0.0,0.0,0.0,2621.165039,,,,,,,,4012.00293,8793.332031,9389.491211,-596.158997,94.093002,5283.879883,2278.016113,1533.088989,744.927124,,,3005.86377,14171.304916,,706.383972,706.383972,,,,431.877014,,,,,2218.447998,,,,2218.447998,3356.708984,7235.01416,,,,2323.039062,,,2323.039062,9558.053223,12914.762207,0.0,5874.321777,,,-129.393997,0.0,-476.382004,5268.545776,0.0,5268.545776,18183.307983,
