Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/31/2003,21.623,,-3.828,,17.795,0.0,-17.661,15.976,12.205,,,,1.685,0.134,0.015,-0.085,,,,,0.07,0.149,-0.022,0.127,,,,0.127,-0.005,0.122,0.0,0.0,0.122,0.122,,116.944,0.0,0.0,0.0,367.892,0.0,0.0,0.0,
10/31/2003,25.434,,-4.668,,20.766,0.0,-20.797,18.917,14.597,,,,1.88,-0.031,4.388,-0.084,,,,,-4.304,4.357,-0.455,3.902,,,,3.902,-0.113,3.789,0.0,0.0,3.789,3.789,,119.624,0.0325,0.0325,0.0325,382.084,0.01,0.01,0.01,
01/31/2004,30.053,,-5.422,,24.631,0.0,-24.478,22.321,17.142,,,,2.157,0.153,-0.821,-0.119,,,,,0.94,-0.668,-0.015,-0.683,,,,-0.683,-0.082,-0.765,0.0,0.0,-0.765,-0.765,,122.468,-0.005,-0.005,-0.005,122.468,-0.005,-0.005,-0.005,
04/30/2004,34.839,,-6.363,,28.476,0.0,-28.115,25.988,20.415,,,,2.127,0.361,0.163,-0.143,,,,,-0.02,0.524,-0.07,0.454,,,,0.454,-0.017,0.437,0.0,0.0,0.437,0.437,,126.752,0.0025,0.0025,0.0025,401.592,0.0,0.0,0.0,
07/31/2004,40.581001,,-8.182,,32.399001,,-31.233999,,,,,,,1.165,0.202,-0.348,0.005,-0.353,,0.0,0.146,1.367,-0.202,1.17,0.0,,,1.165,0.0,1.17,0.0,0.0,1.17,1.17,,258.096008,0.005,0.005,0.005,430.996004,0.0025,0.0025,0.0025,
10/31/2004,46.361,,-8.905,,37.456,,-35.683,,,,,,,1.773,0.799,-0.975,0.014,-0.989,,0.0,0.176,2.572,-0.342,2.23,0.0,,,2.23,-0.077,2.153,0.0,0.0,2.153,2.153,,409.348,0.005,0.005,0.005,464.704,0.005,0.005,0.005,
01/31/2005,54.59,,-10.0,,44.59,,-41.37,38.21,28.431,,,,3.16,3.22,1.32,,,,,0.0,-1.32,4.539,-0.6,3.94,0.0,,,3.939,-0.35,3.59,0.0,0.0,3.59,3.59,,413.84,0.0075,0.0075,0.0075,467.24,0.0075,0.0075,0.0075,
04/30/2005,64.177,,-11.965,,52.212,,-48.227,,,,,,,3.985,1.77,-1.441,0.013,-1.454,,0.0,-0.329,5.755,-1.151,4.604,0.0,,,4.604,-0.224,4.38,0.0,0.0,4.38,4.38,,420.884,0.01,0.01,0.01,465.468,0.01,0.01,0.01,
07/31/2005,71.943,,-16.237,,55.706,0.0,-51.513,,,,,,,4.193,2.359,-1.693,0.031,-1.724,,0.0,-0.666,6.552,-1.31,5.242,0.0,,,5.242,-0.202,5.04,0.0,0.0,5.04,5.04,,426.456,0.0125,0.0125,0.0125,471.896,0.01,0.01,0.01,
10/31/2005,82.673,,-19.584,,63.089,,-56.702,,,,,,,6.387,1.95,-2.024,0.012,-2.036,,0.0,0.074,8.337,5.101,13.438,0.0,,,13.438,-0.341,13.097,0.0,0.0,13.097,13.097,,431.124,0.03,0.03,0.03,474.62,0.0275,0.0275,0.0275,
