Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
04/26/1989,-475,94,113.0,5.0,,5.0,-687.0,,,,-687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/26/1989,-110,145,115.0,59.0,,59.0,-429.0,,,,-429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/1989,-388,104,110.0,4.0,,4.0,-606.0,,,,-606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1990,870,-20,123.0,379.0,,379.0,388.0,,,,388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,
05/02/1990,-175,100,122.0,56.0,,56.0,-453.0,,,,-453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/1990,308,148,122.0,9.0,,9.0,29.0,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1990,-10,106,128.0,-8.0,,-8.0,-236.0,,,,-236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1991,1031,402,125.0,-81.0,,-81.0,585.0,,,,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031.0,,,
05/01/1991,-155,107,144.0,-14.0,,-14.0,-392.0,,,,-392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1991,258,163,129.0,19.0,,19.0,-53.0,,,,-53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/1991,-358,110,143.0,76.0,,76.0,-687.0,,,,-687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/1992,1470,480,136.0,119.0,,119.0,735.0,,,,735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470.0,,,
04/29/1992,-549,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/29/1992,280,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/1992,-414,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/27/1993,1535,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.0,,,
04/28/1993,-629,23,172.0,110.0,,110.0,-934.0,,,,-934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/28/1993,525,102,171.0,38.0,,38.0,214.0,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/1993,-367,94,172.0,55.0,,55.0,-688.0,,,,-688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/1994,2401,-1193,188.0,1830.0,,1830.0,1576.0,,,,1576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2401.0,,,
04/27/1994,-185,18,190.0,-178.0,,-178.0,-215.0,,,,-215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1994,19,94,192.0,23.0,,23.0,-290.0,,,,-290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/1994,-1124,8,205.0,-116.0,,-116.0,-1221.0,,,,-1221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/25/1995,1194,145,93.0,-562.0,,-562.0,1518.0,,,,1518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194.0,,,
04/26/1995,-147,-25,176.0,-111.0,,-111.0,-187.0,,,,-187.0,,,-123.0,,,,-123.0,,,,,,,,,,123.0,,,,,,,,,,,,,,,
07/26/1995,-127,-54,162.0,106.0,,106.0,-341.0,,,,-341.0,,,-135.0,,,,-135.0,,,,,,,,,,135.0,,,,,,,,,,,,,,,
10/25/1995,-870,-39,165.0,-65.0,,-65.0,-931.0,,,,-931.0,,,-167.0,,,,-167.0,,,,,,,,,,167.0,,,,,,,,,,,,,,,
01/31/1996,955,-423,182.0,124.0,,124.0,1072.0,,,,1072.0,,-153.0,-153.0,,,,-153.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,,802.0,,,
05/01/1996,353,-99,159.0,194.0,,194.0,99.0,,,,99.0,,,-50.0,,,,-50.0,,,,,,,,,,50.0,,,,,,,,,,,,,,,
07/31/1996,-444,34,166.0,-50.0,,-50.0,-594.0,,,,-594.0,,,-74.0,,,,-74.0,,,,,,,,,,74.0,,,,,,,,,,,,,,,
10/30/1996,-466,9,162.0,-52.0,,-52.0,-585.0,,,,-585.0,,,-68.0,,,,-68.0,,,,,,,,,,68.0,,,,,,,,,,,,,,,
01/29/1997,1325,-164,167.0,376.0,,376.0,946.0,,,,946.0,,,-151.0,,,,-151.0,,,,,,,,,,151.0,,,,,,,,,,,,,,,
