Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1990,8.092,,,-1.483,,,6.609,,-5.704,,,,,,0.905,0.022,,,,0.0,-0.022,0.927,-0.332,0.595,0.0,,,0.595,0.0,0.595,0.0,,0.595,0.595,,48.868,0.0125,0.0125,,48.868,0.0125,0.0125,0.0125,
03/31/1991,9.612999,,,-1.66,,,7.952999,,-6.798,,,,,,1.155,0.125,,,,0.0,-0.125,1.28,-0.461,0.819,0.0,,,0.819,0.0,0.819,0.0,,0.819,0.819,,52.675995,0.015,0.015,,52.675995,0.015,0.015,0.015,
06/30/1991,11.092999,,,-2.021,,,9.072,,-7.623,,,,,,1.449,0.039,,,,0.0,-0.039,1.488,-0.537,0.951,0.0,,,0.951,0.0,0.951,0.0,,0.951,0.951,,52.835995,0.0175,0.0175,,52.835995,0.0175,0.0175,0.0175,
09/30/1991,11.702,,,-2.213,,,9.489,,-7.87,,,,,,1.619,0.186,,,,0.0,-0.186,1.805,-0.65,1.155,0.0,,,1.155,0.0,1.155,0.0,,1.155,1.155,,52.995998,0.0225,0.0225,,52.995998,0.0225,0.0225,0.0225,
12/31/1991,13.0,,,-2.547,,,10.453,,-8.403,,,,,,2.05,0.093,,,,0.0,-0.093,2.143,-0.771,1.372,0.0,,,1.372,0.0,1.372,0.0,,1.372,1.372,,53.523998,0.025,0.025,,53.523998,0.025,0.025,0.025,
04/04/1992,14.4,,,-2.948,,,11.452,,-9.052,,,,,,2.4,0.099,,,,0.0,-0.099,2.499,-0.899,1.6,0.0,,,1.6,0.0,1.6,0.0,,1.6,1.6,,57.5,0.0275,0.0275,,57.5,0.0275,0.0275,0.0275,
07/04/1992,16.1,,,-2.988,,,13.112,,-10.262,,,,,,2.85,0.275,,,,0.0,-0.275,3.125,-1.125,2.0,0.0,,,2.0,0.0,2.0,0.0,,2.0,2.0,,62.084,0.0325,0.0325,,62.084,0.0325,0.0325,0.0325,
09/30/1992,19.5,,,-2.676,,,16.824,,-13.624,,,,,,3.2,0.2,,,,0.0,-0.2,3.4,-1.24,2.16,0.0,,,2.16,0.0,2.16,0.0,,2.16,2.16,,61.939995,0.035,0.035,,61.939995,0.035,0.035,0.035,
12/31/1992,28.903,,,-4.8,,,24.103,,-20.320999,,,,,,3.782,0.328,,0.0,,0.0,-0.328,4.11,-1.439,2.671,0.0,,,2.671,0.0,2.671,0.0,,2.671,2.671,,72.984001,0.0375,0.0375,,72.984001,0.0375,0.0375,0.0375,
03/31/1993,33.174,,,-5.843,,,27.331,,-22.323999,,,,,,5.007,0.294,,0.0,,0.0,-0.294,5.301,-1.874,3.427,0.0,,,3.427,0.0,3.427,0.0,,3.427,3.427,,73.120003,0.0475,0.0475,,73.120003,0.0475,0.0475,0.0475,
06/30/1993,38.624001,,,-5.986,,,32.638,,-26.363001,,,,,,6.275,0.145,,0.0,,0.0,-0.145,6.42,-2.307,4.113,0.0,,,4.113,0.0,4.113,0.0,,4.113,4.113,,73.879997,0.055,0.055,,73.879997,0.055,0.055,0.055,
09/30/1993,42.001999,,,-6.675,,,35.326999,,-27.898001,,,,,,7.429,0.189,,0.128,,0.0,-0.317,7.618,-2.828,4.79,0.0,,,4.79,0.0,4.79,0.0,,4.79,4.79,,74.839996,0.065,0.065,,74.839996,0.065,0.065,0.065,
12/31/1993,45.299999,,,-6.617,,,38.682999,,-30.583,,,,,,8.1,0.244,,,,0.0,-0.244,8.344,-3.101,5.243,0.0,,,5.243,0.0,5.243,0.0,,5.243,5.243,,77.872002,0.065,0.065,,77.872002,0.065,0.065,0.065,
03/31/1994,47.700001,,,-6.881,,,40.819001,,-32.719002,,,,,,8.1,-8.363,,,,0.0,8.363,-0.263,-0.11,-0.373,0.0,,,-0.373,0.0,-0.373,0.0,,-0.373,-0.373,,77.956001,-0.005,-0.005,,77.956001,-0.005,-0.005,-0.005,
06/30/1994,50.799999,,,-7.1,,,43.699999,,-35.099998,,,,,,8.6,-3.812,,,,0.0,3.812,4.788,-2.098,2.69,0.0,,,2.69,0.0,2.69,0.0,,2.69,2.69,,77.907997,0.035,0.035,,77.907997,0.035,0.035,0.035,
09/30/1994,55.400002,,,-7.174,,,48.226002,,-38.125999,,,,,,10.1,0.685,,,,0.0,-0.685,10.785,-4.14,6.645,0.0,,,6.645001,0.0,6.645,0.0,,6.645,6.645,,78.559998,0.085,0.085,,78.559998,0.085,0.085,0.085,
12/31/1994,59.900002,,,-6.598,,,53.302001,,-41.602001,,,,,,11.7,0.639,,,,0.0,-0.639,12.339,-4.533,7.806,0.0,,,7.806,0.0,7.806,0.0,,7.806,7.806,,79.108002,0.1,0.1,,79.108002,0.1,0.1,0.1,
03/31/1995,64.0,,,-8.271,,,55.729,,-43.629002,,,,,,12.1,1.169,,,,0.0,-1.169,13.269,-4.951,8.318,0.0,,,8.318,0.0,8.318,0.0,,8.318,8.318,,80.099998,0.105,0.105,,80.099998,0.105,0.105,0.105,
