Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,6110.200195,709.799988,419.299988,290.5,725.900024,,,602.099976,,,,,296.600006,,,,,,2334.399902,2227.899902,3634.5,-1406.599976,537.900024,,1010.0,,,,1010.0,3775.799927,,169.699997,169.699997,,,,221.100006,,,,,,817.699997,,,,817.699997,1208.5,268.899994,,,,,527.599976,,,527.599976,796.499969,2004.999969,0.0,176.800003,,,-288.200012,,4216.599915,4105.199905,0.0,4105.199905,6110.199875,
06/30/1990,6384.200195,680.700012,459.100006,221.600006,736.200012,,,624.700012,,,,,305.0,,,,,,2346.600098,2412.600098,3868.399902,-1455.800049,548.400024,,1076.599976,,,,1076.599976,4037.600098,,239.800003,239.800003,,,,649.299988,,,,,,811.499985,,,,811.499985,1700.599976,271.100006,,,,,518.099976,,,518.099976,789.199982,2489.799957,0.0,177.600006,,,-582.799988,,4299.600037,3894.400055,0.0,3894.400055,6384.200012,
09/30/1990,6747.399902,821.5,494.0,327.5,745.299988,,,675.299988,,,,,272.899994,,,,,,2515.0,2611.100098,4136.200195,-1525.099976,540.799988,,1080.5,,,,1080.5,4232.400085,,183.600006,183.600006,,,,1253.0,,,,,,1056.399994,,,,1056.399994,2493.0,275.0,,,,,516.0,,,516.0,791.0,3284.0,0.0,177.600006,,,-1181.599976,,4467.400024,3463.400055,0.0,3463.400055,6747.400055,
12/31/1990,7142.799805,750.800018,350.200012,400.600006,770.700012,,,673.0,,,,,306.799988,,,,,,2501.300049,2936.699951,4515.799805,-1579.099976,480.700012,,1224.099976,,,,1224.099976,4641.499939,,259.899994,259.899994,,,,1239.5,,,,,,1318.200104,,,,1318.200104,2817.600098,277.0,,,,,580.700012,,,580.700012,857.700012,3675.30011,0.0,177.600006,,,-1177.5,,4467.399902,3467.499908,0.0,3467.499908,7142.800018,
03/31/1991,7291.799805,830.700012,302.799988,527.900024,815.900024,,,703.700012,,,,,308.700012,,,,,,2659.0,3034.600098,4631.799805,-1597.199951,343.600006,,1254.599976,,,,1254.599976,4632.800079,,207.300003,207.300003,,,,556.5,,,,,,1029.799973,,,,1029.799973,1793.599976,235.100006,,,,,577.299988,,,577.299988,812.399994,2605.999969,0.0,484.799988,,,-7.0,,4208.0,4685.799988,0.0,4685.799988,7291.799957,
06/30/1991,7574.200195,805.300018,230.399994,574.900024,801.0,,,733.400024,,,,,316.200012,,,,,,2655.899902,3224.300049,4858.399902,-1634.099976,332.200012,,1361.800049,,,,1361.800049,4918.30011,,181.800003,181.800003,,,,698.099976,,,,,,946.799973,,,,946.799973,1826.699951,285.700012,,,,,601.5,,,601.5,887.200012,2713.899963,0.0,540.0,,,-18.0,,4338.299805,4860.299805,0.0,4860.299805,7574.199768,
09/30/1991,7882.100098,861.099976,293.5,567.599976,804.900024,,,793.0,,,,,306.5,,,,,,2765.5,3484.300049,5198.5,-1714.199951,284.299988,,1348.0,,,,1348.0,5116.600037,,171.899994,171.899994,,,,655.599976,,,,,,1078.199982,,,,1078.199982,1905.699951,496.200012,,,,,619.700012,,,619.700012,1115.900024,3021.599976,0.0,529.5,,,-22.4,,4353.4,4860.5,0.0,4860.5,7882.099976,
12/31/1991,8298.599609,782.400024,479.200012,303.200012,834.700012,,,796.900024,,,,,525.299988,,,,,,2939.300049,3782.5,5568.600098,-1786.099976,276.200012,,1300.599976,,,,1300.599976,5359.299988,,276.299988,276.299988,,,,690.200012,,,,,,1305.5,,,,1305.5,2272.0,395.5,,,,,665.0,,,665.0,1060.5,3332.5,0.0,523.099976,,,-14.5,,4457.5,4966.099976,0.0,4966.099976,8298.599976,
03/31/1992,8420.700195,791.199982,351.299988,439.899994,837.799988,,,806.200012,,,,,509.0,,,,,,2944.199951,3839.600098,5634.600098,-1795.0,269.399994,,1367.5,,,,1367.5,5476.500092,,200.5,200.5,,,,791.900024,,,,,,1046.799927,,,,1046.799927,2039.199951,444.200012,,,,,630.799988,,,630.799988,1075.0,3114.199951,0.0,510.5,,,-17.6,,4813.6,5306.5,0.0,5306.5,8420.699951,
06/30/1992,8763.700195,716.899994,425.399994,291.5,866.299988,,,897.700012,,,,,467.299988,,,,,,2948.199951,4000.800049,5879.600098,-1878.800049,290.100006,,1524.599976,,,,1524.599976,5815.500031,,196.899994,196.899994,,,,889.900024,,,,,,994.199982,,,,994.199982,2081.0,441.799988,,,,,687.400024,,,687.400024,1129.200012,3210.200012,0.0,508.0,,,-16.1,,5061.6,5553.5,0.0,5553.5,8763.700012,
