Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/30/1990,34.538,13.123,13.123,0.0,10.93,,,3.917,0.596,1.93,1.391,,1.138,,,,29.108,5.178,,,,,,0.252,,,,,0.252,5.43,,4.314,4.314,,,,1.125,,,,,,4.395,,,,4.395,9.834,1.983,,,,,,,,,,,1.983,11.817,0.134,21.539,,,,,1.066,22.739,,22.739,34.556,
06/30/1990,88.890999,61.915001,61.915001,0.0,11.238,,,5.799,,,,,1.003,,,,79.955002,7.105,11.044,-3.939,0.0,,,1.831,,,,,1.831,8.936,,11.815,11.815,,,,1.437,,,,,,3.904001,,,,3.904001,17.156,2.729,,,,,0.0,,,,,0.0,2.729,19.885,0.0,65.157997,,,0.0,,3.848,69.005997,0.0,69.005997,88.890997,
09/29/1990,91.051003,60.654999,60.654999,0.0,12.274,,,5.783,,,,,1.965,,,,80.677002,8.567,13.09,-4.523,0.0,,,1.807,,,,,1.807,10.374,,8.199,8.199,,,,1.685,,,,,,4.371999,,,,4.371999,14.256,4.086,,,,,0.0,,,,,0.0,4.086,18.342,0.0,65.121002,,,0.0,,7.588,72.709002,0.0,72.709002,91.051002,
12/29/1990,101.696999,65.581001,65.581001,0.0,13.297,,,8.002,,,,,3.426,,,,90.306,9.604,14.93,-5.326,0.0,,,1.787,,,,,1.787,11.391,,11.517,11.517,,,,1.697,,,,,,7.522,,,,7.522,20.736,3.884,,,,,0.0,,,,,0.0,3.884,24.62,0.0,65.142998,,,0.0,,11.934,77.076998,0.0,77.076998,101.696998,
03/31/1991,111.642998,71.761999,25.254,46.507999,12.839,,,8.952,,,,,5.969,,,,99.522003,10.608,16.837,-6.229,0.0,,,1.513,,,,,1.513,12.121,,5.283,5.283,,,,1.729,,,,,,17.544999,,,,17.544999,24.556999,3.813,,,,,0.0,,,,,0.0,3.813,28.369999,0.0,66.275002,,,0.0,,16.997999,83.273001,0.0,83.273001,111.643,
06/29/1991,122.788002,80.485001,30.716,49.769001,13.505,,,8.324,,,,,6.867,,,,109.181,12.059,19.089001,-7.03,0.0,,,1.548,,,,,1.548,13.607,,18.91,18.91,,,,1.853,,,,,,8.686,,,,8.686,29.448999,4.005,,,,,0.0,,,,,0.0,4.005,33.454,0.0,66.573997,,,0.0,,22.76,89.333998,0.0,89.333998,122.787997,
09/28/1991,127.292,79.788,30.808001,48.98,16.125999,,,6.209,,,,,6.933,,,,109.056,13.08,21.292,-8.212,0.0,,,5.156,,,,,5.156,18.236,,15.578,15.578,,,,1.884,,,,,,8.879999,,,,8.879999,26.341999,3.759,,,,,0.0,,,,,0.0,3.759,30.100999,0.0,68.192001,,,0.0,,28.999001,97.191002,0.0,97.191002,127.292001,
12/28/1991,137.906998,81.078003,34.796001,46.282001,21.990999,,,8.016,,,,,6.946,,,,118.030998,14.852,24.306,-9.454,0.0,,,5.024,,,,,5.024,19.876,,18.348,18.348,,,,2.031,,,,,,9.412001,,,,9.412001,29.791,4.815,,,,,0.0,,,,,0.0,4.815,34.606,0.0,68.581001,,,0.0,,34.720001,103.301003,0.0,103.301003,137.907003,
03/31/1992,146.589005,81.336002,23.263,58.073002,21.073,,,9.666,,,,,9.307,,,,121.382004,16.832001,27.608,-10.776,0.0,,,8.375,,,,,8.375,25.207001,,6.82,6.82,,,,2.065,,,,,,24.082999,,,,24.082999,32.967999,4.959,,,,,0.0,,,,,0.0,4.959,37.926999,0.0,70.399002,,,0.0,,38.263,108.662002,0.0,108.662002,146.589001,
06/27/1992,159.578995,87.547001,39.283001,48.264,25.518999,,,10.622,,,,,9.801,,,,133.488998,17.981001,29.224001,-11.243,0.0,,,8.109,,,,,8.109,26.090001,,25.226999,25.226999,,,,2.041,,,,,,13.626002,,,,13.626002,40.894001,5.157,,,,,0.0,,,,,0.0,5.157,46.051001,0.0,69.361,,,0.0,,44.167,113.528,0.0,113.528,159.579001,
10/03/1992,157.692993,83.806,35.209999,48.596001,19.698,,,17.452,,,,,10.665,,,,131.621002,18.372999,31.209999,-12.837,0.0,,,7.699,,,,,7.699,26.071999,,24.461,24.461,,,,1.95,,,,,,13.125998,,,,13.125998,39.536999,4.721,,,,,0.0,,,,,0.0,4.721,44.257999,0.0,62.964001,,,0.0,,50.471001,113.435001,0.0,113.435001,157.693,
01/02/1993,150.309006,67.688,28.709999,38.978001,28.923,,,17.089001,,,,,10.489,,,,124.189003,19.603001,34.152,-14.549,0.0,,,6.517,,,,,6.517,26.120001,,19.917999,19.917999,,,,1.867,,,,,,12.164002,,,,12.164002,33.949001,4.275,,,,,0.0,,,,,0.0,4.275,38.224001,0.0,54.591999,,,0.0,,57.493,112.084999,0.0,112.084999,150.309,
04/03/1993,162.899002,84.785002,29.969,54.816002,27.129,,,13.061,,,,,11.814,,,,136.789001,20.511999,36.926998,-16.415001,0.0,,,5.598,,,,,5.598,26.109999,,6.178,6.178,,,,1.764,,,,,,27.746999,,,,27.746999,35.688999,3.911,,,,,0.0,,,,,0.0,3.911,39.599999,0.0,75.223,,,-17.417999,,65.493999,123.299,0.0,123.299,162.898999,
06/30/1993,182.705994,98.641003,39.706001,58.935001,30.063,,,16.169001,,,,,11.199,,,,156.072006,20.639999,36.549,-15.909,0.0,,,5.994,,,,,5.994,26.633999,,27.006001,27.006001,,,,1.566,,,,,,15.779001,,,,15.779001,44.351002,3.302,,,,,0.0,,,,,0.0,3.302,47.653002,0.0,78.109001,,,-17.417999,,74.362,135.053001,0.0,135.053001,182.706003,
10/02/1993,191.535004,99.364002,38.428001,60.936001,31.823999,,,19.190001,,,,,13.534,,,,163.912003,21.561001,39.585999,-18.025,0.0,,,6.062,,,,,6.062,27.623001,,22.922001,22.922001,,,,1.505,,,,,,17.925,,,,17.925,42.352001,2.884,,,,,0.0,,,,,0.0,2.884,45.236001,0.0,79.752998,,,-17.417999,,83.963997,146.298996,0.0,146.298996,191.534997,
01/01/1994,204.462997,107.759998,37.467999,70.292,29.351999,,,23.465,,,,,13.001,,,,173.578003,22.174,41.605999,-19.431999,0.0,,,8.711,,,,,8.711,30.885,,23.701,23.701,,,,1.466,,,,,,17.562,,,,17.562,42.729,2.532,,,,,0.0,,,,,0.0,2.532,45.261,0.0,81.985001,,,-17.417999,,94.635002,159.202003,0.0,159.202003,204.463004,
04/02/1994,226.156006,115.644997,47.334,68.310997,35.942001,,,26.597,,,,,16.002001,,,,194.186005,23.806,45.105,-21.299,0.0,,,8.164,,,,,8.164,31.969999,,10.815,10.815,,,,1.417,,,,,,38.851001,,,,38.851001,51.083,2.195,,,,,0.0,,,,,0.0,2.195,53.278,0.0,83.523003,,,-17.417999,,106.773003,172.878006,0.0,172.878006,226.156006,
